question,answer
How can you check your current git version?<br><ol><li>git --v</li><li>git --version</li><li>git --option</li><li>git --current</li></ol>,git --version
What command lets you create a connection between a local and remote repository?<br><ol><li>git remote add new</li><li>git remote add origin</li><li>git remote new origin</li><li>git remote origin</li></ol>,"<ol><li>git remote add new</li><li>git remote add origin</li></ol><br><br>The command is git remote add. The new added connection can be named origin or new. The only constraints, although it is not documented AFAIK, is that the connection name needs to be acceptable to git-check-ref-format, and it cannot be repeated.<br>If the LinkedIn assessment asks this and you can choose just one option, then leave feedback.<br>"
"Describe what these Git commands do to the commit history:<br><br>```bash<br>git reset --hard HEAD~5<br>git merge --squash HEAD@{1}<br>```<br><br><ol><li>They reset the HEAD to the fifth commit in the repo, then merge to the master branch.</li><li>The current branch's HEAD is reset back five commits, then prior commits are squashed into a single commit.</li><li>They delete the last five commits.</li><li>They merge the last five commits into a new branch.</li></ol>","The current branch's HEAD is reset back five commits, then prior commits are squashed into a single commit.<br><br>**Explanation:**<br>- `git reset --hard HEAD~5` resets the current branch to the commit just before the last 5 (see `man gitrevisions` for details about this notation and other cool alternatives like `HEAD@{2 days ago}`). As it is a hard reset, it will also overwrite every change in the working tree as well. See `man git-reset`.<br>- `git merge --squash HEAD@{1}` HEAD@{1} is where the branch was just before the previous command (again, see `man gitrevisions`). This command sets the state of the index to be as it would just after a merge from that commit. This whole operation could be a way to take 5 commits from a branch in which you started a new feature and squash them to a single commit, a meaningful one.<br>"
"Your current project has several branches; master, beta, and push-notifications. You've just finished the notification feature in the push-notification branch, and you want to commit it to beta branch. How can you accomplish this?<br><ol><li>Checkout the push-notifications branch and run git merge beta</li><li>Checkout the master branch and run git merge beta -> push-notification</li><li>Delete the push-notification branch and it will be committed to the master branch automatically</li><li>Checkout the beta branch and run git merge push-notification</li></ol>",Checkout the beta branch and run git merge push-notification
Which of the following is true you when you use the following command?<br><br>`git add -A`<br><br><ol><li>All new and updated files are staged</li><li>Files are staged in alphabetical order.</li><li>All new files are staged</li><li>Only updated files are staged</li></ol>,All new and updated files are staged
What will the following command print to the Terminal?<br><br>`git remote -v`<br><br><ol><li>A list of remote repositories and their URLs</li><li>The current git version you're running</li><li>An inline editor for modifying remote repositories</li><li>The last 5 git versions you've installed</li></ol>,A list of remote repositories and their URLs
"Looking at the following commands, describe what is happening.<br><br>```bash<br>git checkout feature-user-location<br>git cherry-pick kj2342134sdf090093f0sdgasdf99sdfo992mmmf9921231<br>```<br><br><ol><li>The commit is being tagged for release on the feature-user-location branch</li><li>A commit is being copied from its original branch over to the feature-user-location branch</li><li>The commit is being cherry picked as the new HEAD of the commit history</li><li>A commit is being copied from the feature-user-location branch to the master branch</li><li>The branch is switched to the feature-user-location branch, and the specified commit is applied to the branch.</li></ol>","The commit is being cherry picked as the new HEAD of the commit history<br><br>**Explanation:** Commits aren't copied when cherry picking, they are cherry picked. The changes introduced by the commit are applied and a new commit is then created. This allow us to get specific changes as if they were patches (in the GIT's book, this is actually called [Patching](https://git-scm.com/book/en/v2/Appendix-C:-Git-Commands-Patching ""See this in the GIT's book"")). As a new commit is created upon feature-user-location, HEAD also changes to match it. You can see this in `cat .git/HEAD` and `cat .git/refs/heads/feature-user-location` for this case. See `man git-cherry-pick` for details.<br>**NOTE**: There are two versions of this question so far. The task is always ""describe what is happening"", the commands are always a `checkout` and a `cherry-pick`, and the correct answer is always the same.<br>"
"What does the following command do to the git repository?<br><br>`git reset --soft HEAD^`<br><br><ol><li>It deletes all previous commits and reset the repository history back to its initial state.</li><li>It resets the working branch to the first commit.</li><li>It keeps the HEAD at the current commit, but clears all previous commits.</li><li>It sets HEAD to the previous commit and leaves changes from the undone commit in the stage/index.</li></ol>",It sets HEAD to the previous commit and leaves changes from the undone commit in the stage/index.
"You find a bug in your project, but can't locate where it was introduced in the commit history. How would you diagnose this problem?<br><ol><li>Manually backtrack through your commit history.</li><li>Use git search -diff to compare all commits in your repository history.</li><li>Run a git rebase to find the buggy commit.</li><li>Use git bisect to compare the buggy commit to an early commit that works as expected.</li></ol>",Use git bisect to compare the buggy commit to an early commit that works as expected.
Why would the following command be used?<br><br>`git rebase -i HEAD~10`<br><br><ol><li>To run a comparative search of the last 10 commits for differences</li><li>To list the last 10 commits and modify them with either the squash or fixup command</li><li>To delete the last 10 commits and reset the HEAD</li><li>In order to locally cache the last 10 commits</li></ol>,To list the last 10 commits and modify them with either the squash or fixup command
"Why would you use a pre-receive hook in your remote repository?<br><ol><li>You wouldn't, you would use it in the local repository</li><li>To execute a script when a remote receives a push that is triggered before any refs are updated</li><li>To fire a script after updates are made to the remote repository</li><li>To debug all commit tags and release versions</li></ol>",To execute a script when a remote receives a push that is triggered before any refs are updated
What option can you use to apply git configurations across your entire git environment?<br><ol><li>`--all`</li><li>`--master`</li><li>`--global`</li><li>`--update`</li></ol>,`--global`
How could you squash multiple commits together without using git merge --squash?<br><ol><li>Caching</li><li>You can't. git merge --squash is the only git command for that operation.</li><li>Rebasing</li><li>Reflogging</li></ol>,Rebasing
"If you cloned an existing git repository, what would happen?<br><ol><li>A new copy would overwrite the central repository</li><li>A copy of the repository would be created on your local machine</li><li>Nothing, cloning is not a supported git function</li><li>A copy of the repository would be created on the hosting platform</li></ol>",A copy of the repository would be created on your local machine
"How can you display a list of files added or modified in a specific commit?<br><ol><li>Find the commit in the remote repository, as that's the only place that kind of information is stored.</li><li>Use the `diff-tree` command with the commit hash.</li><li>Run `git commit --info` with the commit hash.</li><li>Access the commit stash data with `git stash`.</li></ol>",Use the `diff-tree` command with the commit hash.
"What files is this .gitignore programmed to leave out?<br><br>```shell<br>#.swift<br>build/<br>*.txt<br>*.metadata<br>```<br><br><ol><li>All files with a .swift, .txt, or metadata file extension, as well as the entire build directory</li><li>Only the build directory</li><li>All files in the build directory, as well as files ending with .txt or .metadata</li><li>Only files with .swift and .txt extensions.</li></ol>","All files in the build directory, as well as files ending with .txt or .metadata<br><br>A line starting with `#` serves as a comment. Hence `# .swift` does not do anything. See `man gitignore`.<br>"
"After you make changes to a local repository, you run the following command. What will this do?<br><br>`git commit -a -m ""Refactor code base""`<br><br><ol><li>Nothing, you can't use multiple options in the same command</li><li>Adds all new files to the staging area</li><li>Commits all new files with a message</li><li>Adds all modified files to the staging area, then commits them with a message</li></ol>","Adds all modified files to the staging area, then commits them with a message"
"After checking your git status you get the following output, which shows the file beta-notes.js in the commit but also unstaged. How can this situation occur?<br><br>```shell<br>Change to be committed:<br>(use ""git reset HEAD <file>..."" to unstage)<br>modified: beta-notes.js<br>Changes not staged for commit:<br>(use ""git add <file>..."" to update what will be committed)<br>(use ""git checkout --<file>..."" to discard changes in working directory)<br>modified: beta-notes.js<br>```<br><br><ol><li>There were two copies of beta-notes.js but one was deleted</li><li>beta-notes.js was staged, then modified afterwards, creating two different versions of the file</li><li>Two copies of beta-notes.js were created, but only one is being tracked</li><li>There are two tracked copies of beta-notes.js, but one was removed from the commit</li></ol>","beta-notes.js was staged, then modified afterwards, creating two different versions of the file"
Where are files stored before they are committed to the local repository?<br><ol><li>Saved files</li><li>git documents</li><li>Staging area</li><li>git cache</li></ol>,Staging area
What commands would you use to force an overwrite of your local files with the master branch?<br><br>```bash<br>git pull --all<br>git reset --hard origin/master<br>```<br>```bash<br>git pull -u origin master<br>git reset --hard master<br>```<br>```bash<br>git pull origin master<br>git reset --hard origin/myCurrentBranch<br>```<br><br><ol><li>⠀</li><li>⠀</li><li>⠀</li><li>⠀</li></ol>,"⠀<br><br>```bash<br>git fetch --all<br>git reset --hard origin/master<br>```<br>- The command `pull` is `fetch` followed by either `merge` or `rebase` (in this case, `merge`). We don't want to merge. Merge would be an action to our **repository**. We just want to overwrite our **local files**.<br>"
Which statement is true when you use the git add -A command?<br><ol><li>Only new files in the working directory are staged to the index.</li><li>All new and updated files from the working directory are staged to the index.</li><li>All files in the working directory are staged to the index in alphabetical order.</li><li>Only updated files in the working directory are staged to the index.</li></ol>,All new and updated files from the working directory are staged to the index.
"You find that your project has a tag and branch both named push-notifications, which causes confusion when trying to print out given reference. How can you specify which branch you want to look at?<br><ol><li>use git show refs/push-notifications</li><li>use git show push-notifications</li><li>use git show heads/refs/push-notifications</li><li>use git show refs/heads/push-notifications</li></ol>",use git show refs/heads/push-notifications<br><br>[Reference](https://geedew.com/fixing-git-branch-and-tag-name-collision/)<br>
