"<b> In previous versions of Acrobat, you could mark a comment with a check mark, without having to use a drop-down menu. How can you restore this efficient functionality when using a newer version of Acrobat?</b><br><ul><li>Preferences > identity</li><li>Preferences > Reviewing</li><li>Preferences > Reading</li><li>Preferences > Commenting</li></ul>",Preferences > Commenting
<b> A PDF containing complex engineering drawings is failing to print completely. The printing device is an older model with a small amount of RAM. What setting might enable you to print the complex file without error?</b><br><ul><li>Print as image</li><li>Auto-orientation</li><li>Print in grayscale</li><li>Custom scale</li></ul>,Print as image
"<b> Your client asks you to export their PDF brochure to multiple formats for various uses. However, you discover that you cannot meet one of their requests. Which is a format to which you CANNOT export?</b><br><ul><li>JPEG</li><li>TIFF</li><li>EPS</li><li>SVG</li></ul>",SVG
"<b> After you finish creating form fields for a complicated form, the client submits a new PDF, with color changes, a new logo, and minor text edits. What is the most efficient way to incorporate the new artwork?</b><br><ul><li>Prepare Form</li><li>Compare Files</li><li>Edit PDF</li><li>Organize Pages > Replace</li></ul>",Organize Pages > Replace
<b> You need to send a </b><br><ul><li>Tools > Organize Pages > Split Document</li><li>Tools > Index</li><li>Tools > Edit PDF > Crop Pages</li><li>Tools > Optimize PDF</li></ul>,Tools > Organize Pages > Split Document
"<b> You would like to use Bookmarks to navigate a PDF, but the Bookmarks panel is not available. Why would that panel be unavailable?</b><br><ul><li>The PDF does not contain any articles.</li><li>You are viewing the PDF in a web browser.</li><li>The file creator did not give the article a title.</li><li>You are viewing the PDF in Adobe Reader.</li></ul>",You are viewing the PDF in a web browser.
"<b> As you examine large engineering documents, you would like to have the Marquee Zoom tool easily available all the time. What is the fastest way to add the Marquee Zoom tool to Common Tools?</b><br><ul><li>Right-click in the toolbar and select Show Page Navigation Tools.</li><li>Right-click in the toolbar and select Show Page Display Tools.</li><li>Right-click in the toolbar and select Show Select & Zoom.</li><li>Right-click in the toolbar and select Customize Quick Tools.</li></ul>",Right-click in the toolbar and select Show Select & Zoom.
<b> A person at a printing service provider is having difficulty printing a PDF due to font issues. Where can the person find out which fonts are used in the document?</b><br><ul><li>Tools > Action Wizard</li><li>Tools > Print Production</li><li>File > Export To > Microsoft Word</li><li>File > Properties</li></ul>,File > Properties
"<b> To work more efficiently, you would like to create a shortcut in the tools pane, to the right of the document window, that includes multiple operations, such as Edit PDF, Organize Pages, and Export PDF. Which feature will let you accomplish this?</b><br><ul><li>Action Wizard</li><li>Optimize PDF</li><li>Create Custom Tool</li><li>Customize Quick Tools</li></ul>",Action Wizard
"<b> You are printing a PDF of an instruction manual. On some pages the only content is a video, but you would like a visual representation of the video area in the printed version. Which option in the Print dialog box will ensure that the video areas will print?</b><br><ul><li>More Options</li><li>Document and Markups</li><li>Advanced > Output</li><li>Document and Stamps</li></ul>",Advanced > Output
