<b> What would happen to the fill color of the object shown below if you copied and pasted it into another Illustrator file where the Document Color Mode was set to CMYK?</b><br><br>![CMYK](images/002.png?raw=true)<br><br><ul><li>The fill color would be converted to CMYK values</li><li>The fill color would be unchanged.</li><li>Illustrator would display an error because you can't paste an object with RGB colors into a CMYK file.</li><li>The fill color would remain RGB but its appearance would change.</li></ul>,The fill color would be converted to CMYK values
"<b> You want to add some stars to the circular background object in the image below, using a scatter brush. How can you ensure that the stars appear only inside the circle?</b><br><br>![Add stars](images/006.png?raw=true)<br><br><ul><li>Select the Screen blending mode before you brush.</li><li>Select the circle and click the Draw Inside button on the toolbar before you brush.</li><li>Add a fixed spacing value in the Scatter Brush options.</li><li>Select the brush stroke and the circle and make a compound path.</li></ul>",Select the circle and click the Draw Inside button on the toolbar before you brush.
<b> Why would you use the Save Selection command?</b><br><ul><li>to preserve vector copies of objects you plan to rasterize</li><li>to save copies of selected objects in a new file</li><li>to preserve a selection of objects you may use again</li><li>to save selected objects in a Creative Cloud library</li></ul>,to preserve a selection of objects you may use again
<b> Which action closes a path when you are actively drawing with the Pen tool?</b><br><ul><li>clicking or dragging the first point in the path</li><li>choosing Object > Path > Join</li><li>pressing Return (Mac) or Enter (Windows)</li><li>switching to a different tool</li></ul>,clicking or dragging the first point in the path
<b> Which effect was used to give depth to the outline of California below?</b><br><br>`A map of California has a light beige main color and a small dark shadow.`<br><br><ul><li>3D Extrude & Bevel</li><li>Offset Path</li><li>3D Rotate</li><li>3D Revolve</li></ul>,No answer found
"<b> When multiple objects are selected, how do you deselect just one of them?</b><br><ul><li>Hold down the Option (Mac) or Alt (Windows) key and click the object you want to deselect.</li><li>Use the Lasso tool to deselect the unwanted object.</li><li>Shift-click the object you want to deselect</li><li>Press Command+Shift+A (Mac) or Ctrl+Shift+A (Windows) and click the object you want to deselect.</li></ul>",Shift-click the object you want to deselect
"<b> You need to change the fill color of all the info circles in the map below. The circles were not created from a symbol. Other than Global Edit, which command would help you accomplish this task efficiently?</b><br><br>`A map of Southern California includes many info circles shaded in light blue.`<br><br><ul><li>Recolor Artwork</li><li>Select > Same > Appearance</li><li>Edit Colors</li><li>Live Paint</li></ul>",No answer found
"<b> How can you reverse the direction of all the arrows on the spiral in the image below?</b><br><br>`A red lines spirals clockwise in, towards the center. Arrows along the line point in that direction.`<br><br><ul><li>Select Object > Path > Reverse Path Direction.</li><li>Select Effect > 3D > Rotate.</li><li>Use the Flip Horizontal and Flip Vertical commands in the Transform panel menu.</li><li>Drag the path with the Reshape tool.</li></ul>",Select Object > Path > Reverse Path Direction.
<b> What would you do to the left anchor point to make the object symmetrical?</b><br><br>![Make symmetrical](images/005.png?raw=true)<br><br><ul><li>Remove it.</li><li>Cut the path at the anchor point.</li><li>Convert it to a corner point.</li><li>Convert it to a smooth point.</li></ul>,Convert it to a corner point.
"<b> When do you use the Knife tool?</b><br><ul><li>when you want to cut an object at existing anchor points</li><li>when you want to cut an object into equal pieces</li><li>when you want to crop an embedded or linked image</li><li>when you want to quickly divide an object by drawing closed, freehand paths</li></ul>","when you want to quickly divide an object by drawing closed, freehand paths"
<b> You have a full-color RGB document and you need to create a grayscale version that will print only on the black plate. How can you accomplish this?</b><br><ul><li>Select everything in the document and then apply the Convert to Grayscale command.</li><li>Apply the Convert to Grayscale command and change the Document Color Mode to CMYK.</li><li>Use the Recolor Artwork command and select the 1-Color Job preset.</li><li>Delete all the color swatches from the Swatches panel except for Black and White.</li></ul>,Apply the Convert to Grayscale command and change the Document Color Mode to CMYK.
"<b> You have been working in the Essentials workspace and have changed the arrangement of panels, closing some that were open by default and opening others from the Window menu. How can you get back to the default arrangement of panels?</b><br><ul><li>Switch to any other workspace, and then switch back to Essentials.</li><li>Quit Illustrator, press and hold Command+Shift+Option (Mac) or Ctrl+Shift+Alt (Windows), and relaunch Illustrator.</li><li>Choose Reset Essentials from the Workspace menu or the workspace switcher.</li><li>Quit and relaunch Illustrator.</li></ul>",Choose Reset Essentials from the Workspace menu or the workspace switcher.
<b> Your boss likes the new logo you've designed but would like to see some variations using different color schemes. Which feature could you use to generate these variations quickly?</b><br><ul><li>Variables</li><li>Recolor Artwork</li><li>Live Paint</li><li>Proof Colors</li></ul>,Recolor Artwork
"<b> What is the fastest and most efficient way to ensure that all the objects shown in the figure below are placed precisely next to one another with no space between them?</b><br><ul><li>Specify a key object, then use the Horizontal Distribute Space command in the Align panel with a Spacing value of 0</li><li>Turn on Smart Guides and drag each object until it snaps to the one next to it.</li><li>Choose the Move command and in the dialog box set the Distance value to 0.</li><li>Select the objects with the Selection tool, then drag from the side of the selection bounding box until the objects snap together.</li></ul>",No answer found
<b> You select a new color in the Color Picker and want to see several variations in different shades and tints. Which feature allows you to do this?</b><br><ul><li>Adobe Color Themes</li><li>Color Guide</li><li>Color Groups</li><li>Recolor Artwork</li></ul>,Color Guide
<b> What is the purpose of the Make Pixel Perfect command?</b><br><ul><li>to create responsive web graphics that can resize with no loss of quality</li><li>to ensure graphics use only web-safe colors</li><li>to have Illustrator automatically choose the right export file format based on the contents of the graphic</li><li>to create sharp web graphics with no anti-aliasing of straight lines</li></ul>,to create sharp web graphics with no anti-aliasing of straight lines
"<b> You have just one object on your artboard. You want to change its fill color from black to yellow, so you open the Color Picker and select a yellow color. But when you click OK, the fill of the object changes to gray, not yellow. Why is this happening?</b><br><ul><li>The color mode of the fill is set to Grayscale.</li><li>The Luminosity blend mode is applied to the fill.</li><li>One of the Color Blindness options is chosen under Proof Setup in the View menu.</li><li>Overprint Preview is turned on in the Separations Preview panel.</li></ul>",The color mode of the fill is set to Grayscale.
<b> How can you ensure that proper nouns are not hyphenated in the document you're working on?</b><br><ul><li>Turn off Hyphenate Capitalized Words in the Paragraph panel.</li><li>Select Justify All Lines in the Paragraph panel.</li><li>Decrease the Word Spacing in the justification options.</li><li>Increase the Hyphenation Zone value in the Paragraph panel so it is greater than the point size of the text.</li></ul>,No answer found
"<b> How could you quickly change all the hexagons to triangles in the image below?</b><br><ul><li>In the Control panel, click the button to start editing similar shapes, then select Object > Path > Simplify.</li><li>In the Properties panel, click Start Global Edit and then use the Transform controls to reduce the Polygon Side Count to 3.</li><li>In the Properties panel, click Expand Shape. Then click Start Global Edit and use the Transform controls to reduce the Polygon Side Count to 3.</li><li>In the Control panel, click the button to start editing similar shapes, then select Object > Transform > Transform Each.</li></ul>","In the Properties panel, click Start Global Edit and then use the Transform controls to reduce the Polygon Side Count to 3."
"<b> You're working with a pen tablet and find that using the Ellipse, Rectangle, and Polygon tools to create objects is somewhat awkward. Which tool would allow you to draw, move, and edit these shapes with intuitive gestures?</b><br><ul><li>the Smooth tool</li><li>the Shape Builder tool</li><li>the Pencil tool</li><li>the Shaper tool</li></ul>",No answer found
"<b> When using the Live Paint Bucket tool to fill artwork with colors, you are unable to fill some areas due to the size of gaps between paths. What can you do in the Gap Options dialog box to fix this problem?</b><br><ul><li>Select Small Gaps.</li><li>Select Close Gaps with Paths.</li><li>Select Large Gaps.</li><li>Turn off Gap Detection.</li></ul>",Select Large Gaps.
<b> You often use brushes from the Pattern Arrows brush library. How can you make it so this library automatically opens when you start Illustrator?</b><br><ul><li>Select Show Pattern Brushes from the Brushes panel menu.</li><li>Select Persistent from the library's panel menu.</li><li>Open the library and save a custom workspace.</li><li>Select all the brushes in the Pattern Arrows brush library and choose Add to Brushes from the library's panel menu.</li></ul>,Select Persistent from the library's panel menu.
"<b> In the image below, you are attempting to use the Join tool to remove the overlapping portions of two paths (highlighted in yellow), but nothing seems to be happening. Why is this?</b><br><br>![Overlapping circles](images/009.png?raw=true)<br><br><ul><li>The paths do not have a fill attribute.</li><li>Only one of the paths is selected, but both need to be selected.</li><li>One of the paths is selected but the Join tool works only with unselected paths.</li><li>Endpoints need to be selected in both paths before they can be trimmed and joined.</li></ul>",No answer found
