<b> What is one reason to click Object > Text Frame Options?</b><br><ul><li>to change the number of columns in a text frame</li><li>to apply a drop shadow to the frame</li><li>to change the corners of a frame from corner to rounded</li><li>to change the fill and stroke of a text frame</li></ul>,"to change the number of columns in a text frame<br><br>[Ref.](https://www.agitraining.com/adobe/indesign/tutorials/text-frame-options-in-indesign?page=4#:~:text=You%20can%20have%20InDesign%20determine,choosing%20Object%20%3E%20Text%20Frame%20Options.)<br>"
<b> Which panel allows you to add an arrowhead to the end of a line?</b><br><ul><li>Effects</li><li>Stroke</li><li>Transform</li><li>Pathfinder</li></ul>,"Stroke<br><br>[Ref.](https://helpx.adobe.com/in/indesign/using/applying-line-stroke-settings.html#:~:text=Use%20the%20Start%20and%20End,the%20Start%20and%20End%20menus.)<br>"
"<b> In the image shown, what do you know about the Body Text paragraph style?</b><br><br><img src=""adobe-in-design-quiz_question_3""><br><br><ul><li>The selected text was not formatted using the style definition.</li><li>The selected text is in overset text outside the boundaries of the current frame.</li><li>The style has been applied to two or more paragraphs.</li><li>The style has been added since the master styles were created.</li></ul>",The selected text was not formatted using the style definition.<br><br>[Ref.](https://helpx.adobe.com/indesign/using/paragraph-character-styles.html)<br>
<b> You want to ensure that an image on your page is exactly </b><br><ul><li>Double-click the image with the Selection tool.</li><li>Select the graphic frame with the Selection tool.</li><li>Click **Window** > **Info**.</li><li>Click **Object** > **Fitting**.</li></ul>,Double-click the image with the Selection tool.
"<b> You have an empty one-page InDesign document. You have used File > Place to select a Word document that contains many pages of text. What will help you place the full story quickly?</b><br><ul><li>Select **Show Import Options** in the **Place** dialog box.</li><li>Right-click the page with the place cursor.</li><li>Shift-click with the place cursor inside the margin guides.</li><li>In the **Pages** panel, click the **New Pages** button with the place cursor.</li></ul>",Shift-click with the place cursor inside the margin guides.
"<b> You select a graphic frame that contains a Photoshop image and use the Scale field in the Control panel to enlarge it to </b><br><ul><li>The resolution doubles.</li><li>Effective image resolution stays the same until you choose from the View > Display Performance menu.</li><li>Effective image resolution is set in Photoshop, not in InDesign, so it stays the same.</li><li>The resolution is cut in half.</li></ul>",The resolution is cut in half.
<b> What is one reason you might want to use the Text Variables feature?</b><br><ul><li>to create captions underneath images that update automatically</li><li>to include calculations inside a dynamic table</li><li>to adjust text size automatically to fill the frame</li><li>to create running headers that include chapter names</li></ul>,to create running headers that include chapter names
"<b> You want to place </b><br><ul><li>In the **Place** dialog box, select **Show Import Options**.</li><li>Import the PDF with the **Media** panel instead of **File>Place**</li><li>Open the PDF in Acrobat, select page 4, and drag it into InDesign.</li><li>After placing the PDF, disable the unwanted pages in the Media panel.</li></ul>","In the **Place** dialog box, select **Show Import Options**."
"<b> Suppose that master page B is based on master page A, and you are currently editing master B. Which statement is true?</b><br><ul><li>Objects on master page A are not visible.</li><li>Objects on master page A must always appear behind objects from master page B.</li><li>Objects on master page A cannot be selected unless you override the objects.</li><li>Objects on master page A cannot be selected or changed.</li></ul>",Objects on master page A cannot be selected unless you override the objects.
"<b> In the image shown, the text is on a path. You want to move the text farther to the right along the path. How can you accomplish this?</b><br><br><img src=""adobe-in-design-quiz_question_10""><br><br><ul><li>Drag the blue square D.</li><li>Drag the side handle B</li><li>Drag the slanted line A.</li><li>Drag the center tick mark C.</li></ul>",Drag the slanted line A.
