<b> How can you open a file selected in Lightroom CC for retouching in Photoshop CC?</b><br><ul><li>Double-click the file</li><li>Choose File > Edit in Photoshop</li><li>Choose File > Save to Photoshop</li><li>Press Cmd/Ctrl+E</li></ul>,Choose File > Edit in Photoshop<br><br>[Reference](https://helpx.adobe.com/lightroom-cc/how-to/lightroom-photoshop-edit-photos.html#choose_a_photo_from_lightroom)<br>
<b> How can you undo one or more changes just made to an image?</b><br><ul><li>Use the keyboard shortcut Cmd/Ctrl+Z</li><li>Click a state in the history panel</li><li>Choose File > Undo</li><li>Press Cmd/Ctrl+U</li></ul>,Click a state in the history panel<br><br>[Reference](https://helpx.adobe.com/uk/photoshop/using/undo-history.html#using_the_history_panel)<br>
<b> How can you select a specific layer? (find all that apply)</b><br><ul><li>Click the eye icon in the layers panel</li><li>Use the Move tool with auto-select enabled</li><li>Right-click the image and select layer</li><li>Press Cmd/Ctrl and click the layer</li></ul>,Use the Move tool with auto-select enabled<br><br>[Reference](https://helpx.adobe.com/uk/photoshop/using/selecting-grouping-linking-layers.html#select_layers_in_the_document_window)<br>
"<b> How can you avoid having transparent edges along the edge of a panoramic photo while retaining the largest image size?</b><br><br><img src=""adobe-photoshop-quiz_007""><br><br><ul><li>Choose the Cylindrical method.</li><li>Choose the Perspective method.</li><li>Adjust the Boundary Warp slider.</li><li>Select Auto Crop.</li></ul>",Select Auto Crop.<br><br>[Reference](https://helpx.adobe.com/uk/lightroom-classic/help/panorama.html)<br>
<b> How do you crop a document without permanently discarding pixels along the edge?</b><br><ul><li>Clear the Delete Cropped Pixels box.</li><li>Select the Delete Cropped Pixels box.</li><li>Use the Smart Crop tool.</li><li>Hold the Alt (Windows) or Option (Mac) key.</li></ul>,Use the Smart Crop tool.
<b> What feature should you use to simulate the in-camera development recipes applied by manufacturers with your own raw files?</b><br><ul><li>presets</li><li>Camera Matching profiles</li><li>calibration</li><li>snapshots</li></ul>,Camera Matching profiles
"<b> When working in an RGB document, which option is **NOT** a method for the Select Color Range command?</b><br><ul><li>Sampled Colors</li><li>Skin Tones</li><li>Key (Blacks)</li><li>Out of Gamut</li></ul>",Key (Blacks)
<b> How do you access the Auto Color Correction Options dialog box?</b><br><ul><li>Select Image > Auto Tone.</li><li>Select Image > Auto Color.</li><li>Alt-click (Option-click) the Auto button in the Properties panel when you have a Levels or Curves adjustment layer targeted in the Layers panel.</li><li>Hold down the Alt (Option) key and select Image > Auto Color.</li></ul>,Select Image > Auto Color.
"<b> Which options are available when using the Free Transform command on a Smart Object?</b><br><br>```markdown<br>A. Content-Aware Scale<br>B. Scale<br>C. Warp<br>D. Distort<br>E. Perspective Warp<br>```<br><br><ul><li>C,D</li><li>D,E</li><li>B,C</li><li>C,E</li></ul>","B,C<br><br>[Reference](https://helpx.adobe.com/photoshop/using/free-transformations-images-shapes-paths.html#:~:text=The%20Free%20Transform%20command%20lets,to%20switch%20between%20transformation%20types)<br>"
"<b> What is considered the minimum DPI for photographic-quality inkjet printing?</b><br><ul><li>300</li><li>100</li><li>1,000</li><li>72</li></ul>",300
<b> Which scanner type is capable of producing the highest resolution scans?</b><br><ul><li>flatbed scanner</li><li>slide scanner</li><li>all-in-one unit</li><li>drum scanner</li></ul>,flatbed scanner
<b> Which format does NOT support an alpha channel?</b><br><ul><li>PSD</li><li>PNG</li><li>TIFF</li><li>BMP</li></ul>,PNG
<b> What is the best way to save multiple full-size images into a single PDF?</b><br><ul><li>Use the PDF Presentation command.</li><li>Click **File > Export > Export Layers to Files**.</li><li>Check to see if you have Acrobat DC installed.</li><li>Save each PDF separately first and then combine them.</li></ul>,Use the PDF Presentation command.
<b> What option cannot be adjusted with the Print command directly in the Print window?</b><br><ul><li>size of the image</li><li>position on the page</li><li>paper quality</li><li>color management policies</li></ul>,paper quality
<b> Which statement best describes the Quick Mask feature?</b><br><ul><li>It allows you to use the Pen tool to edit a selection</li><li>It allows you to use the Brush tool to create or refine a selection</li><li>It allows you to duplicate a mask quickly.</li><li>It allows you to convert a vector mask to a layer mask.</li></ul>,It allows you to use the Brush tool to create or refine a selection
