"<b> Teams may encounter the need for ""technical"" user stories. Who decides the priority of these?</b><br><ul><li>the Product Owner with help from Operations</li><li>the Tech Lead with help from the Product Owner</li><li>the Product Owner with help from the Tech Lead</li><li>the Tech Lead with help from Operations</li></ul>",the Product Owner with help from the Tech Lead
<b> What is the Scrum Master's role during the daily stand-up?</b><br><ul><li>Congratulate the team on their great work.</li><li>Stand outside the circle of developers and listen for impediments.</li><li>The Scrum Master should not attend—this meeting is for developers only.</li><li>Ask each developer what they did since the last daily standup.</li></ul>,Stand outside the circle of developers and listen for impediments.
<b> Which factor should not be considered during Sprint Planning?</b><br><ul><li>the team's velocity</li><li>the number of stories in the product backlog</li><li>the stories that are ready</li><li>the team's capacity</li></ul>,the number of stories in the product backlog
"<b> A team member has been showing signs of great personal distress: crying at work, snapping at colleagues, having heated phone conversations. As Team Facilitator, what should you do?</b><br><ul><li>Report this at the Sprint Release.</li><li>Advise the PO as soon as possible. (Old answer: Notify the team member's manager of your observations and ask the manager for help.)</li><li>Point out the reasons why and collaborate on solutions.</li><li>Ask the PO to extend the sprint.</li></ul>",Advise the PO as soon as possible. (Old answer: Notify the team member's manager of your observations and ask the manager for help.)
"<b> Which statement describes the flow of work in the Scaled Agile Framework?</b><br><ul><li>It is a ""push"" system.</li><li>It is ""push"" at the top and ""pull"" at the bottom.</li><li>It is a ""pull"" system.</li><li>It is neither ""push"" nor ""pull.""</li></ul>","It is neither ""push"" nor ""pull."""
"<b> What is the Product Owner's role in deciding the priority of work in the sprint backlog?</b><br><ul><li>None—the Scrum Master should prioritize the work in the sprint backlog.</li><li>The PO should prioritize the items in the sprint backlog.</li><li>The developers prioritize work unless they cannot complete it, in which case the PO should prioritize the remaining work.</li><li>None—the developers should prioritize the work in the sprint backlog.</li></ul>",None—the developers should prioritize the work in the sprint backlog.
"<b> The Scaled Agile Framework advocates that, if you measure only one thing, what should you measure?</b><br><ul><li>quality</li><li>predictability of delivery</li><li>cost of delay</li><li>return on investment</li></ul>",cost of delay
<b> Why should you apply Weighted Shortest Job First?</b><br><ul><li>to maximize the return on investment</li><li>to determine the economic sequencing of the backlog</li><li>to visualize queue length</li><li>to fulfill a commitment to quality</li></ul>,"to determine the economic sequencing of the backlog<br><br>[Reference](https://www.scaledagileframework.com/wsjf/) `Weighted Shortest Job First (WSJF) is a prioritization model used to sequence jobs (eg., Features, Capabilities, and Epics) to produce the maximum economic benefit. In a flow-based system, priorities are updated continuously to provide the best economic outcomes. Job sequencing, rather than individual job return on investment, produces the best result. To that end, WSJF is used to prioritize backlogs by calculating the relative CoD and job size (a proxy for the duration).`<br>"
<b> You have classified the features in your backlog according to risk and value. Which features should the development team work on first?</b><br><ul><li>low-value and high-risk</li><li>high-value and high-risk</li><li>high-value and low-risk</li><li>low-value and low-risk</li></ul>,"high-value and high-risk<br><br>[Reference](https://agilescrumguide.com/blog/files/tag-product-backlog---business-value-and-risk.html) `It is suggested that high business value, high-risk items are worked on first. While that may seem counterintuitive, the earlier this work is done, the sooner the team will move to mitigate the issues and unknowns—leading to a higher quality product. If there's a failure, it will occur early and relatively inexpensively.`<br>"
"<b> In the Scaled Agile Framework, what is the role of Enablers?</b><br><ul><li>They help extend the Architectural Runway.</li><li>They connect vision to mission so the organization can be successful.</li><li>They support team building.</li><li>They remove the impediments to quality.</li></ul>",They help extend the Architectural Runway.
<b> Which outcome is not expected of a Sprint Review?</b><br><ul><li>The team demonstrates its completed work.</li><li>The team reflects on how to improve its performance.</li><li>Items in the backlog may be reprioritized.</li><li>Stakeholders ask questions about the completed and upcoming backlog items.</li></ul>,The team reflects on how to improve its performance.
<b> What is not a technique used for splitting user stories?</b><br><ul><li>split by line-of-business</li><li>split compound user stories</li><li>split by alternative paths</li><li>split by interface</li></ul>,split compound user stories
<b> Who decides what the team will work on?</b><br><ul><li>the Scrum Master</li><li>a self-organizing team</li><li>the Product Owner</li><li>the Product Manager</li></ul>,a self-organizing team
<b> Which choice is not a Scrum value?</b><br><ul><li>focus</li><li>integrity</li><li>courage</li><li>commitment</li></ul>,integrity
<b> What should happen if the Product Owner does not accept a story by the end of the iteration?</b><br><ul><li>The team does not get credit for the story's points in its velocity calculation.</li><li>The story should be sliced to reflect the work completed.</li><li>The acceptance criteria should be adjusted to reflect the work completed.</li><li>The story should be shown to stakeholders for their feedback.</li></ul>,The story should be shown to stakeholders for their feedback.
<b> Which statement is not true about the product backlog?</b><br><ul><li>It is a list of work items that are behind schedule.</li><li>The items are maintained in priority order.</li><li>Anyone on the team can propose an item for it.</li><li>It includes all of the work to be done.</li></ul>,It is a list of work items that are behind schedule.
<b> A project has some major risks that the team wants to mitigate. What is the best way to monitor how well this effort is going?</b><br><ul><li>risk-based spike</li><li>risk-adjusted backlog</li><li>risk velocity chart</li><li>risk burndown graph</li></ul>,risk burndown graph
"<b> The VP of Engineering wants to start giving out a ""Team Member of the Sprint"" award to recognize a top performer in each group. What advice should you give this VP?</b><br><ul><li>This is unhelpful unless there has been recent employee feedback indicating that people feel underappreciated.</li><li>This is a good idea as long as a different person is recognized in each sprint.</li><li>This is a good idea because awards can motivate people to do their best.</li><li>This is unhelpful because it can destroy the team unity essential to achieving high performance.</li></ul>",This is unhelpful because it can destroy the team unity essential to achieving high performance.
<b> What is a difference between a team's task board and a Kanban?</b><br><ul><li>A Kanban has an explicit rule to limit WIP.</li><li>A Kanban shows the backlog of work.</li><li>A Kanban does not use a Definition of Done.</li><li>A Kanban shows the status of the work items.</li></ul>,A Kanban has an explicit rule to limit WIP.<br><br>[Reference](https://www.lucidchart.com/blog/kanban-vs-scrum#:~:text=Kanban%20vs%20scrum) `Explicit rule applies to scrum team's task board: tasks cannot be added to the scrum board in the middle of a sprint.`<br>
"<b> The team complains that ""things have been falling through the cracks lately."" What should you do?</b><br><ul><li>Ask the team's manager to make role assignments so the team can catch up.</li><li>Conduct a workshop to identify all of the things that need to be done and see who can help with each.</li><li>Refer to the team's RACI (Responsible, Accountable, Consulted, Informed) assignments.</li><li>Meet with the Tech Lead and Product Owner to try to identify what can be done.</li></ul>",Conduct a workshop to identify all of the things that need to be done and see who can help with each.
"<b> In Large-Scale Scrum, what is the recommended ratio of Scrum Masters to teams?</b><br><ul><li>One Scrum Master can support up to five teams.</li><li>Large teams should have two Scrum Masters.</li><li>There should be one Scrum Master per team.</li><li>One Scrum Master can support one to three teams.</li></ul>",One Scrum Master can support one to three teams.
"<b> In the Cynefin framework, where are ""best practices"" most appropriate?</b><br><ul><li>in the Complex regime</li><li>in the Complicated regime</li><li>in the Chaotic regime</li><li>in the Obvious regime</li></ul>",in the Obvious regime
"<b> A manager informs you that a developer from another team is between assignments, and she wants to place the developer on your team for a few sprints. What should you do?</b><br><ul><li>Explain to the manager that this will be disruptive to the team and ask that another assignment be found.</li><li>Explain the situation to the team and ask them to go with the flow.</li><li>Explain the situation to your manager and ask them to resolve it.</li><li>When the temporary developer shows up, assign them to write documentation.</li></ul>",Explain to the manager that this will be disruptive to the team and ask that another assignment be found.
<b> The Product Owner complains to you that the team is not working hard enough and they need to increase their velocity by at least </b><br><ul><li>Share the feedback from the PO and challenge the team to increase their velocity.</li><li>Ask the PO to explain the business context to the team.</li><li>Explain the impact of technical debt to the PO and the benefits of devoting some capacity to reducing it.</li><li>Hold a Value Stream Mapping workshop to identify and reduce waste.</li></ul>,Share the feedback from the PO and challenge the team to increase their velocity.
<b> What is the name of the practice in which a cross-functional team collaborates intensively to develop a new product idea?</b><br><ul><li>Hackathon</li><li>Scrum at Scale</li><li>Innovation and Planning</li><li>Magnum Focus</li></ul>,Hackathon
<b> The team's manager wants to attend the Sprint Retrospective. What should you do?</b><br><ul><li>Agree to the manager's request and notify the team.</li><li>Propose that the manager attend only every other retrospective.</li><li>Propose a different forum for the manager to meet with the team.</li><li>Ask the team if it is okay with them that the manager attend.</li></ul>,Propose a different forum for the manager to meet with the team.
<b> Who is responsible for a Scrum team's performance?</b><br><ul><li>the team</li><li>the Scrum Master</li><li>the Product Owner</li><li>the Engineering Manager</li></ul>,the team
"<b> Which statement concerning small, frequent releases of software is true?</b><br><ul><li>The chance for rollback is high.</li><li>It typically requires a high degree of automation.</li><li>The administrative costs are high.</li><li>Backward compatibility may be jeopardized.</li></ul>",It typically requires a high degree of automation.
<b> What is the activity of clarifying and expanding user stories called?</b><br><ul><li>story point estimating</li><li>Definition of Done</li><li>user story expansion</li><li>backlog refinement</li></ul>,backlog refinement
"<b> Which strategy is preferred for development teams?</b><br><ul><li>Optimize for most work done.</li><li>Maximize output and maximize outcome.</li><li>Maximize outcome while minimizing output.</li><li>Optimize for resource utilization.`""…your job is to minimize output, and maximize outcome and impact."" - Jeff Patton`<br></li></ul>",Maximize outcome while minimizing output.
<b> Which statement is true about the actor in a user story?</b><br><ul><li>The actor does not have to be a specified role in the solution.</li><li>There must be multiple personas for each actor.</li><li>The actor can be the system itself.</li><li>The system cannot be the actor.</li></ul>,"The actor can be the system itself.<br><br>[Reference](https://tcagley.wordpress.com/2015/03/31/the-difference-between-a-persona-and-an-actor/) Actors can be a person, group, or system(s).<br>"
"<b> Which statement is true about Agile?</b><br><ul><li>Agile requires a high degree of up-front planning.</li><li>Once the requirements are agreed to, the team can complete work.</li><li>Agile requires a high degree of discipline.</li><li>Agile works best when there is no contract.</li></ul>",Agile requires a high degree of discipline.
<b> Which statement about burndown and burnup charts is not true?</b><br><ul><li>Burndown charts show the work remaining to be done.</li><li>Burnup charts show the work completed.</li><li>Burndown charts are more useful than burnup charts.</li><li>Agile project management tools can produce these automatically.</li></ul>,Burndown charts are more useful than burnup charts.
<b> What is the name for the practice of going to see a process in use at the point of value delivery?</b><br><ul><li>Six Sigma</li><li>Gemba Walk</li><li>Total Quality Management</li><li>Kaizen</li></ul>,Gemba Walk<br><br>[Reference](https://en.wikipedia.org/wiki/Gemba#Gemba_walk) The Gemba Walk is an opportunity for staff to stand back from their day-to-day tasks to walk the floor of their workplace to identify wasteful activities.<br>
