"<b> To add features, components, and permissions to your Android app, which file needs to be edited?</b><br><ul><li>AndroidManifest.xml</li><li>Components.xml</li><li>AppManifest.xml</li><li>ComponentManifest.xml</li></ul>",AndroidManifest.xml
<b> Which XML attribute should be used to make an Image View accessible?</b><br><ul><li>android:talkBack</li><li>android:labelFor</li><li>android:hint</li><li>android:contentDescription</li></ul>,android:contentDescription
"<b> You launch your app, and when you navigate to a new screen it crashes, Which action will NOT help you diagnose the issue?</b><br><ul><li>Set breakpoints and then step through the code line by line</li><li>Use the profiler tools in Android Studio to detect anomalies CPU, and network usage.</li><li>Add a Thread.sleep() call before you start the new activity.</li><li>inspect the logs in Logcat.</li></ul>",Add a Thread.sleep() call before you start the new activity.
<b> Why might push notifications stop working?</b><br><ul><li>all of these answers</li><li>The device token is not being sent to push provider correctly.</li><li>Google Play Services is not installed on the deivce/emulator.</li><li>Battery optimization is turned on on the device.</li></ul>,all of these answers
<b> What is the correct set of component classes needed to implement a RecyclerView of items that displays a list of widgets vertically?</b><br><ul><li>A```java<br>RecycleView<br>RecyclerView.Adapter<T extends BaseAdapter><br>RecyclerView.ViewHolder<T extends BaseViewHolder><br>LinearLayoutManager<br>```<br></li><li>B```java<br>RecycleView<br>RecyclerView.Adapter<br>RecyclerView.ViewHolder<T extends BaseViewHolder><br>LinearLayoutManager<br>```<br></li><li>C```java<br>RecycleView<br>RecyclerView.Adapter<br>RecyclerView.ViewHolder<br>LinearLayoutManager<br>```<br></li><li>D```java<br>RecycleView<br>RecyclerView.Adapter<VH extends ViewHolder><br>RecyclerView.ViewHolder<br>LinearLayoutManager<br>```<br></li></ul>,D```java<br>RecycleView<br>RecyclerView.Adapter<VH extends ViewHolder><br>RecyclerView.ViewHolder<br>LinearLayoutManager<br>```<br>
<b> The Android system kills process when it needs to free up memory. The likelihood of the system killing a given process depends on the state of the process and the activity at the time. With combination of process and activity state is most likely to be killed?</b><br><ul><li>Process:In the background;Activity:Is stopped</li><li>Process:In the background;Activity:Is paused</li><li>Process:In the foreground;Activity:Is started</li><li>Process:In the foreground;Activity:Is paused</li></ul>,Process:In the background;Activity:Is stopped
"<b> You have created a NextActivity class that relies on a string containing some data that pass inside the intent Which code snippet allows you to launch your activity?</b><br><ul><li>A```java<br>Intent(this, NextActivity::class.java).also { intent -><br>startActivity(intent)<br>}<br>```<br></li><li>B```java<br>Intent(this, NextActivity::class.java).apply {<br>put(EXTRA_NEXT, ""some data"")<br>}.also { intent -><br>activityStart(intent)<br>}<br>```<br></li><li>C```java<br>Intent(this, NextActivity::class.java).apply {<br>putExtra(EXTRA_NEXT, ""some data"")<br>}.also { intent -><br>startActivity(intent)<br>}<br>```<br></li><li>D```java<br>Intent(this, NextActivity::class.java).apply {<br>put(EXTRA_NEXT, ""some data"")<br>}.also { intent -><br>activityStart(intent)<br>}<br>```<br></li></ul>","C```java<br>Intent(this, NextActivity::class.java).apply {<br>putExtra(EXTRA_NEXT, ""some data"")<br>}.also { intent -><br>startActivity(intent)<br>}<br>```<br>"
"<b> You want to include about and setting modules in your project. Which files accurately reflects their inclusion?</b><br><ul><li>`in build.gradle:include ':app',':about' ':settings'`</li><li>`in settings.gradle:include ':app',':about' ':settings'`</li><li>`in settings.gradle:include ':about',':settings'`</li><li>`in gradle.properties:include ':app',':about' ':settings'`</li></ul>","`in settings.gradle:include ':app',':about' ':settings'`"
"<b> What is the benefit of using @VisibleForTesting annotation?</b><br><ul><li>to denote that a class, methods, or field has its visibility relaxed to make code testable</li><li>to denote that a class, method, or field is visible only in the test code</li><li>to denote that a class, method, or field has its visibility increased to make code less testable</li><li>to throw a run-time error if a class, methods, or field with this annotation is accessed improperly</li></ul>","to denote that a class, methods, or field has its visibility relaxed to make code testable"
<b> How would you specify in your build.gradle file that your app required at least API level </b><br><ul><li>A```<br>defaultConfig {<br>...<br>minApiVersion 21<br>targetApiVersion 28<br>}<br>```<br></li><li>B```<br>defaultConfig {<br>...<br>targetSdkVersion 21<br>testSdkVersion 28<br>}<br>```<br></li><li>C```<br>defaultConfig {<br>...<br>minSdkVersion 21<br>testApiVersion 28<br>}<br>```<br></li><li>D```<br>defaultConfig {<br>...<br>minSdkVersion 21<br>targetSdkVersion 28<br>}<br>```<br></li></ul>,D```<br>defaultConfig {<br>...<br>minSdkVersion 21<br>targetSdkVersion 28<br>}<br>```<br>
<b> When will an activity's onActivityResult()be called?</b><br><ul><li>when calling finish()in the parent activity</li><li>when placing an app into the background by sitching to another app</li><li>When onStop() is called in the target activity</li><li>when calling finish() in the target activity</li></ul>,when calling finish() in the target activity<br><br>[Reference](https://developer.android.com/reference/android/app/Activity)<br>
"<b> You need to remove an Event based on it;s id from your API, Which code snippet defines that request in Retrofit?</b><br><ul><li>@DELETE(""events)fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li><li>@DELETE(""events/{id}"")fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li><li>@REMOVE(""events/{id}"")fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li><li>@DELETE(""events/{id}"")fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li></ul>","<ul><li>@DELETE(""events/{id}"")fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li><li>@DELETE(""events/{id}"")fun deleteEvent(@Path(""id"") id: Long): Call<Unit><br></li></ul>"
<b> When would you use a product flavour in your build setup?</b><br><ul><li>when you need to have the app's strings present in multiple lanuages</li><li>when you have to provide different versions of your app based on the physical device size</li><li>when you want to provide different versions of your app based on the device screen density</li><li>when you want to provide different version of your app with custom configuration and resources</li></ul>,when you want to provide different version of your app with custom configuration and resources
"<b> Given the fragment below, how would you get access to a TextView with an ID of text_home contained in the layout file of a Fragment class?</b><br><br>```java<br>private lateinit var textView: TextView<br>override fun onCreateView(...): View? {<br>val root = inflator.inflator(R>layout.fragment_home, container, false)<br>textView = ??<br>return root<br>}<br>```<br><br><ul><li>root.getById(R.id.text_home)</li><li>findViewByID(R.id.text_home)</li><li>root.findViewById(R.id.text_home)</li><li>root.find(R.id.text_home)</li></ul>",root.findViewById(R.id.text_home)
"<b> Why do you use the AndroidJUnitRunner when running UI tests?</b><br><br>Notice: AndroidJUnitRunner lets us run JUnit3/4-style tests on Android Devices<br><br><ul><li>The test runner facilitates loading your test package and the app under test onto a device or emulator, runs the test, and reports the results.</li><li>The test runner creating screenshots of each screen that displayed while tests are executed.</li><li>The test runner facilitates parallelization of test classes by providing for each test class.</li><li>The test runner facilitates interacting with visible elements on a device, regardless of the activity or fragment that has focus.</li></ul>","The test runner facilitates loading your test package and the app under test onto a device or emulator, runs the test, and reports the results."
