"<b> What is the purpose of the ViewChild decorator in this component class?</b><br><br>```angularjs<br>@Component({<br>...<br>template: '<p #bio></p>'<br>})<br>export class UserDetailsComponent {<br>@ViewChild('bio') bio;<br>}<br>```<br><br><ul><li>It provides access from within the component class to the ElementRef object for the `<p>` tag that has the bio template reference variable in the component's template view.</li><li>It indicates that the `<p>` tag be rendered as a child of the parent view that uses this component.</li><li>It makes the `<p>` tag in the template support content projection.</li><li>It makes the `<p>` tag visible in the final render. If the #bio was used in the template and the @ViewChild was not used in the class, then Angular would automatically hide the `<p>` tag that has #bio on it.</li></ul>",It provides access from within the component class to the ElementRef object for the `<p>` tag that has the bio template reference variable in the component's template view.<br><br>[DigitalOcean - viewchild-access-component](https://www.digitalocean.com/community/tutorials/angular-viewchild-access-component)<br>
<b> What method is used to wire up a FormControl to a native DOM input element in reactive forms?</b><br><ul><li>Add the string name given to the FormControl to an attribute named controls on the <form> element to indicate what fields it should include.</li><li>Use the square bracket binding syntax around the value attribute on the DOM element and set that equal to an instance of the FormControl.</li><li>Use the formControlName directive and set the value equal to the string name given to the FormControl.</li><li>Use the string name given to the FormControl as the value for the DOM element id attribute.</li></ul>,Use the formControlName directive and set the value equal to the string name given to the FormControl.<br><br>[Angular.io - Reactive Form Groups](https://angular.io/guide/reactive-forms#creating-nested-form-groups)<br>
<b> What is the difference between the `paramMap` and the `queryParamMap` on the `ActivatedRoute` class?</b><br><ul><li>The paramMap is an object literal of the parameters in a route's URL path. The queryParamMap is an Observable of those same parameters.</li><li>The paramMap is an Observable that contains the parameter values that are part of a route's URL path. The queryParamMap is a method that takes in an array of keys and is used to find specific parameters in the paramMap.</li><li>paramMap is the legacy name from Angular 3. The new name is queryParamMap.</li><li>Both are Observables containing values from the requested route's URL string. The paramMap contains the parameter values that are in the URL path and the queryParamMap contains the URL query parameters.</li></ul>,Both are Observables containing values from the requested route's URL string. The paramMap contains the parameter values that are in the URL path and the queryParamMap contains the URL query parameters.<br><br>[StackOverflow](https://stackoverflow.com/a/49617621)<br>
"<b> Based on the following usage of the async pipe, and assuming the users class field is an Observable, how many subscriptions to the users Observable are being made?</b><br><br>```html<br><h2>Names</h2><br><div *ngFor=""let user of users | async"">{{ user.name }}</div><br><h2>Ages</h2><br><div *ngFor=""let user of users | async"">{{ user.age }}</div><br><h2>Genders</h2><br><div *ngFor=""let user of users | async"">{{ user.gender }}</div><br>```<br><br><ul><li>None. The async pipe does not subscribe automatically.</li><li>None. The template syntax is not correct.</li><li>Three. There is one for each async pipe.</li><li>One. The async pipe caches Observables by type internally.</li></ul>",Three. There is one for each async pipe.<br><br>[UltimateCourses](https://ultimatecourses.com/blog/angular-ngfor-async-pipe)<br>
"<b> How can you use the HttpClient to send a POST request to an endpoint from within an addOrder function in this OrderService?</b><br><br>```angularjs<br>export class OrderService {<br>constructor(private httpClient: HttpClient) { }<br>addOrder(order: Order) {<br>// Missing line<br>}<br>}<br>```<br><br><ul><li>this.httpClient.url(this.orderUrl).post(order);</li><li>this.httpClient.send(this.orderUrl, order);</li><li>this.httpClient.post<Order>(this.orderUrl, order);</li><li>this.httpClient.post<Order>(this.orderUrl, order).subscribe();</li></ul>","this.httpClient.post<Order>(this.orderUrl, order).subscribe();<br><br>[Angular.io - Sending data to server](https://angular.io/guide/http#sending-data-to-a-server)<br>"
<b> What is the RouterModule.forRoot method used for?</b><br><ul><li>Registering any providers that you intend to use in routed components.</li><li>Registering route definitions at the root application level.</li><li>Indicating that Angular should cheer on your routes to be successful.</li><li>Declaring that you intend to use routing only at the root level.</li></ul>,Registering route definitions at the root application level.<br><br>[O'REILLY](https://www.oreilly.com/library/view/switching-to-angular/9781788620703/c9e90774-0e10-410b-bd20-d3e9e0b8d117.xhtml)<br>
"<b> Which DOM elements will this component metadata selector match on?</b><br><br>```angularjs<br>@Component({<br>selector: 'app-user-card',<br>. . .<br>})<br>```<br><br><ul><li>Any element with the attribute app-user-card, such as `<div app-user-card></div>`.</li><li>The first instance of `<app-user-card></app-user-card>`.</li><li>All instances of `<app-user-card></app-user-card>`.</li><li>All instances of `<user-card></user-card>`.</li></ul>",All instances of `<app-user-card></app-user-card>`.<br><br>[Angular.io - Component Metadata](https://angular.io/guide/architecture-components#component-metadata)<br>
"<b> What is the correct template syntax for using the built-in ngFor structural directive to render out a list of productNames?</b><br><br>- [ ]<br>```html<br><ul><br><li [ngFor]=""let productName of productNames"">{{ productName }}</li><br></ul><br>```<br>- [ ]<br>```html<br><ul><br><li ngFor=""let productName of productNames"">{{ productName }}</li><br></ul><br>```<br>- [x]<br>```html<br><ul><br><li *ngFor=""let productName of productNames"">{{ productName }}</li><br></ul><br>```<br>- [ ]<br>```html<br><ul><br><? for productName in productNames { ?><br><li>{{ productName }}</li><br><? } ?><br></ul><br>```<br>[Angular.io- Structural Directives](https://angular.io/guide/built-in-directives#listing-items-with-ngfor)<br><br><ul></ul>",<ul></ul>
<b> What are the two component decorator metadata properties used to set up CSS styles for a component?</b><br><ul><li>viewEncapsulation and viewEncapsulationFiles.</li><li>There is only one and it is the property named css.</li><li>css and cssUrl.</li><li>styles and styleUrls.</li></ul>,styles and styleUrls.<br><br>[Angular.io - Component Styles](https://angular.io/guide/component-styles)<br>
"<b> With the following component class, what template syntax would you use in the template to display the value of the title class field?</b><br><br>```javascript<br>@Component({<br>selector: 'app-title-card',<br>template: '',<br>})<br>class TitleCardComponent {<br>title = 'User Data';<br>}<br>```<br><br><ul><li>`{{ 'title' }}`</li><li>`{{ title }}`</li><li>`[title]`</li><li>A class field cannot be displayed in a template via the template syntax.</li></ul>",`{{ title }}`<br><br>[Angular.io - String Interpolation or Text Interpolation](https://angular.io/guide/interpolation)<br>
