"<b> You have an application using a </b><br><ul><li>cost</li><li>ease of maintenance vs. granularity of control</li><li>all of these answers</li><li>the current storage engine used by the application, such as InnoDB or MyISAM</li></ul>",all of these answers
<b> The LAYOFF command turns off the layer of any selected object. What happens if you select an object on the current drafting layer?</b><br><ul><li>AutoCAD turns off the current drafting layer and sets up a new layer in the Layer Properties Manager.</li><li>AutoCAD turns off the current drafting layer and sets the current drafting layer to Layer 0 (zero).</li><li>AutoCAD prompts you if you want to turn off that layer.</li><li>AutoCAD turns off the current drafting layer with no prompt.</li></ul>,AutoCAD prompts you if you want to turn off that layer.
"<b> Sometimes you will need to match properties of one object to another using the Match Properties (MATCHPROP) command. When matching the properties of an existing viewport to a new one, which setting do you turn off in Match Properties to ensure that the viewport scale is not matched across to the new viewport?</b><br><ul><li>Special Properties/Viewport</li><li>Basic Properties/Layer</li><li>Special Properties/Center object</li><li>Basic Properties/Linetype Scale</li></ul>",Basic Properties/Linetype Scale
"<b> When using the Multiple Points (POINT) command, which specific AutoCAD setting should you change from the default setting?</b><br><ul><li>Change your layer (LAYER) so that points can be seen easily.</li><li>Change your color (COLOR) so that points can be seen easily.</li><li>Change your linetype (LINETYPE) so that points can be seen easily.</li><li>Change your point style (PTYPE) so that points can be seen easily.</li></ul>",Change your point style (PTYPE) so that points can be seen easily.
"<b> When working in a layout, if a viewport is activated and locked and you accidentally zoom in or out, what happens to your viewport scale?</b><br><ul><li>Nothing. The viewport scale remains the same.</li><li>The viewport scale returns to the default 1:1 scale.</li><li>The viewport scale changes to the next available standard scale.</li><li>The viewport scale changes to a nonstandard scale.</li></ul>",Nothing. The viewport scale remains the same.
<b> Dynamic Input (DYNMODE) is switched on by default. Which function key do you use to control the Dynamic Input toggle?</b><br><ul><li>F8</li><li>F1</li><li>F9</li><li>F12 (Windows) or Shift+Command+D (Mac)</li></ul>,F12 (Windows) or Shift+Command+D (Mac)
<b> What specific annotation setting must be in place in order to place a text annotation in a drawing?</b><br><ul><li>a multileader style</li><li>a dimension style</li><li>a table style</li><li>a text style</li></ul>,a text style
"<b> In a standard AutoCAD installation, what does rolling the mouse backward do?</b><br><ul><li>zoom out</li><li>zoom left</li><li>zoom in</li><li>zoom right</li></ul>",zoom out
"<b> When an inserted block is selected, a single grip is displayed on the block, as shown in the image below. What is this point known as when the block is created with the Create Block (BLOCK) command?</b><br><ul><li>origin point</li><li>zero point</li><li>block origin point</li><li>insertion point</li></ul>",insertion point
"<b> External reference files (XREFs) link external drawings to the host drawing. You can set the XREF path type to no path, relative path, or full path. What value should be used for the relative path type?</b><br><ul><li>REFPATHTYPE = 2</li><li>REFPATHTYPE = 3</li><li>REFPATHTYPE = 1</li><li>REFPATHTYPE = 0</li></ul>",REFPATHTYPE = 1
"<b> One of the benefits of a locked viewport in a layout is that you can activate it and work through the viewport on the objects and annotation in the model space, without worrying about affecting the viewport scale. What is the space in the activated viewport commonly known as when you do this?</b><br><ul><li>scaled model space</li><li>layout model space</li><li>floating model space</li><li>viewport model space</li></ul>",layout model space
"<b> When using annotative scaling with dimensions and an annotative dimension style, which two variables need to match for the dimensioning to display in a scaled viewport?</b><br><ul><li>drawing scale and viewport scale</li><li>insertion scale and viewport scale</li><li>block scale and viewport scale</li><li>annotation scale and viewport scale</li></ul>",annotation scale and viewport scale
"<b> You can share tool palettes with other AutoCAD users, provided that the palette source drawing location does not change. What file do you need to share to ensure that another user is using the same tool palette?</b><br><ul><li>Shared Tool Palette (STP) file</li><li>New Tool Palette (NTP) file</li><li>Exported Tool Palette (XTP) file</li><li>User Tool Palette (UTP) file</li></ul>",Exported Tool Palette (XTP) file
<b> A crossing selection selects what objects?</b><br><ul><li>only the objects completely outside the crossing selection</li><li>only the objects not encompassed nor crossed by the crossing selection</li><li>only the objects completely encompassed by the crossing selection</li><li>only the objects completely encompassed and crossed by the crossing selection</li></ul>,only the objects completely encompassed and crossed by the crossing selection
<b> You can dimension objects in AutoCAD from the Annotation panel on the Home tab of the ribbon. Where else can you dimension on the ribbon?</b><br><ul><li>the Dimension panel on the Annotate tab</li><li>the Dimensional panel on the Parametric tab</li><li>the Palettes panel on the View tab</li><li>the Reference panel on the Insert tab</li></ul>,the Dimension panel on the Annotate tab
"<b> When drawing a group of line segments with the LINE command, which command on the right-click shortcut menu allows you to form a closed boundary and snap back to the start point of the first line segment?</b><br><ul><li>CLOSE</li><li>ENTER</li><li>CANCEL</li><li>UNDO</li></ul>",CLOSE
"<b> AutoCAD allows you to create elliptical arcs in drawings. When creating one of these arcs, which default drafting rule do you need to follow?</b><br><ul><li>Arcs follow a counterclockwise (positive angle value) path.</li><li>Arcs follow a clockwise (positive angle value) path.</li><li>Arcs always follow a path with a negative angle value.</li><li>Arcs follow a user-defined path.</li></ul>",Arcs follow a user-defined path.
"<b> Linetype Scale (LTSCALE) is applied to what sort of linetypes in AutoCAD drawings?</b><br><ul><li>any objects that utilize a continuous linetype</li><li>any objects that utilize any linetype</li><li>any objects that utilize a dashed or dotted linetype, or a combination of both</li><li>any objects that utilize a colored or continuous linetype, or a combination of both</li></ul>",any objects that utilize any linetype
"<b> By default, all of the ARRAY commands make their respective arrays associative and group the selected objects in the array. What command would you use to convert the selected array into individual AutoCAD objects?</b><br><ul><li>EATTEDIT</li><li>WBLOCK</li><li>EXPLODE</li><li>PROPERTIES</li></ul>",EXPLODE
<b> Which command opens a folder where you can start the Add-a-Plotter wizard?</b><br><ul><li>QUICKSETUP</li><li>STYLESMANAGER</li><li>PLOTTERMANAGER</li><li>PLOTTERWIZARD</li></ul>,PLOTTERMANAGER
<b> Dimensions in a drawing can be spaced automatically with the Adjust Space (DIMSPACE) command. You can specify a distance between spaced dimensions or you can use the Auto option. What does Auto do to the dimensions being spaced?</b><br><ul><li>calculates the Auto space as one and a half times (1.5x) the text height of the text in the dimension style being used</li><li>calculates the Auto space as twice the distance between the first and second dimensions selected for spacing</li><li>calculates the Auto space as three times (3x) the text height of the text in the dimension style being used</li></ul>,calculates the Auto space as twice the distance between the first and second dimensions selected for spacing
"<b> There is often a need to hide or isolate selected objects, especially in complex drawings when detailing geometry. Where would you find the Isolate menu option—which is not on the ribbon?</b><br><ul><li>the status bar</li><li>a right-click shortcut menu after object selection</li><li>the Quick Access toolbar (QAT)</li><li>the navigation bar</li></ul>",a right-click shortcut menu after object selection
"<b> System variables can be monitored in AutoCAD. When monitored, they can also be reset to preferred values. What command is used to control these system variables?</b><br><ul><li>SYSVARMONITOR</li><li>SYSVARMON</li><li>SYSTEMVARIABLEMON</li><li>SYSVARIABLEMONITOR</li></ul>",SYSVARMONITOR
"<b> When using HIDE or ISOLATE in a drawing, the objects are either hidden or isolated for clarity. What happens to the layers of hidden or isolated objects?</b><br><ul><li>The hidden and isolated object layers go on to their own layer.</li><li>The isolated object layers stay on; all other layers are turned off in the Layer Properties Manager.</li><li>Nothing happens.</li><li>The hidden object layers turn off; all other layers stay on in the Layer Properties Manager.</li></ul>",Nothing happens.
"<b> When scaling a drawing from imperial feet and inches to metric millimeters, what scale factor do you use in the SCALE command, before adjusting your units settings?</b><br><ul><li>25.4</li><li>0.03937</li><li>12.0</li><li>0.08333</li></ul>",25.4
"<b> When drawing line objects in a drawing, you may use coordinates to define distance and direction. One type of coordinate is a relative coordinate, which is relative to the last point specified—often the second point when drawing a line using the LINE command. What prefix symbol should you type in front of </b><br><ul><li>`#X,Y`</li><li>`@X,Y`</li><li>`R-(X,Y)`</li><li>`REL X,Y`</li></ul>","`@X,Y`"
"<b> Center Mark (CENTERMARK), a new annotation tool for circles and arcs, provides an associative center mark that can be edited easily and remains associative to its geometry. Which AutoCAD system variable controls the extension line overshoots that go past the circumference of the circle or arc?</b><br><ul><li>CENTERRESET</li><li>CENTEREXE</li><li>CENTERLTSCALE</li><li>CENTERMARKEXE</li></ul>",CENTERMARKEXE
<b> Where would you find the Application menu in AutoCAD?</b><br><ul><li>bottom-left corner of the screen</li><li>bottom-right corner of the screen</li><li>top-right corner of the screen</li><li>top-left corner of the screen</li></ul>,top-left corner of the screen
"<b> When plotting in AutoCAD, the default plotting style is a color-dependent plot style table (CTB). You can also use named plot style tables (STB). You can change a CTB drawing to an STB drawing using which command?</b><br><ul><li>CONVERTPSTYLES</li><li>CONVSTYLES</li><li>CONVERTPLOT</li><li>CONVPLOTSTYLE</li></ul>",CONVERTPSTYLES
