"<b> How can you edit a feature?</b><br><ul><li>Select the feature, press Delete, and then create a new feature.</li><li>Right-click the feature and select Edit Feature.</li><li>Keep clicking Undo until the feature is gone.</li><li>Find the feature in the browser, select Remove, and then create a new feature.</li></ul>",Right-click the feature and select Edit Feature.
<b> Which tool creates a plane normal to a sketch path or edge?</b><br><ul><li>Plane Through Two Edges</li><li>Plane Along Path</li><li>Plane at Angle</li><li>Plane Through Three Points</li></ul>,Plane Along Path
"<b> Which tool measures the precise distance between two points, and creates dimensions that are parallel to the locations of objects?</b><br><ul><li>Aligned Dimension</li><li>Linear Dimension</li><li>Angular Dimension</li><li>Ordinate Dimension</li></ul>",Linear Dimension
"<b> How many holes were used in the making of this object?</b><br><br><img src=""autodesk-fusion-360-quiz_question_4""><br><br><ul><li>1</li><li>2</li><li>3</li><li>4</li></ul>",1
"<b> In simulation, which constraint prevents movement in a specific direction?</b><br><ul><li>frictionless</li><li>prescribed displacement</li><li>pin</li><li>fixed</li></ul>",fixed
"<b> In the CAM workspace, which strategy removes a part's interior cavity?</b><br><ul><li>Slot</li><li>2D Pocket</li><li>Bore</li><li>2D Contour</li></ul>",2D Pocket
<b> What does the Zebra Analysis tool do?</b><br><ul><li>It applies a metal render.</li><li>It fixes bodies.</li><li>It checks a body's continuity.</li><li>It splits bodies apart.</li></ul>,It checks a body's continuity.
<b> Which command creates a plane at the midpoint between two faces or work planes?</b><br><ul><li>Midplane</li><li>Plane Tangent to Face at Point</li><li>Offset Plane</li><li>Plane at Angle</li></ul>,Midplane
<b> Which hole type automatically enters a diameter value based on the type of fastener it will accomodate?</b><br><ul><li>Clearance</li><li>Simple</li><li>Drilled</li><li>Through</li></ul>,Simple
"<b> Which workspace creates components made from thin, premade material formed into specific shapes?</b><br><ul><li>Mesh</li><li>Simulation</li><li>Animation</li><li>Sheet Metal</li></ul>",Sheet Metal
<b> What is required to invite other people into your project folder?</b><br><ul><li>a name</li><li>an email address</li><li>an IP address</li><li>a phone number</li></ul>,an email address
<b> Which tool connects two joints in a way that the motion of one joint can drive the motion of another joint?</b><br><ul><li>Drive Joints</li><li>As-built Joint</li><li>Motion Study</li><li>Motion Link</li></ul>,Motion Link
<b> Which joint type allows components to translate along two axes and rotate around a single axis?</b><br><ul><li>slider</li><li>revolute</li><li>planar</li><li>pin-slot</li></ul>,planar
<b> Which view shows a drawing part at an enlarged scale?</b><br><ul><li>detail view</li><li>section view</li><li>base view</li><li>projected view</li></ul>,detail view
<b> Which file type is not a drawing output?</b><br><ul><li>DWG file</li><li>CSV file</li><li>STEP file</li><li>PDF file</li></ul>,CSV file
<b> What command do you use to understand the relationship between multiple joints?</b><br><ul><li>Lock</li><li>Animate Joint</li><li>Animate Model</li><li>Motion Link</li></ul>,Animate Joint
<b> What translator converts the screen toolpath into language the CNC machine understands?</b><br><ul><li>a post processor</li><li>G-code</li><li>NC-code</li><li>a code processor</li></ul>,a post processor
<b> Which pattern tool copies objects around a selected axis?</b><br><ul><li>Rectangular Pattern</li><li>Pattern on Path</li><li>Mirror Plane</li><li>Circular Pattern</li></ul>,Circular Pattern
<b> What is the initial view placed in a drawing called?</b><br><ul><li>base view</li><li>detail view</li><li>section view</li><li>main view</li></ul>,base view
<b> Which command performs Boolean operations between solid bodies?</b><br><ul><li>Draft</li><li>Press</li><li>Pull</li><li>Combine</li><li>Scale</li></ul>,Combine
<b> You want to set up studies to test your design and see how it performs under various loads and conditions. Which workspace do you use?</b><br><ul><li>Animation</li><li>Mesh</li><li>Simulation</li><li>Render</li></ul>,Simulation
<b> Which type of fillet applies two or more radius values to a selected edge?</b><br><ul><li>G2</li><li>Variable Radius</li><li>Chord Length</li><li>Smooth</li></ul>,Variable Radius
<b> Which tool analyzes a T-spline body and corrects it?</b><br><ul><li>Repair Body</li><li>Convert</li><li>Enable Better Performance</li><li>Make Uniform</li></ul>,Repair Body
<b> Which pattern tool creates copies of objects in one or two directions?</b><br><ul><li>Pattern on Path</li><li>Mirror Plane</li><li>Rectangular Pattern</li><li>Circular Pattern</li></ul>,Rectangular Pattern
"<b> Which command shows the movement of the joint only, and does not take into account other grounded joints or any external effects on the joint?</b><br><ul><li>Suppress</li><li>Animate Model</li><li>Drive Joints</li><li>Animate Joint</li></ul>",Animate Joint
"<b> How many sketches are required to create this object?</b><br><br><img src=""autodesk-fusion-360-quiz_question_28""><br><br><ul><li>Two</li><li>Three</li><li>None</li><li>One</li></ul>",Two
"<b> Which option changes the onscreen appearance of a freeform body to a box, control point, or smooth display?</b><br><ul><li>Uniform</li><li>Repair Body</li><li>Display Mode</li><li>Enable Better Performance</li></ul>",Display Mode
<b> Which command splits a body using surfaces generated from its outline curves?</b><br><ul><li>Split Body</li><li>Split Component</li><li>Silhouette Split</li><li>Split Face</li></ul>,Silhouette Split
<b> What controls the position and motion between components?</b><br><ul><li>Assembly constraints</li><li>Motion Link</li><li>Motion Control</li><li>Joints</li></ul>,Joints
<b> Which command merges surfaces to make a single surface body?</b><br><ul><li>Combine</li><li>Unite</li><li>Join</li><li>Stitch</li></ul>,Stitch
<b> Which command uses an open sketch curve to create a thin feature?</b><br><ul><li>Thread</li><li>Rib</li><li>Loft</li><li>sweep</li></ul>,sweep
<b> Which joint type allows components to rotate and translate along the same axis?</b><br><ul><li>Rigid</li><li>Cylindrical</li><li>Revolute</li><li>Ball</li></ul>,Cylindrical
<b> Which tool hollows out a solid model and removes one or more faces?</b><br><ul><li>Thicken</li><li>Open</li><li>Offset</li><li>Shell</li></ul>,Shell
<b> Which analysis tool generates a cutaway view of the model at a single plane?</b><br><ul><li>Segment</li><li>Section</li><li>Detail</li><li>Projection</li></ul>,Section
<b> Which is not an appearance type available in the Render workspace?</b><br><ul><li>Bodies</li><li>Plastic</li><li>Wood</li><li>Metal</li></ul>,Bodies
