<b> How can you increase the CPU resources for your Lambda?</b><br><ul><li>Increase the configured CPU value</li><li>Increase the configured timeout value</li><li>Increase the configured memory value</li><li>Increase the configured concurrency value</li></ul>,Increase the configured memory value
<b> How can additional code or content be provided for your Lambda?</b><br><ul><li>blocks</li><li>layers</li><li>aliases</li><li>handlers</li></ul>,layers
<b> How can Step Functions call Lambdas?</b><br><ul><li>in sequence</li><li>both of these answers</li><li>neither of these answers</li><li>in parallel</li></ul>,both of these answers
<b> Which AWS CLI command invokes a function?</b><br><ul><li>aws lambda invoke --function ReturnBucketName outputfile.txt</li><li>aws lambda execute --function-name ReturnBucketName outputfile.txt</li><li>aws lambda invoke --function-name ReturnBucketName outputfile.txt</li><li>aws lambda execute --function ReturnBucketName outputfile.txt</li></ul>,aws lambda invoke --function-name ReturnBucketName outputfile.txt
<b> What adds tracing capabilities to a Lambda?</b><br><ul><li>AWS Trace</li><li>CloudStack</li><li>CloudTrail</li><li>AWS X-Ray</li></ul>,AWS X-Ray
<b> You need to build a continuous integration/deployment pipeline for a set of Lambdas. What should you do?</b><br><ul><li>Create configuration files and deploy them using AWS CodePipeline.</li><li>Create CloudFormation templates and deploy them using AWS CodeBuild</li><li>Create configuration file and deploy using AWS CodeBuild</li><li>Create CloudFormation templates and deploy them using AWS CodePipeline.</li></ul>,Create CloudFormation templates and deploy them using AWS CodePipeline.
<b> What can you use to monitor function invocations?</b><br><ul><li>API Gateway</li><li>S3</li><li>SAS</li><li>CloudTrail</li></ul>,CloudTrail
<b> It is AWS best practice to enable Lambda logging by which of these methods.</b><br><ul><li>Use S3 metrics and CloudWatch alarms</li><li>Create custom metrics within your Lambda code.</li><li>Create custom metrics within your CloudWatch code.</li><li>Use Lambda metrics and CloudWatch alarms.</li></ul>,Use Lambda metrics and CloudWatch alarms.
<b> What may be provided for environment variables?</b><br><ul><li>an SSL certificate</li><li>a bitmask</li><li>an AWS KMS key</li><li>an HTTP protocol</li></ul>,an AWS KMS key
<b> Lambdas allow for running of what other things?</b><br><ul><li>binaries.</li><li>all of these answers</li><li>executables</li><li>Shell scripts</li></ul>,all of these answers
<b> In what style must you write Lambda code?</b><br><ul><li>MVC</li><li>virtual</li><li>stateless</li><li>protocol</li></ul>,stateless
<b> How can a developer provide Lambda code?</b><br><ul><li>by uploading a .zip file</li><li>all of these answers</li><li>by editing inline</li><li>from an S3 bucket</li></ul>,all of these answers
<b> You are performance-testing your Lambda to verify that you set the memory size adequately. Where do you verify the execution overhead?</b><br><ul><li>CLoudWatch logs</li><li>DynamoDB logs</li><li>S3 logs</li><li>Lambda logs.</li></ul>,Lambda logs.
<b> What facilitates continuous delivery of Lambdas?</b><br><ul><li>CodeStack</li><li>ElasticStack</li><li>Mobile Hub</li><li>CodeDeploy</li></ul>,CodeDeploy
<b> How are computing resources allocated to Lambdas?</b><br><ul><li>proportionally</li><li>equally</li><li>periodically</li><li>daily</li></ul>,proportionally
<b> You can restrict the scope of a user's permissions by specifying which two items in an IAM policy?</b><br><ul><li>resources and users</li><li>resources and conditions</li><li>events and users</li><li>events and conditions</li></ul>,resources and conditions
<b> What does Lambda logging include?</b><br><ul><li>logging streams</li><li>rotating streams</li><li>logging events</li><li>advancing log groups</li></ul>,logging streams
<b> What can AWS Amplify NOT do for a Lambda?</b><br><ul><li>create a Lambda</li><li>be an event source</li><li>assign an IAM role</li><li>delete a Lambda</li></ul>,be an event source
<b> How do you author a Lambda in a programming language that AWS does not support?</b><br><ul><li>Create a Lambda function with a custom runtime and reference the function in your Lambda</li><li>Create a Lambda layer with a custom runtime and reference the layer in your lambda</li><li>You cannot use Lambda in this situation</li><li>Create a Lambda function with a custom runtime</li></ul>,Create a Lambda layer with a custom runtime and reference the layer in your lambda
