"<b> You have an application using a </b><br><ul><li>cost</li><li>ease of maintenance vs. granularity of control</li><li>all of these answers</li><li>the current storage engine used by the application, such as InnoDB or MyISAM</li></ul>",all of these answers
<b> Which database is a NoSQL database type that can quickly store and retrieve key-value pairs?</b><br><ul><li>Aurora</li><li>Neptune</li><li>RDS for MySQL</li><li>DynamoDB</li></ul>,DynamoDB
<b> Your database is an RDS instance running SQL Server with Multi-AZ replication and you have several older .NET console utilities that perform database operations every </b><br><ul><li>Use the RDS console to force a reboot of the database instance so that the primary server becomes the master server again.</li><li>The server running the .NET utilities is caching the DNS lookup on the database cluster address. Flush the DNS cache of the server and force the C# utilities to open new connections to the database.</li><li>A.NET application will retain the IP address of a connection string until the host machine is rebooted.</li><li>The NET utilities need to change the SQL Server endpoint in the connection strings to read from the secondary database server using a try/catch.</li></ul>,The NET utilities need to change the SQL Server endpoint in the connection strings to read from the secondary database server using a try/catch.
<b> What AWS services can help you automate your development pipeline for continuous integration and continuous deployment?</b><br><ul><li>CodePipeline</li><li>CodeDeploy</li><li>all of these answers</li><li>CodeBuild</li></ul>,all of these answers
<b> Which AWS service complies with the standards outlined in Payment Card Industry Data Security Standard (PCI DSS) Level </b><br><ul><li>API Gateway</li><li>all of these answers</li><li>Simple Queue Service (SQS)</li><li>Kinesis Data Streams</li></ul>,all of these answers
<b> You have a large amount of files on your network-attached storage array that must be archived and maintained for a period of </b><br><ul><li>EFS</li><li>Snowball</li><li>OEBS</li><li>S3 Glacier</li></ul>,S3 Glacier
"<b> For your AWS root account, you have generated a random password of the maximum allowed length and included special characters. Which additional steps should you take to secure your AWS root account?</b><br><ul><li>Create an AM role for the account administrator with the highest privileges. Do not store the root password, but when the root account is needed reset the password on the root account via email confirmation and repeat this procedure.</li><li>Store your randomly generated password in your organizational secrets database using a service such as 1Password or LastPass, and only grant access to this secret to the DevOps team.</li><li>Create IAM accounts for your administrators and attach the AdministratorAccess policy to their accounts. Disable the root account in the user settings.</li><li>Create an IAM role for the account administrator with the highest privileges and do not use the root account in day-today operations. Enable two-factor authentication on the root account</li></ul>",Create an IAM role for the account administrator with the highest privileges and do not use the root account in day-today operations. Enable two-factor authentication on the root account
<b> Which Elastic Load Balancing option supports Lambda as a target?</b><br><ul><li>Network Load Balancer</li><li>Lambda can not be called directly by incoming web requests. You must use API Gateway.</li><li>Classic Load Balancer</li><li>Application Load Balancer</li></ul>,Application Load Balancer
<b> How do you architect a solution for an SQL Server database to be replicated across AWS regions in an active-active architecture?</b><br><ul><li>Use RDS for SQL Server and create the same instance in two different regions. Use Database Migration Service to keep each database in sync.</li><li>Use a VPN or VPC peering to establish a connection between the VPCs in each region. Install SQL Server Enterprise Edition on EC2 instances in each region and configure an Always On availability group.</li><li>Use RDS for SQL Server 2016 or 2017 Enterprise Edition. Enable Multi-AZ support and select the Mirroring/Always On option. Select another region for the mirroring option.</li><li>You can not set up an active-active architecture for SQL Server that spans geographic regions.</li></ul>,Use RDS for SQL Server 2016 or 2017 Enterprise Edition. Enable Multi-AZ support and select the Mirroring/Always On option. Select another region for the mirroring option.<br><br>[Reference](https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html?opt_id=oeu1612780272452r0.9199525073583283)<br>
"<b> What does it cost to launch an EC</b><br><ul><li>All images in the AWS Marketplace incur additional hourly fees in addition to the charges from the instance size you select.</li><li>You can only launch images that were created by other users on your AWS account, so you pay only for the instance size you select and the S3 storage costs for the base image.</li><li>Each image has its own pricing that could either be free, or include charges for software licensing costs. You will also pay for the instance the image runs on</li><li>All images in the AWS Marketplace contain only open-source software with no additional fees and are created by other AWS users. You will pay only for the instance size you select.</li></ul>","Each image has its own pricing that could either be free, or include charges for software licensing costs. You will also pay for the instance the image runs on"
