"<b> Which of the three methods will copy the directory named ""photo dir"" recursively from the user's home directory to /backups?</b><br><br>```bash<br>cp -R ""~/photo dir"" /backups #method1<br>cp -R ~""/photo dir"" /backups #method2<br>cp -R ~/""photo dir"" /backups #method3<br>```<br><br><ul><li>None of the three methods will expand to the user's home directory. Only using `""$HOME/photo dir""`will be successful.</li><li>Only method 1 will expand `""~/""` to the user's home directory and then append the quoted directory name that includes a space.</li><li>Only method 2 will expand `""~/""` to the user's home directory and then append the quoted directory name that includes a space.</li><li>Only method 3 will expand `""~/""` to the user's home directory and then append the quoted directory name that includes a space.</li></ul>","Only method 3 will expand `""~/""` to the user's home directory and then append the quoted directory name that includes a space."
"<b> If script.sh is run in the current directory, it will fail. Why?</b><br><br>```bash<br>$ ls -1<br>Beach photo1.jpg<br>Photo1.jpg<br>Photo2.jpg<br>Script.sh<br>$ cat script.sh<br>for i in $(ls *.jpg); do<br>mv $i ${i}.bak<br>done<br>```<br><br><ul><li>ls: cannot access nonexistentfile: No such file or directory</li><li>The for loop will split on word boundaries and Beach photo1.jpg has a space in it.</li><li>The mv command will fail because the curly bracket is a special character in Bash and cannot be used in the names of files.</li><li>Running script.sh will be successful as the ls command builds a list of files in the current directory and for loops through that list renaming files with a .bak extension.</li></ul>",The for loop will split on word boundaries and Beach photo1.jpg has a space in it.
"<b> To run a copy command in a subshell, which syntax would you use?</b><br><ul><li>`( command )`</li><li>`sh command`</li><li>`{ command; }`</li><li>`(( command ))`</li></ul>",`( command )`
"<b> Using ""awk"", what would the output of this command string be?</b><br><br>```bash<br>echo ""1 2 3"" | awk '{for (i=1; i<=NF; i++) s=s+$i};END {print s}'<br>```<br><br><ul><li>6</li><li>123</li><li>3</li><li>600</li></ul>",6
"<b> The command below will search the root filesystem for files named ""finance.db"". In this context, what information is being sent to /dev/null?</b><br><br>```bash<br>find / -name ""finance.db"" 1>results.txt 2>/dev/null<br>```<br><br><ul><li>the names of files that do not match finance.db</li><li>information sent to the standard error-for example, errors that the find command displays as it runs</li><li>the names of files that match finance.db</li><li>information sent to the standard output-that is, the path to files the find command has located</li></ul>","information sent to the standard error-for example, errors that the find command displays as it runs"
"<b> To permanently remove empty lines from a file called textfile, which command could you use?</b><br><ul><li>`sed -i '/^$/d' textfile`</li><li>`sed '/^$/d' textfile`</li><li>`cat textfile | sed '/^$/d`</li><li>`sed -i 's/^$//' textfile`</li></ul>",`sed -i '/^$/d' textfile`
"<b> Assuming that user</b><br><br>```bash<br>awk -F: '/user1/{print $1 ""-"" $3 ""-"" $6}' /etc/passwd<br>```<br><br><ul><li>It would show the username, UID, and home directory of user1 separated by colons.</li><li>It would print the UID, GID, and home directory of user1 separated by hyphens.</li><li>It would print the UID, comment, and home directory of user1 separated by hyphens.</li><li>It would show the username, UID, and home directory of user1 separated by hyphens.</li></ul>","It would show the username, UID, and home directory of user1 separated by hyphens."
"<b> What happens if you use the `""set -e""` in a Bash script?</b><br><ul><li>It will cause Bash to exit if a function or subshell returns a nonzero status code.</li><li>It will cause Bash to exit if a conditional returns a non-zero status code.</li><li>It will cause Bash to exit if local, declare, or typeset assignments return a nonzero status code.</li><li>It will cause Bash to exit if a command, list of commands, compound command, or potentially a pipeline returns a nonzero status code.</li></ul>","It will cause Bash to exit if a command, list of commands, compound command, or potentially a pipeline returns a nonzero status code."
<b> The **\_** keyword pauses the script to get input from standard input.</b><br><ul><li>get</li><li>argument</li><li>read</li><li>input</li></ul>,read
"<b> If file.sql holds SQL statements to be executed, what will be in file.txt?</b><br><br>```bash<br>mysql < file.sql > file.txt<br>```<br><br><ul><li>a copy of the contents of file.sql</li><li>an error indicating that this is invalid syntax</li><li>the error output of the MySQL command</li><li>the non-error output of the MySQL command</li></ul>",the non-error output of the MySQL command
