"<b> Which Code sample will eventually cause the computer to run out of memory?</b><br><br>- [x]<br>```c<br>while(1)<br>{<br>char *smallString = (char *) malloc(10);<br>}<br>```<br>- [ ]<br>```c<br>long long number = 1;<br>while(1)<br>number *= 2;<br>```<br>- [ ]<br>```c<br>while(1)<br>{<br>char hugeString[1000000L];<br>memset(hugeString, 0, 1000000L);<br>}<br>```<br>- [ ]<br>```c<br>while(1)<br>{<br>long *bigArray = (long *) malloc(sizeof(long) * 1000);<br>memset(bigArray, 1000000, 1000);<br>free(bigArray);<br>}<br>```<br><br><ul></ul>",No answer found
"<b> What will this code print on the screen?</b><br><br>```c<br>int f1 (int a, int b)<br>{<br>if (a > b)<br>{<br>printf(""A is greater than B\n"");<br>return 1;<br>}<br>else<br>{<br>printf(""B is greater than A"");<br>return 0;<br>}<br>}<br>main()<br>{<br>if (f1(20,10) || f1(10,20))<br>printf(""C is fun!\n"");<br>}<br>```<br>- [x]<br>```<br>A is greater then B<br>C is fun!<br>```<br>- [ ]<br>```<br>A is greater then B<br>B is greater then A<br>C is fun!<br>```<br>- [ ]<br>```<br>A is greater then B<br>B is greater then A<br>```<br><br><ul><li>Nothing is printed on Screen</li></ul>",No answer found
<b> What is the name for calling a function inside the same function?</b><br><ul><li>recursion</li><li>subfunction</li><li>inner call</li><li>infinite loop</li></ul>,recursion
<b> What does the declaration of variable c</b><br><br>```c<br>main(){<br>char c1 ='a';<br>char c2 = c1+10;<br>}<br>```<br><br><ul><li>character arithmetic</li><li>undefined assignment</li><li>type conversion</li><li>invalid declaration</li></ul>,character arithmetic
"<b> A pointer to void named vptr, has been set to point to a floating point variable named g. What is the valid way to dereference vptr to assign its pointed value to a float variable named f later in this program?</b><br><br>```c<br>float g;<br>void *vptr=&g;<br>```<br><br><ul><li>f = _(float _)vptr;</li><li>f = (float \*)vptr;</li><li>f = \*(float \*)vptr;</li><li>f = \*(float)vptr;</li></ul>",f = \*(float \*)vptr;
<b> What is this declaration an example of?</b><br><br>```c<br>struct s {<br>int i;<br>struct s *s1;<br>struct s *s2;<br>};<br>```<br><br><ul><li>a node</li><li>a linked list</li><li>a stack</li><li>a binary tree</li></ul>,a node
"<b> Header files are listed using the preprocessing directive #include, and can have one of the following formats: #include &lt;fileA&gt; or #include ""fileB"". What is the difference between these two formats?</b><br><ul><li>The preprocessor will try to locate fileA in same directory as the source file, and the fileB in a predetermined directory path.</li><li>The preprocessor will try to locate fileA in the fixed system directory. It will try to locate fileB in the directory path designated by the -I option added to the command line while compiling the source code.</li><li>The file using the fileA syntax must be system files, of unlimited number; fileB must be a user file at a maximun of one per source file.</li><li>The preprocessor will try to locate fileA in a predetermined directory path. It will try to locate fileB in the same directory as the source file along with a custom directory path.</li></ul>",The preprocessor will try to locate fileA in a predetermined directory path. It will try to locate fileB in the same directory as the source file along with a custom directory path.
"<b> Using a for loop, how could you write a C code to count down from </b><br><br>- [ ]<br>```c<br>for (int i = 0; i>=0, i--){<br>printf(""%d\n"", i);<br>}//end of loop<br>```<br>- [ ]<br>```c<br>int i;<br>for (i=1; i<=10; i++){<br>printf(""%d"", i);<br>}<br>```<br>- [ ]<br>```c<br>int i = 10;<br>while (i>0){<br>printf(""%d\n"", i);<br>i--;<br>}<br>```<br>- [x]<br>```c<br>int i;<br>for (i= 10; i>0; i--){<br>printf(""%d\n"", i);<br>}// end of loop<br>```<br><br><ul></ul>",No answer found
<b> What is not one of the reserved words in standard C?</b><br><ul><li>volatile</li><li>typeof</li><li>register</li><li>typedef</li></ul>,typeof<br><br>[Reference](https://www.ibm.com/docs/en/adfz/developer-for-zos/14.2.0?topic=programs-c-reserved-keywords)<br>
"<b> What does the program shown below return?</b><br><br>```c<br>int main(){<br>int a=1, b=2, c=3, d=4;<br>int x = a;<br>if (a>b)<br>if (b<c) x=b;<br>else x=c;<br>return(x);<br>}<br>```<br><br><ul><li>1</li><li>3</li><li>2</li><li>0</li></ul>",1
