"<b> In the following example, which selector has the highest specificity ranking for selecting the anchor link element?</b><br><br>```css<br>ul li a<br>a<br>.example a<br>div a<br>```<br><br><ul><li>`.example a`</li><li>`div a`</li><li>`a`</li><li>`ul li a`</li></ul>",`.example a`
"<b> Using an attribute selector, how would you select an `<a>` element with a ""title"" attribute?</b><br><ul><li>`a[title]{...}`</li><li>`a > title {...}`</li><li>`a.title {...}`</li><li>`a=title {...}`</li></ul>",`a[title]{...}`
"<b> CSS grid and flexbox are now becoming a more popular way to create page layouts. However, floats are still commonly used, especially when working with an older code base, or if you need to support older browser version. What are two valid techniques used to clear floats?</b><br><ul><li>Use the ""clearfix hack"" on the floated element and add a float to the parent element.</li><li>Use the overflow property on the floated element or the ""clearfix hack"" on either the floated or parent element.</li><li>Use the ""clearfix hack"" on the floated element or the overflow property on the parent element.</li><li>Use the ""clearfix hack"" on the parent element or use the overflow property with a value other than ""visible.""</li></ul>","Use the ""clearfix hack"" on the parent element or use the overflow property with a value other than ""visible."""
"<b> What element(s) do the following selectors match to?</b><br><br>```css<br>1) .nav {<br>...;<br>}<br>2) nav {<br>...;<br>}<br>3) #nav {<br>...;<br>}<br>```<br>- [ ]<br>```markdown<br>1. An element with an ID of ""nav""<br>2. A nav element<br>3. An element with a class of ""nav""<br>```<br>- [ ]<br>```markdown<br>They all target the same nav element.<br>```<br>- [x]<br>```markdown<br>1. An element with an class of ""nav""<br>2. A nav element<br>3. An element with a id of ""nav""<br>```<br>- [ ]<br>```markdown<br>1. An element with an class of ""nav""<br>2. A nav element<br>3. An div with a id of ""nav""<br>```<br><br><ul></ul>",No answer found
"<b> When adding transparency styles, what is the difference between using the opacity property versus the background property with an `rgba()` value?</b><br><ul><li>Opacity specifies the level of transparency of the child elements. Background with an `rgba()` value applies transparency to the background color only.</li><li>Opacity applies transparency to the background color only. Background with an `rgba()` value specifies the level of transparency of an element, as a whole, including its content.</li><li>Opacity specifies the level of transparency of an element, including its content. Background with an `rgba()` value applies transparency to the background color only.</li><li>Opacity applies transparency to the parent and child elements. Background with an `rgba()` value specifies the level of transparency of the parent element only.</li></ul>","Opacity specifies the level of transparency of an element, including its content. Background with an `rgba()` value applies transparency to the background color only."
"<b> What is true of block and inline elements? (_Alternative_: Which statement about block and inline elements is true?)</b><br><ul><li>By default, block elements are the same height and width as the content container between their tags; inline elements span the entire width of its container.</li><li>By default, block elements span the entire width of its container; inline elements are the same height and width as the content contained between their tags.</li><li>A `<nav>` element is an example of an inline element. `<header>` is an example of a block element.</li><li>A `<span>` is an example of a block element. `<div>` is an example of an inline element.</li></ul>","By default, block elements span the entire width of its container; inline elements are the same height and width as the content contained between their tags."
"<b> CSS grid introduced a new length unit, fr, to create flexible grid tracks. Referring to the code sample below, what will the widths of the three columns be?</b><br><br>```css<br>.grid {<br>display: grid;<br>width: 500px;<br>grid-template-columns: 50px 1fr 2fr;<br>}<br>```<br><br><ul><li>The first column will have a width of 50px. The second column will be 50px wide and the third column will be 100px wide.</li><li>The first column will have a width of 50px. The second column will be 150px wide and the third column will be 300px wide.</li><li>The first column will have a width of 50px. The second column will be 300px wide and the third column will be 150px wide.</li><li>The first column will have a width of 50px. The second column will be 500px wide and the third column will be 1000px wide.</li></ul>",The first column will have a width of 50px. The second column will be 150px wide and the third column will be 300px wide.
<b> What is the line-height property primarily used for?</b><br><ul><li>to control the height of the space between two lines of content</li><li>to control the height of the space between heading elements</li><li>to control the height of the character size</li><li>to control the width of the space between characters</li></ul>,to control the height of the space between two lines of content
<b> Three of these choices are true about class selectors. Which is NOT true?</b><br><ul><li>Multiple classes can be used within the same element.</li><li>The same class can be used multiple times per page.</li><li>Class selectors with a leading period</li><li>Classes can be used multiple times per page but not within the same element.</li></ul>,Classes can be used multiple times per page but not within the same element.
"<b> There are many properties that can be used to align elements and create page layouts such as float, position, flexbox and grid. Of these four properties, which one should be used to align a global navigation bar which stays fixed at the top of the page?</b><br><ul><li>position</li><li>flexbox</li><li>grid</li><li>float</li></ul>",position
