"<b> According to the shared responsibility model, which cloud computing model places the most responsibility on the cloud service provider (CSP)?</b><br><ul><li>Hybrid Cloud</li><li>Software as a Service (SaaS)</li><li>Platform as a Service (PaaS)</li><li>Infrastructure as a Service (IaaS)</li></ul>",Software as a Service (SaaS)
<b> Which option removes the risk of multitenancy in cloud computing?</b><br><ul><li>PaaS</li><li>public cloud</li><li>private cloud</li><li>IaaS</li></ul>,private cloud
<b> Your organization recently implemented a unified messaging solution and VoIP phones on every desktop. You are responsible for researching the vulnerabilities of the VoIP system. Which type of attack are VoIP phones most vulnerable to experiencing?</b><br><ul><li>denial-of-service</li><li>brute force attacks</li><li>malware</li><li>buffer overflow</li></ul>,denial-of-service
<b> Which security control cannot produce an active response to a security event?</b><br><ul><li>cloud access security broker (CASB)</li><li>intrusion prevention system (IPS)</li><li>intrusion detection system (IDS)</li><li>next generation firewall</li></ul>,intrusion detection system (IDS)<br><br>**Explanation**: An intrusion detection system (`IDS`) is a device or software application that monitors a network or systems for malicious activity or policy violations.<br>[Quizlet](https://quizlet.com/217188159/cissp-practice-testschapter-7-security-operations-domain7-flash-cards/)<br>
<b> Packet sniffer is also called **\_**.</b><br><ul><li>SIEM</li><li>UTM</li><li>protocol analyzer</li><li>data sink</li></ul>,protocol analyzer
<b> Which option tests code while it is in operation?</b><br><ul><li>code review</li><li>code analysis</li><li>static analysis</li><li>dynamic analysis</li></ul>,dynamic analysis
<b> Which option describes testing that individual software developers can conduct on their own code?</b><br><ul><li>gray box testing</li><li>integration testing</li><li>white box testing</li><li>unit testing</li></ul>,unit testing
"<b> In black box penetration testing, what information is provided to the tester about the target environment?</b><br><ul><li>none</li><li>limited details of server and network infrastructure</li><li>all information</li><li>limited details of server infrastructure</li></ul>",none
<b> Which security control can best protect against shadow IT by identifying and preventing use of unsanctioned cloud apps and services?</b><br><ul><li>intrusion prevention system (IPS)</li><li>next generation firewall</li><li>cloud access security broker (CASB)</li><li>intrusion detection system (IDS)</li></ul>,cloud access security broker (CASB)
<b> Which option describes the best defense against collusion?</b><br><ul><li>monitoring of normal employee system and data access patterns</li><li>applying system and application updates regularly</li><li>fault tolerant infrastructure and data redundancy</li><li>separation of duties and job rotation</li></ul>,separation of duties and job rotation<br><br>[Stack Exchange](https://security.stackexchange.com/a/114835/249930)<br>
"<b> During a penetration test, you find a file containing hashed passwords for the system you are attempting to breach. Which type of attack is most likely to succeed in accessing the hashed passwords in a reasonable amount of time?</b><br><ul><li>rainbow table attack</li><li>pass-the-hash attack</li><li>password spray attack</li><li>brute force attack</li></ul>","rainbow table attack<br><br>**Explanation**: A rainbow table attack is a more efficient and effective way of cracking many hashed passwords, whereas brute-forcing would take much longer and may not complete in a reasonable amount of time.<br>[Professor Messer](https://www.professormesser.com/free-a-plus-training/220-1002/brute-force-attacks-3).<br>"
<b> Which area is DMZ?</b><br><br>![image](https://user-images.githubusercontent.com/50566479/136518616-8712a45f-8ba5-48bd-ac60-5a96ddf754ae.png?raw=png)<br><br><ul><li>4</li><li>1</li><li>2</li><li>3</li></ul>,2
<b> You configure an encrypted USB drive for a user who needs to deliver a sensitive file at an in-person meeting. What type of encryption is typically used to encrypt the file?</b><br><ul><li>file hash</li><li>asymmetric encryption</li><li>digital signature</li><li>symmetric encryption</li></ul>,symmetric encryption
