"<b> What is the difference between a stack and queue?</b><br><ul><li>Queues process value types by a top-down hierarchy - first in, first out (FIFO). Stacks follow this principle and insert items from the lower end while deleting ones from the top - last in, first-out (LIFO).</li><li>Queues process value types by a top-down hierarchy-last in, first-out (LIFO). Stacks follow this principle and insert items from the lower end while deleting ones from the top-first in, first-out (FIFO).</li><li>Stacks process value types by a top-down hierarchy - last in, first-out (LIFO). Queues follow this principle and insert items from the lower end while deleting ones from the top - first in, first-out (FIFO)</li><li>Stacks process value types by a top-down hierarchy-first in, first out (FIFO). Queues follow this principle and insert items from the lower end while deleting ones from the top-last in, first-out (LIFO).</li></ul>","Stacks process value types by a top-down hierarchy - last in, first-out (LIFO). Queues follow this principle and insert items from the lower end while deleting ones from the top - first in, first-out (FIFO)"
"<b> Which group contains all official types of JIT compilations?</b><br><ul><li>Pre-JIT, Quick-JIT, Coll-JIT</li><li>Before-JIT, Quick-JIT, Cool-JIT</li><li>Pre-JIT, Quick-JIT, Normal-JIT</li><li>Pre-JIT, Econo-JIT, Normal-JIT</li></ul>","Pre-JIT, Econo-JIT, Normal-JIT"
"<b> What is Kestrel?</b><br><ul><li>an iOS web server initially that was later designed to work with .NET Core</li><li>a cross-platform web server ASP.NET Core that is included by default in ASP.NET Core project templates\*\*</li><li>a cross-platform, open-source web server that starts up web APIs</li><li>a free and open-source cross-platform web server software that can communicate with IIS</li></ul>",a cross-platform web server ASP.NET Core that is included by default in ASP.NET Core project templates\*\*
<b> When would you use asynchronous actions?</b><br><ul><li>to release the quest thread of a I/O operation</li><li>to capture the request thread of a I/O operation</li><li>to avoid blocking the request thread while waits for an I/O operation</li><li>to block the request thread if it waits for an I/O operation</li></ul>,to avoid blocking the request thread while waits for an I/O operation
"<b> What is CoreCLR?</b><br><ul><li>CoreCLR is a component that allows the highest degree of control when coding; you can Abort(), Suspend() or Resume().</li><li>CoreCLR is the .NET execution engine that runs the source code. Special programs called compilers must rewrite it into MSIL.</li><li>CoreCLR is the .NET execution engine the runs the source code. Special programs called compilers must rewrite it into IL.</li><li>CoreCLR is the .NET execution engine in .NET Core that performs functions like garbage collection and compilation to machine code.</li></ul>",CoreCLR is the .NET execution engine in .NET Core that performs functions like garbage collection and compilation to machine code.
"<b> When you define an abstract method, how do you use it in a derived class?</b><br><ul><li>Abstract methods cannot be used in derived classes.</li><li>In your derived class, overload the method.</li><li>In your derived class, override the method.</li><li>In your derived class, declare the method as virtual.</li></ul>","In your derived class, override the method."
<b> Which code do you use if you want to trigger a garbage collection in .NET?</b><br><ul><li>`Garbage.CleanUp();`</li><li>`System.GC.Clear();`</li><li>`System.GC.Collect();`</li><li>`Garbage.Collect();`</li></ul>,`System.GC.Collect();`
<b> You want to include language elements in a program. Which design pattern best fits this objective?</b><br><ul><li>Interpreter <= correct</li><li>Command</li><li>Bridge</li><li>Decorator</li></ul>,Interpreter <= correct
<b> What makes a strong-named assembly?</b><br><ul><li>an assembly with the version specified</li><li>a signed assembly</li><li>an assembly with culture information</li><li>an assembly with the name marked as important</li></ul>,a signed assembly
<b> What happens when you concatenate two strings?</b><br><ul><li>You cannot concatenate strings in .NET.</li><li>The second string object is modified so it contains the concatenated strings.</li><li>A third string object is created containing the concatenated strings.</li><li>The first string object is modified so it contains the concatenated strings.</li></ul>,A third string object is created containing the concatenated strings.
