<b> How can you minimise all views except for the currently selected view in the Eclipse interface?</b><br><ul><li>Press Control-M (Windows) or Command-M (Mac)</li><li>Double-click the tab you want to maximise</li><li>all of these answers</li><li>Click the Maximise button at the top right of the view</li></ul>,all of these answers
<b> What happens when you execute the Run -> Skip all Breakpoints command?</b><br><ul><li>All breakpoints are deleted</li><li>none of these answers</li><li>All breakpoints will not be fired when debugging and will not cause application execution to suspend</li><li>All breakpoints and bookmarks are disabled</li></ul>,All breakpoints will not be fired when debugging and will not cause application execution to suspend
<b> What is not a key part of Eclipse projects and technologies?</b><br><ul><li>Plug-in Development Environment (PDE)</li><li>Eclipse Project</li><li>Java Development Toold (JDT)</li><li>Eclipse .NET</li></ul>,Java Development Toold (JDT)
"<b> Which is a valid way to create a code snippet?</b><br><ul><li>Right-click the selected code and select Add to Snippets</li><li>Drag the code into the snippets view</li><li>Click Source -> Snippets -> Create Snippet</li><li>With the code selected, click the + button in the Snippets view</li></ul>",Right-click the selected code and select Add to Snippets
"<b> In this image, what does the circled button do?</b><br><ul><li>It expands the comparison between the two files to include whitespace.</li><li>It allows you to delete the line of code to which it is connected.</li><li>It allows changes from one version of a file to be applied to another version of the file.</li><li>It allows you to merge both lines of code together.</li></ul>",It allows changes from one version of a file to be applied to another version of the file.
"<b> When inserting a snippet containing variables into a source file, how are values for the variable defined?</b><br><ul><li>Eclipse fills them in with a drop-down menu of available optons.</li><li>They are automatically highlighted in code.</li><li>They are populated using environment variables.</li><li>You populate them through a pop-up windows.</li></ul>",They are automatically highlighted in code.
<b> How can you create a new Git branch in Eclipse?</b><br><ul><li>all of these answers</li><li>Right-click your project in the Package Explorer and select Team -> Switch To -> New Branch</li><li>Click File -> New -> Git -> Branch</li><li>Click Source -> Team -> Switch To -> New Branch</li></ul>,all of these answers
<b> Why might you use the Open Type button?</b><br><ul><li>to open a file by its name</li><li>to search the workbench for a class to open in an editor</li><li>to find a string in a text file</li><li>to find all places where a certain type is instantiated</li></ul>,to search the workbench for a class to open in an editor
"<b> In the JUnit view, what is the value in the parentheses after a previously run unit test?</b><br><ul><li>the number of errors found in the test</li><li>the time it took the test to run</li><li>the name of the package containing the test class</li><li>the test class name</li></ul>",the time it took the test to run
"<b> In this image, what does the circled icon in the Problems view do?</b><br><ul><li>It sends the currently selected problem to another view.</li><li>It indents the currently selected problem.</li><li>It opens the Filter menu so you can customise what problems are displayed.</li><li>It jumps to the currently selected problem in the Editor.</li></ul>",It opens the Filter menu so you can customise what problems are displayed.
