"<b> In the following URL, what channel grouping is traffic assigned to?</b><br><br>`example.com/?utm_source=google&utm_medium=cpc&utm_campaign=315`<br><br><ul><li>Display</li><li>Google</li><li>Organic Search</li><li>Paid Search</li></ul>",Paid Search
<b> If you want to evaluate if direct traffic delivered more traffic than organic search in August </b><br><ul><li>Audience > Behavior > Engagement</li><li>Realtime > Traffic Sources</li><li>Acquisition > All Traffic > Channels</li><li>Acquisition > All Traffic > Referrals</li></ul>,Acquisition > All Traffic > Channels
"<b> What is the relationship between an event and an event goal?</b><br><ul><li>Nothing, an event is another name for event goal.</li><li>An event is captured per user; an event goal is captured per session.</li><li>An event goal must be created in order to track events.</li><li>An event is a user interaction; an event goal is triggered by a selected event.</li></ul>",An event is a user interaction; an event goal is triggered by a selected event.
<b> A user downloads a white paper with event tracking once in a single session. Another user downloads the same white paper three times in a single session. How many unique events are counted?</b><br><ul><li>one</li><li>three</li><li>two</li><li>four</li></ul>,two<br><br>[Reference](https://support.google.com/analytics/answer/7084499)<br>
<b> What are the icons highlighted below used for?</b><br><br>![Google Analytics Icons](https://i.imgur.com/LZzFesL.png)<br><br><ul><li>to change the way the data table is displayed</li><li>to adjust the date range</li><li>to assign secondary dimensions</li><li>to compare data to previous periods</li></ul>,to change the way the data table is displayed
<b> Which report would help you measure the value of your social media efforts?</b><br><ul><li>Campaigns > Cost Analysis</li><li>Social > Conversions</li><li>Goals > Reverse Goal Path</li><li>Goals > Smart Goals</li></ul>,Social > Conversions
<b> What is an example of a metric?</b><br><ul><li>City</li><li>Source/Medium</li><li>Browser</li><li>Pageviews</li></ul>,Pageviews
<b> You want to verify that Google Analytics is working immediately after installation. Which report do you review?</b><br><ul><li>Audience > Active Users</li><li>Acquisition > Overview</li><li>Realtime > Overview</li><li>Behavior > Behavior Flow</li></ul>,Realtime > Overview
"<b> Which Chrome extension, developed by Google, would be valuable for identifying deployment issues with Google Analytics?</b><br><ul><li>Click & Test</li><li>Google Keep</li><li>Express UTM</li><li>Google Analytics Debugger</li></ul>",Google Analytics Debugger
<b> You want to track example.com and other example.com using a single property. What must be set up?</b><br><ul><li>cross domain tracking</li><li>Google Tag Manager</li><li>Include and Exclude filters</li><li>custom dimensions</li></ul>,cross domain tracking
<b> If you posted a link offering </b><br><ul><li>a high page score</li><li>a low bounce rate</li><li>a high bounce rate</li><li>a low page score</li></ul>,a high bounce rate
