<b> Partitioner controls the partitioning of what data?</b><br><ul><li>final keys</li><li>final values</li><li>intermediate keys</li><li>intermediate values</li></ul>,intermediate keys
"<b> SQL Windowing functions are implemented in Hive using which keywords?</b><br><ul><li>UNION DISTINCT, RANK</li><li>OVER, RANK</li><li>OVER, EXCEPT</li><li>UNION DISTINCT, RANK</li></ul>","OVER, RANK"
"<b> Rather than adding a Secondary Sort to a slow Reduce job, it is Hadoop best practice to perform which optimization?</b><br><ul><li>Add a partitioned shuffle to the Map job.</li><li>Add a partitioned shuffle to the Reduce job.</li><li>Break the Reduce job into multiple, chained Reduce jobs.</li><li>Break the Reduce job into multiple, chained Map jobs.</li></ul>",Add a partitioned shuffle to the Reduce job.
"<b> Hadoop Auth enforces authentication on protected resources. Once authentication has been established, it sets what type of authenticating cookie?</b><br><ul><li>encrypted HTTP</li><li>unsigned HTTP</li><li>compressed HTTP</li><li>signed HTTP</li></ul>",signed HTTP
<b> MapReduce jobs can be written in which language?</b><br><ul><li>Java or Python</li><li>SQL only</li><li>SQL or Java</li><li>Python or SQL</li></ul>,Java or Python
"<b> To perform local aggregation of the intermediate outputs, MapReduce users can optionally specify which object?</b><br><ul><li>Reducer</li><li>Combiner</li><li>Mapper</li><li>Counter</li></ul>",Combiner
"<b> To verify job status, look for the value `___` in the `___`.</b><br><ul><li>SUCCEEDED; syslog</li><li>SUCCEEDED; stdout</li><li>DONE; syslog</li><li>DONE; stdout</li></ul>",SUCCEEDED; stdout
"<b> Which line of code implements a Reducer method in MapReduce </b><br><ul><li>public void reduce(Text key, Iterator<IntWritable> values, Context context){…}</li><li>public static void reduce(Text key, IntWritable[] values, Context context){…}</li><li>public static void reduce(Text key, Iterator<IntWritable> values, Context context){…}</li><li>public void reduce(Text key, IntWritable[] values, Context context){…}</li></ul>","public void reduce(Text key, Iterator<IntWritable> values, Context context){…}"
"<b> To get the total number of mapped input records in a map job task, you should review the value of which counter?</b><br><ul><li>FileInputFormatCounter</li><li>FileSystemCounter</li><li>JobCounter</li><li>TaskCounter (NOT SURE)</li></ul>",TaskCounter (NOT SURE)
"<b> Hadoop Core supports which CAP capabilities?</b><br><ul><li>A, P</li><li>C, A</li><li>C, P</li><li>C, A, P</li></ul>","A, P"
"<b> What are the primary phases of a Reducer?</b><br><ul><li>combine, map, and reduce</li><li>shuffle, sort, and reduce</li><li>reduce, sort, and combine</li><li>map, sort, and combine</li></ul>","shuffle, sort, and reduce"
