"<b> What is the purpose of the `<track>` tag, and when should it be used?</b><br><ul><li>The `<track>` tag is used for specifying subtitles. It is typically applied as a child of the `<audio>` and `<video>` tags.</li><li>The `<track>` tag is used for specifying subtitles. It is typically applied as a child of the `<video>` tag.</li><li>The `<track>` tag is used for specifying subtitles, captions, and other types of time-based text. It is typically applied as a child of the `<video>` tag.</li><li>The `<track>` tag is used for specifying subtitles, captions, and other types of time-based text. It is typically applied as a child of the `<audio>` and `<video>` tag.</li></ul>","The `<track>` tag is used for specifying subtitles, captions, and other types of time-based text. It is typically applied as a child of the `<audio>` and `<video>` tag."
<b> What are the best examples of void elements?</b><br><ul><li>`<link><meta><title>`</li><li>`<br><base><source>`</li><li>`<input><br><p>`</li><li>`<area><embed><strong>`</li></ul>,`<br><base><source>`
"<b> In HTML</b><br><ul><li>`<iframe>, <frame>, and <frameset>`</li><li>`<frame>`</li><li>`<iframe>`</li><li>`<frame> and <frameset>`</li></ul>",`<iframe>`
"<b> Where do `<header>` and `<footer>` tags typically occur?</b><br><ul><li>as children of `<body>, <article>, <aside>, and <section>` tags</li><li>as children of `<body>, <article>, and <section>` tags</li><li>as children of `<body>, <article>, <aside>, <nav>, and <section>` tags</li><li>as children of `<body>, <article>, <table>, and <section>` tags</li></ul>","as children of `<body>, <article>, and <section>` tags"
<b> What is the best way to apply bold styling to text?</b><br><ul><li>`<strong>`</li><li>Use CSS.</li><li>`<bold>`</li><li>`<b>`</li></ul>,`<strong>`
"<b> When is the `<link>` tag used?</b><br><ul><li>when linking style sheets, JavaScript, and icons for mobile apps</li><li>when linking style sheets, favicons, and preloading assets</li><li>when linking one webpage to another</li><li>when linking style sheets, external URLs, and favicons</li></ul>","when linking style sheets, favicons, and preloading assets"
"<b> What should fill the two blanks in the HTML code below?</b><br><br>```html<br><address ______ _____><br><span itemprop=""streetAddress"">6410 Via Real</span><br /><br><span itemprop=""addressLocality"">Carpinteria</span>,<br><span itemprop=""addressRegion"">CA</span><br><span itemprop=""addressCode"">93013</span><br></address><br>```<br><br><ul><li>`itemscope` `itemtype=""http://schema.org/PostalAddress""`</li><li>`itemsref=""http://schema.org/PostalAddress""` `itemid=""address""`</li><li>`itemscope` `itemref=""http://schema.org/PostalAddress""`</li><li>`itemid=""address""` `itemtype=""http://schema.org/PostalAddress""`</li></ul>","`itemscope` `itemtype=""http://schema.org/PostalAddress""`"
"<b> When should you use the `<aside>` element?</b><br><ul><li>when the content can be removed without detracting from the page's message</li><li>for anything you want to move to the side, like a pull quote box, a sidebar, or an image with text wrapping around it</li><li>for anything in parentheses</li><li>for anything in a sidebar</li></ul>",when the content can be removed without detracting from the page's message
"<b> With which tags is the `<source>` element associated?</b><br><ul><li>`<svg>, <picture>, <audio>, and <video>`</li><li>`<picture>, <audio>, and <video>`</li><li>It is interchangeable with the `src` attribute, so any element which uses `src` may use `<source>`</li><li>`<audio> and <video>`</li></ul>","`<picture>, <audio>, and <video>`"
<b> What is NOT a valid attribute for the `<textarea>` element?</b><br><ul><li>readonly</li><li>max</li><li>form</li><li>spellcheck</li></ul>,max
"<b> What is the best way to code the sample shown?</b><br><br><img src=""html-quiz_ss-2""><br><br><ul><li>A```html<br><details><br><summary>Parmesan Deviled Eggs</summary><br><p><br>These delectable little bites are made with organic eggs, fresh Parmesan, and chopped pine nuts.<br></p><br></details><br>```<br></li><li>B```html<br><h4>▸ Parmesan Deviled Eggs</h4><br><p><br>These delectable little bites are made with organic eggs, fresh Parmesan, and chopped pine nuts.<br></p><br>```<br></li><li>C```html<br><details open><br><summary>Parmesan Deviled Eggs</summary><br><p><br>These delectable little bites are made with organic eggs, fresh Parmesan, and chopped pine nuts.<br></p><br></details><br>```<br></li><li>D```html<br><details><br><h4>▸ Parmesan Deviled Eggs</h4><br><p><br>These delectable little bites are made with organic eggs, fresh Parmesan, and chopped pine nuts.<br></p><br></details><br>```<br></li></ul>","C```html<br><details open><br><summary>Parmesan Deviled Eggs</summary><br><p><br>These delectable little bites are made with organic eggs, fresh Parmesan, and chopped pine nuts.<br></p><br></details><br>```<br>"
<b> What is the purpose of the `<samp>` element?</b><br><ul><li>It connects the web browser to a SA-MP server.</li><li>It identifies enclosed text as a sampler or an example.</li><li>It identifies sample output from a computer program.</li><li>It uses a simple application messaging protocol to connect the browser to a texting device.</li></ul>,It identifies sample output from a computer program.
<b> When should you use `<ol>` and `<ul>` elements?</b><br><ul><li>Use `<ul>` when you want a bulleted list and `<ol>` when you want a numbered list.</li><li>Use `<ul>` when you have a list of items in which the order of the items matters. Use `<ol>` when you have a list of items that could go in any order.</li><li>Use `<ol>` when you want a bulleted list and `<ul>` when you want a numbered list.</li><li>Use `<ol>` when you have a list of items in which the order of the items matters. Use `<ul>` when you have a list of items that could go in any order.</li></ul>,Use `<ul>` when you want a bulleted list and `<ol>` when you want a numbered list.
"<b> What is the difference between the post and get methods in a form?</b><br><ul><li>post is used for sending information to the server. get is used for retrieving form information from the server.</li><li>get is used for sending information to the server. post is used for retrieving form information from the server.</li><li>With get, data is included in the form body when send to the server. With post, the data goes through the URL.</li><li>With post, data is included in the form body when send to the server. With get, the data goes through the URL.</li></ul>","With post, data is included in the form body when send to the server. With get, the data goes through the URL."
"<b> What is the difference between the `<div>` and `<span>` tags?</b><br><ul><li>`<div>` is used where a generic block-level tag is needed, while `<span>` is used where a generic inline tag is needed.</li><li>`<div>` is used for major divisions on a page, while `<span>` is used to span across columns.</li><li>`<div>` is the industry-standard default tag, but you could use `<span>` if you prefer.</li><li>`<div>` is used where a generic inline tag is needed, while `<span>` is used where a generic block-level tag is needed.</li></ul>","`<div>` is used where a generic block-level tag is needed, while `<span>` is used where a generic inline tag is needed."
"<b> What should fill the blank in the HTML code below?</b><br><br>```html<br><form method=""post"" action=""mailto:info@linkedin.com"" ____=""text/plain""></form><br>```<br><br><ul><li>enctype</li><li>media</li><li>type</li><li>rel</li></ul>",enctype
"<b> What is the correct markup for `alt` attribute of an image?</b><br><ul><li>A```html<br><img src=""cubism.jpg"" alt=""Version of """"Whistler's Mother"""" in cubist style""><br>```<br></li><li>B```html<br><img src=""cubism.jpg"" alt=""Version of ""Whistler's Mother"" in cubist style""><br>```<br></li><li>C```html<br><img src=""cubism.jpg"" alt='Version of ""Whistler\'s Mother"" in cubist style'><br>```<br></li><li>D```html<br><img src=""cubism.jpg"" alt=""Version of \""Whistler's Mother\"" in cubist style""><br>```<br></li></ul>","C```html<br><img src=""cubism.jpg"" alt='Version of ""Whistler\'s Mother"" in cubist style'><br>```<br>"
