<b> You are configuring a Wi-Fi base station using DHCP. Which items should you set or change?</b><br><ul><li>A- Reset administrator password.<br>- Set network name.<br>- Set network security.<br>- Set network password.<br></li><li>B- Reset administrator password.<br>- Set network name.<br>- Set network password.<br></li><li>C- Set network name.<br>- Set network password.<br>- Assign DNS servers.<br></li><li>D- Change administrator account name.<br>- Set network password.<br>- Set network name.<br>- Assign DNS servers.<br></li></ul>,A- Reset administrator password.<br>- Set network name.<br>- Set network security.<br>- Set network password.<br>
"<b> Can you connect a DisplayPort monitor to a USB-C port on your computer?</b><br><ul><li>Yes. The DisplayPort cable plugs directly into the USB connector.</li><li>Yes. An adapter or dongle may be required.</li><li>No. While you can rig a connection, video quality will be poor.</li><li>No. The two standards are incompatible.</li></ul>",Yes. An adapter or dongle may be required.
"<b> What is the I/O panel?</b><br><ul><li>the location where expansion cards can connect to peripherals</li><li>a cluster of ports and connectors found on the back of the computer case</li><li>the switches that turn on, sleep, and turn off the computer</li><li>the portion of the motherboard where non-power cables connect</li></ul>",a cluster of ports and connectors found on the back of the computer case
<b> The computer consistently boots into Safe Mode. How would you address this issue?</b><br><ul><li>Edit the Registry key that controls the boot sequence.</li><li>Hold the Shift key as Windows boots.</li><li>Check the MSCONFIG utility to ensure that Normal boot is selected.</li><li>Fix the issue in Safe Mode that is causing the system to restart in this mode.</li></ul>,Fix the issue in Safe Mode that is causing the system to restart in this mode.
<b> Which choice is not a typical adjustment found on a monitor?</b><br><ul><li>resolution</li><li>color temperature</li><li>contrast</li><li>brightness</li></ul>,resolution
"<b> Assuming that the gateway, modem, and switch are separate units, in what order should a small office or home office LAN be restarted?</b><br><ul><li>A1. Modem<br>2. Gateway<br>3. Switch<br></li><li>B1. Modem<br>2. Switch<br>3. Gateway<br></li><li>C1. Gateway<br>2. Switch<br></li><li>The order is not important.</li></ul>",A1. Modem<br>2. Gateway<br>3. Switch<br>
"<b> A client needs to secure their cafe's wireless network, which is used only by employees. What is the best approach for a finite list of devices?</b><br><ul><li>Limit access to specific MAC addresses.</li><li>Do not broadcast the SSID.</li><li>Apply a metered connection.</li><li>Apply a password.</li></ul>",Limit access to specific MAC addresses.
<b> Which hardware port would not be found on a typical gateway?</b><br><ul><li>WAN</li><li>USB</li><li>LAN</li><li>uplink</li></ul>,uplink
<b> The recent Windows update introduced some quirks in the system. How can you enter the Windows Recovery Environment to recover from the update?</b><br><ul><li>Hold the Shift key when selecting the **Restart** command.</li><li>Restart in Safe Mode where the Recovery item is located on the Start menu.</li><li>Press the any key at the boot screen.</li><li>Go to the Task Manager **Startup** tab.</li></ul>,Hold the Shift key when selecting the **Restart** command.
<b> Which components are typically found on the motherboard?</b><br><br>- [x]<br>basic I/O<br>graphics<br>NIC<br>battery<br>expansion slots<br><br><ul><li>basic I/Ocooling<br>NIC<br>graphics<br>expansion slots<br></li><li>basic I/Ographics<br>NIC<br>mass storage<br>expansion slots<br>- [ ]<br>basic I/O<br>graphics<br>NIC<br>power supply<br>expansion slots<br></li></ul>,<ul></ul>
