"<b> Given the string ""strawberries"" saved in a variable called fruit, what would `fruit.substring(</b><br><ul><li>rawb</li><li>raw</li><li>awb</li><li>traw</li></ul>","raw<br><br>**Reasoning:** The substring method is accepting two arguments.<br>- The first argument being the index to start(includes that char at 2)<br>- and the second the index of the string to end the substring(excludes the char at 5).<br>- Strings in Java are like arrays of chars.<br>- Therefore, the method will return ""raw"" as those are the chars in indexes 2,3, and 4.<br>- You can also take the ending index and subtract the beginning index from it, to determine how many chars will be included in the substring (5-2=3).<br>"
<b> How can you achieve runtime polymorphism in Java?</b><br><ul><li>method overloading</li><li>method overrunning</li><li>method overriding</li><li>method calling</li></ul>,method overriding
"<b> Given the following definitions, which of these expression will **NOT** evaluate to true?</b><br><br>`boolean b1 = true, b2 = false; int i1 = 1, i2 = 2;`<br><br><ul><li>`(i1 | i2) == 3`</li><li>`i2 && b1`</li><li>`b1 || !b2`</li><li>`(i1 ^ i2) < 4`</li></ul>",`i2 && b1`
"<b> What is the output of this code?</b><br><br>```java<br>1: class Main {<br>2:   public static void main (String[] args) {<br>3:     int array[] = {1, 2, 3, 4};<br>4:     for (int i = 0; i < array.size(); i++) {<br>5:        System.out.print(array[i]);<br>6:     }<br>7:   }<br>8: }<br>```<br><br><ul><li>It will not compile because of line 4.</li><li>It will not compile because of line 3.</li><li>123</li><li>1234</li></ul>",It will not compile because of line 4.
"<b> Which of the following can replace the CODE SNIPPET to make the code below print ""Hello World""?</b><br><br>```java<br>interface Interface1 {<br>static void print() {<br>System.out.print(""Hello"");<br>}<br>}<br>interface Interface2 {<br>static void print() {<br>System.out.print(""World!"");<br>}<br>}<br>```<br><br><ul><li>`super1.print(); super2.print();`</li><li>`this.print();`</li><li>`super.print();`</li><li>`Interface1.print(); Interface2.print();`</li></ul>",`Interface1.print(); Interface2.print();`
"<b> What does the following code print?</b><br><br>```java<br>String str = ""abcde"";<br>str.trim();<br>str.toUpperCase();<br>str.substring(3, 4);<br>System.out.println(str);<br>```<br><br><ul><li>CD</li><li>CDE</li><li>D</li><li>""abcde""</li></ul>","""abcde"""
"<b> What is the result of this code?</b><br><br>```java<br>class Main {<br>public static void main (String[] args){<br>System.out.println(print(1));<br>}<br>static Exception print(int i){<br>if (i>0) {<br>return new Exception();<br>} else {<br>throw new RuntimeException();<br>}<br>}<br>}<br>```<br><br><ul><li>It will show a stack trace with a runtime exception.</li><li>""java.lang.Exception""</li><li>It will run and throw an exception.</li><li>It will not compile.</li></ul>","""java.lang.Exception"""
"<b> Which class can compile given these declarations?</b><br><br>```java<br>interface One {<br>default void method() {<br>System.out.println(""One"");<br>}<br>}<br>interface Two {<br>default void method () {<br>System.out.println(""One"");<br>}<br>}<br>```<br><br><ul><li>A```java<br>class Three implements One, Two {<br>public void method() {<br>super.One.method();<br>}<br>}<br>```<br></li><li>B```java<br>class Three implements One, Two {<br>public void method() {<br>One.method();<br>}<br>}<br>```<br></li><li>C```java<br>class Three implements One, Two {<br>}<br>```<br></li><li>D```java<br>class Three implements One, Two {<br>public void method() {<br>One.super.method();<br>}<br>}<br>```<br></li></ul>","D```java<br>class Three implements One, Two {<br>public void method() {<br>One.super.method();<br>}<br>}<br>```<br>"
"<b> What is the output of this code?</b><br><br>```java<br>class Main {<br>public static void main (String[] args) {<br>List list = new ArrayList();<br>list.add(""hello"");<br>list.add(2);<br>System.out.print(list.get(0) instanceof Object);<br>System.out.print(list.get(1) instanceof Integer);<br>}<br>}<br>```<br><br><ul><li>The code does not compile.</li><li>truefalse</li><li>truetrue</li><li>falsetrue</li></ul>",truetrue
"<b> Given the following two classes, what will be the output of the Main class?</b><br><br>```java<br>package mypackage;<br>public class Math {<br>public static int abs(int num){<br>return num < 0 ? -num : num;<br>}<br>}<br>package mypackage.elementary;<br>public class Math {<br>public static int abs (int num) {<br>return -num;<br>}<br>}<br>```<br>```java<br>import mypackage.Math;<br>import mypackage.elementary.*;<br>class Main {<br>public static void main (String args[]){<br>System.out.println(Math.abs(123));<br>}<br>}<br>```<br><br><ul><li>Lines 1 and 2 generate compiler errors due to class name conflicts.</li><li>""-123""</li><li>It will throw an exception on line 5.</li><li>""123""</li></ul>","""123""<br><br>**Explanation:** The answer is ""123"". The `abs()` method evaluates to the one inside mypackage.Math class, because The import statements of the form:<br>`import packageName.subPackage.*`<br>is [Type-Import-on-Demand Declarations](https://docs.oracle.com/javase/specs/jls/se7/html/jls-7.html#jls-7.5.2), which [never causes any other declaration to be shadowed](https://docs.oracle.com/javase/specs/jls/se7/html/jls-6.html#jls-6.4.1).<br>"
