"<b> By convention, what name is used for the first key in a JSON schema?</b><br><ul><li>schema</li><li>\$schema</li><li>JsonSchema</li><li>JSONschema</li></ul>",\$schema
"<b> Which code is the closest JSON equivalent of the data shown?</b><br><br>```<br>[<br>'red',<br>'blue',<br>'green'<br>]<br>```<br>- [ ]<br>```json<br>[""red"", ""blue"", ""green""]<br>```<br>- [ ]<br>```json<br>[""red"", ""blue"", ""green""]<br>```<br>- [x]<br>```json<br>{<br>""color"": ""red"",<br>""color"": ""blue"",<br>""color"": ""green""<br>}<br>```<br>- [ ]<br>```json<br>{<br>""red"": ""red"",<br>""blue"": ""blue""<br>}<br>```<br><br><ul></ul>",No answer found
<b> Which JavaScript method converts a JavaScript value to Json?</b><br><ul><li>JSON.parse()</li><li>JSON.stringify()</li><li>JSON.toString()</li><li>JSON.objectify()</li></ul>,JSON.stringify()
<b> Which data type is NOT part of JSON standard?</b><br><ul><li>string</li><li>number</li><li>date</li><li>array</li></ul>,date
<b> Which term is commonly used to refer to converting data to JSON?</b><br><ul><li>unpacking</li><li>serialization</li><li>deserialization</li><li>parsing</li></ul>,serialization
"<b> Which code uses the correct JSON syntax to encode the key/value pair shown?</b><br><br>`accountNum: '000605802'`<br><br><ul><li>""accountNum"": ""000605802""</li><li>accountNum: ""000605802""</li><li>""accountNum"": 000605802</li><li>accountNum: 000605802</li></ul>","""accountNum"": ""000605802"""
<b> What character do you specify before a JSON control character when you want to use that control characters as a literal part of a string?</b><br><ul><li>`/`</li><li>`\`</li><li>`:`</li><li>`{`</li></ul>,`\`
<b> Which date type is part of the JSON standard?</b><br><ul><li>Boolean</li><li>map</li><li>promise</li><li>function</li></ul>,Boolean
<b> Which key name is used to specify properties that must be included for JSON to be valid?</b><br><ul><li>important</li><li>base</li><li>core</li><li>required</li></ul>,required
"<b> Which is the valid JSON equivalent of the data shown?</b><br><br>```<br>{<br>photo: {<br>width: 1600,<br>height: 900,<br>binaries: {<br>url: 'https://www.example.com/images/34097349843',<br>thumbnail: 'https://www.example.com/images/thumbs/34097349843'<br>},<br>animated: false,<br>tags: [116, 943, 234, 38793],<br>}<br>}<br>```<br>- [ ]<br>```json<br>{<br>""photo"": {<br>""width"": 1600,<br>""height"": 900,<br>""binaries"": {<br>""url"": ""https://www.example.com/images/34097349843"",<br>""thumbnail"": ""https://www.example.com/images/thumbs/34097349843""<br>},<br>""animated"": ""false"",<br>""tags"": [116, 943, 234, 38793]<br>}<br>}<br>```<br>- [ ]<br>```json<br>{<br>""photo"": {<br>""width"": 1600,<br>""height"": 900,<br>""binaries"": {<br>""url"": ""https://www.example.com/images/34097349843"",<br>""thumbnail"": ""https://www.example.com/images/thumbs/34097349843""<br>},<br>""animated"": false,<br>""tags"": [116, 943, 234, 38793]<br>}<br>}<br>```<br>- [x]<br>```json<br>{<br>""photo"": {<br>""width"": 1600,<br>""height"": 900,<br>""binaries"": {<br>""url"": ""https://www.example.com/images/34097349843"",<br>""thumbnail"": ""https://www.example.com/images/thumbs/34097349843""<br>},<br>""animated"": false,<br>""tags"": [116, 943, 234, 38793]<br>}<br>}<br>```<br>- [ ]<br>```json<br>{<br>""photo"": {<br>""width"": ""1600"",<br>""height"": ""900"",<br>""binaries"": {<br>""url"": ""https://www.example.com/images/34097349843"",<br>""thumbnail"": ""https://www.example.com/images/thumbs/34097349843""<br>},<br>""animated"": ""false"",<br>""tags"": [""116"", ""943"", ""234"", ""38793""]<br>}<br>}<br>```<br><br><ul></ul>",No answer found
<b> How do you store several paragraphs of text as a string in JSON?</b><br><ul><li>Escape all whitespaces expect space characters.</li><li>Escape line breaks.</li><li>Escape paragraphs.</li><li>Remove all whitespaces</li></ul>,Escape all whitespaces expect space characters.
<b> What data type is represented by the value of the key/value pair shown?</b><br><br>`loggedIn: true`<br><br><ul><li>string</li><li>Boolean</li><li>number</li><li>object</li></ul>,Boolean
"<b> If you need to store the loggedIn status of a user in JSON as a boolean, what is the correct syntax?</b><br><ul><li>""loggedIn"": (true)</li><li>loggedIn: ""true""</li><li>""loggedIn"": true</li><li>loggedIn: {true}</li></ul>","""loggedIn"": true"
<b> What does JSON with padding (JSON-P) use to make a request?</b><br><ul><li>an `<origin>` element</li><li>a header request</li><li>the `<script>` element</li><li>the XMLHttpRequest object</li></ul>,the `<script>` element
<b> Which value is supported in the JSON specifications?</b><br><ul><li>undefined</li><li>infinity</li><li>NaN</li><li>null</li></ul>,null
<b> Which JavaScript method converts JSON to a JavaScript value?</b><br><ul><li>JSON.parse()</li><li>JSON.stringify()</li><li>JSON.toString()</li><li>JSON.objectify()</li></ul>,JSON.parse()
<b> Transferring JSON information from client to server and back again often includes HTTP requests. Match each method with the best choice describing its use.</b><br><br>1.Sends data to specific server to create or update information.<br>2.Sends data to specific server to create or update information without the risk of creating the resource more than once.<br>3.Previews what the GET request response might be without the body of the text.<br>4.Learns the communication channels used by the target source.<br>5.Requests information from a specific source.<br>6.Removes information.<br><br><ul><li>1.POST 2.DELETE 3.OPTIONS 4.HEADER 5.GET 6.PUT</li><li>1.POST 2.PUT 3.HEADER 4.OPTIONS 5.GET 6.DELETE</li><li>1.POST 2.DELETE 3.OPTIONS 4.HEADER 5.GET 6.PUT</li><li>1.POST 2.PUT 3.HEADER 4.OPTIONS 5.GET 6.DELETE</li></ul>,1.POST 2.PUT 3.HEADER 4.OPTIONS 5.GET 6.DELETE
"<b> Which code uses valid JSON syntax for the text ""Centennial Olympics?</b><br><br>- [ ]<br>```json<br>{<br>""host"": ""Atlanta"",<br>""year"": 1996<br>/_ Centennial Olympics _/<br>}<br>```<br>- [ ]<br>```json<br>{<br>""host"": ""Atlanta"",<br>""year"": 1996,<br>/_ Centennial Olympics _/<br>}<br>```<br>- [ ]<br>```json<br>{<br>""host"": ""Atlanta"",<br>""year"": 1996<br>// Centennial Olympics<br>}<br>```<br>- [x]<br>```json<br>{<br>""host"": ""Atlanta"",<br>""year"": 1996,<br>""comments"": ""Centennial Olympics""<br>}<br>```<br><br><ul></ul>",No answer found
<b> Can trailing commas be used in objects and arrays?</b><br><ul><li>yes</li><li>only if there is more than one item</li><li>no</li><li>only when arrays and objects contain more than 10 items</li></ul>,no
