"<b> You would like to print each score on its own line with its cardinal position. Without using **var** or **val**, which method allows iteration with both the value and its position?</b><br><br>```kotlin<br>fun main() {<br>val highScores = listOf(4000, 2000, 10200, 12000, 9030)<br>}<br>```<br><br><ul><li>`.withIndex()`</li><li>`.forEachIndexed()`</li><li>`.forEach()`</li><li>`.forIndexes()`</li></ul>",`.withIndex()`<br><br>[reference](https://kotlinlang.org/api/latest/jvm/stdlib/kotlin.sequences/with-index.html)<br>
"<b> When the **Airplane** class is instantiated, it displays **Aircraft = null**, not **Aircraft = C</b><br><br>```kotlin<br>abstract class Aircraft {<br>init { println(""Aircraft = ${getName()}"") }<br>abstract fun getName(): String<br>}<br>class Airplane(private val name: String) : Aircraft() {<br>override fun getName(): String = name<br>}<br>```<br><br><ul><li>Classes are initialized in the same order they are in the file, therefore, Aircraft should appear after Airplane</li><li>The code needs to pass the parameter to the base class's primary constructor. Since it does not, it receives a null</li><li>Abstract function always returns null</li><li>A superclass is initialized before its subclass. Therefore, name has not been set before it is rendered</li></ul>","A superclass is initialized before its subclass. Therefore, name has not been set before it is rendered<br><br>[reference](https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes/issues/4183#issuecomment-1214288158)<br>"
<b> Kotlin interfaces and abstract classes are very similar. What is one thing abstract class can do that interfaces cannot?</b><br><ul><li>Only abstract classes are inheritable by subclasses</li><li>Only abstract classes can inherit from multiple superclasses</li><li>Only abstract classes can have abstract methods</li><li>Only abstract classes can store state</li></ul>,Only abstract classes can store state<br><br>[reference](https://blog.kotlin-academy.com/abstract-class-vs-interface-in-kotlin-5ab8697c3a14)<br>
"<b> Inside an extension function, what is the name of the variable that corresponds to the receiver object</b><br><ul><li>The variable is named **it**</li><li>The variable is named **this**</li><li>The variable is named **receiver**</li><li>The variable is named **default**</li></ul>","The variable is named **this**<br><br>[reference](https://www.programiz.com/kotlin-programming/extension-functions#:~:text=The%20class%20name%20is%20the,function%20refers%20the%20receiver%20object)<br>"
"<b> Your application has an **add** function. How could you use its **invoke** methods and display the results?</b><br><br>```kotlin<br>fun add(a: Int, b: Int): Int {<br>return a + b<br>}<br>```<br><br><ul><li>`println(add(5,10).invoke())`</li><li>`println(::add.invoke(5, 10))`</li><li>`println(::add.invoke{5, 10})`</li><li>`println(add.invoke(5,10))`</li></ul>","`println(::add.invoke(5, 10))`<br><br>[reference](https://kotlinlang.org/docs/operator-overloading.html#invoke-operator)<br>"
<b> What is the entry point for a Kotlin application?</b><br><ul><li>`fun static main(){}`</li><li>`fun main(){}`</li><li>`fun Main(){}`</li><li>`public static void main(){}`</li></ul>,`fun main(){}`
"<b> You are writing a console app in Kotlin that processes test entered by the user. If the user enters an empty string, the program exits. Which kind of loop would work best for this app? Keep in mind that the loop is entered at least once</b><br><ul><li>a do..while loop</li><li>a for loop</li><li>a while loop</li><li>a forEach loop</li></ul>",a do..while loop<br><br>[reference](https://kotlinlang.org/docs/control-flow.html#while-loops)<br>
"<b> You pass an integer to a function expecting type Any. It works without issue. Why is a primitive integer able to work with a function that expects an object?</b><br><br>```kotlin<br>fun showHashCode(obj: Any){<br>println(""${obj.hasCode()}"")<br>}<br>fun main() {<br>showHashCode(1)<br>}<br>```<br><br><ul><li>While the code runs, it does not produce correct results</li><li>The integer is always a class</li><li>The compiler runs an implicit `.toClass()` method on the integer</li><li>The integer is autoboxed to a Kotlin Int class</li></ul>",The integer is autoboxed to a Kotlin Int class
"<b> You have started a long-running coroutine whose job you have assigned to a variable named **task**. If the need arose, how could you abort the coroutine?</b><br><br>```kotlin<br>val task = launch {<br>// long running job<br>}<br>```<br><br><ul><li>`task.join()`</li><li>`task.abort()`</li><li>`job.stop()`</li><li>`task.cancel()`</li></ul>",`task.cancel()`<br><br>[reference](https://kotlinlang.org/docs/cancellation-and-timeouts.html)<br>
"<b> You are attempting to assign an integer variable to a long variable, but Kotlin compiler flags it as an error. Why?</b><br><ul><li>You must wrap all implicit conversion in a try/catch block</li><li>You can only assign `Long` to an `Int`, not the other way around</li><li>There is no implicit conversion from `Int` to `Long`</li><li>All integers in Kotlin are of type `Long`</li></ul>",There is no implicit conversion from `Int` to `Long`<br><br>[reference](https://kotlinlang.org/docs/basic-types.html#explicit-conversions)<br>
"<b> You have written a snippet of code to display the results of the roll of a six-sided die. When the die displays from </b><br><br>```kotlin<br>when (die) {<br>1 -> println(""die is 1"")<br>2 -> println(""die is 2"")<br>___ -> printlin(""die is between 3 and 6"")<br>else -> printlin(""die is unknown"")<br>}<br>```<br><br><ul><li>`3,4,5,6`</li><li>`in 3..6`</li><li>`3 : 6`</li><li>`{3,4,5,6}`</li></ul>","<ul><li>`3,4,5,6`</li><li>`in 3..6`</li></ul><br><br>[reference](https://kotlinlang.org/docs/ranges.html)<br>"
"<b> The function **typeChecker** receives a parameter **obj** of type **Any**. Based upon the type of **obj**, it prints different messages for Int, String, Double, and Float types; if not any of the mentioned types, it prints ""unknown type"". What operator allows you to determine the type of an object?</b><br><ul><li>`instanceof`</li><li>`is`</li><li>`typeof`</li><li>`as`</li></ul>",`is`<br><br>[reference](https://kotlinlang.org/docs/typecasts.html#is-and-is-operators)<br>
"<b> This code does not print any output to the console. What is wrong?</b><br><br>```kotlin<br>firstName?.let {<br>println(""Greeting $firstname!"")<br>}<br>```<br><br><ul><li>A null pointer exception is thrown</li><li>`firstName` is equal to `null`</li><li>`firstName` is equal to an empty string</li><li>`firstName` is equal to Boolean `false`</li></ul>",`firstName` is equal to `null`<br><br>[reference](https://kotlinlang.org/docs/scope-functions.html#with)<br>
