"<b> To mount a drive by its ID, what command would you use first to retrieve it?</b><br><ul><li>df -h</li><li>listid</li><li>ls -l</li><li>blkid</li></ul>",blkid
<b> Linux file access control lists (ACLs) are \_.</b><br><ul><li>discretionary access control system permissions layered over standard Linux permissions</li><li>mandatory access control system permissions layered over standard Linux permissions</li><li>a type of firewall for Linux</li><li>the same as standard Linux permissions</li></ul>,discretionary access control system permissions layered over standard Linux permissions
<b> When using iproute</b><br><ul><li>route -ipv6</li><li>route</li><li>ip -6 route show</li><li>ip route show</li></ul>,ip -6 route show
<b> What does this command string do?</b><br><br>```bash<br>find / -size +10M -exec ls -l {} ;<br>```<br><br><ul><li>It finds all files using ls -l and hands them off to the find command to display.</li><li>It finds all files older than 10 minutes and long lists them using the ls command.</li><li>It finds all files larger than 10 MB and long lists them using the ls command.</li><li>It uses the ls command to find all files in the filesystem matching the {} wildcard.</li></ul>,It finds all files larger than 10 MB and long lists them using the ls command.
"<b> What would this locate command show?</b><br><br>```bash<br>locate --regexp '^/usr.*pixmaps.*jpg$'<br>```<br><br><ul><li>all files in a directory named pixmaps</li><li>all files ending in "".jpg""</li><li>all file paths that start with ""/usr"", include the word ""pixmaps"", and end with "".jpg""</li><li>all file paths that include ""/usr/pixmaps"" and end with "".jpg""</li></ul>","all file paths that start with ""/usr"", include the word ""pixmaps"", and end with "".jpg"""
<b> Which command allows you to do packet analysis from the command line?</b><br><ul><li>wireshark</li><li>ethtool</li><li>netstat</li><li>tcpdump</li></ul>,tcpdump
<b> Which command will tell you how long a system has been running?</b><br><ul><li>log</li><li>uptime</li><li>runtime</li><li>access</li></ul>,uptime
"<b> How would you describe PCP (Performance Co-Pilot)?</b><br><ul><li>It is an application testing suite used to profile programming code.</li><li>It is a local command used for monitoring local system resources in real time.</li><li>It is a set of tools, services, and libraries for gathering and analyzing performance measures.</li><li>It is a tool designed to change system configuration for purposes of optimization.</li></ul>","It is a set of tools, services, and libraries for gathering and analyzing performance measures."
<b> You want to resolve a long list of DNS names using dig. What should you do?</b><br><ul><li>Create a text file including all names and use the -f option of dig.</li><li>Type in each query manually.</li><li>Write a shell script to send multiple dig queries to the DNS server.</li><li>Save the DNS names in an SQL database and process it with dig.</li></ul>,Create a text file including all names and use the -f option of dig.
"<b> What would this command output?</b><br><br>```<br>ps -e --format uid,pid,ppid,%cpu,cmd<br>```<br><br><ul><li>the user ID, process ID, parent process ID, CPU usage, and command name of a process</li><li>the user ID, group ID, parent process ID, CPU usage, and command name of a process</li><li>the UUID, process ID, parent process ID, CPU usage, and command name of a process</li><li>all of these answers</li></ul>","the user ID, process ID, parent process ID, CPU usage, and command name of a process"
<b> Which command in Bash executes the last line in the shell history that starts with ls?</b><br><ul><li>!</li><li>!!</li><li>!\*</li><li>!ls</li></ul>,!ls
<b> The ssh-copy-id command copies \_ to the remote host.</b><br><ul><li>both private and public keys</li><li>the ssh public key</li><li>the ssh private key</li><li>a fingerprint file</li></ul>,the ssh public key
<b> What command is used to determine the amount of disk usage for a directory?</b><br><ul><li>find</li><li>fdisk</li><li>du</li><li>df</li></ul>,du
"<b> A backup drive was created using dd to make a bit-for-bit copy. When the drive is inserted into an iSCSI target before it is booted up, the data appears to be missing. What happened?</b><br><ul><li>The backup drive is corrupted and needs to be re-created.</li><li>When the backup drive was duplicates, the label was as well. When booted, the system mounted the old duplicates drive by its identical label.</li><li>There is a conflict between the physical location of the backup drive and the original drive.</li><li>The backup process went wrong, and the old drive was duplicates over the original drive.</li></ul>","When the backup drive was duplicates, the label was as well. When booted, the system mounted the old duplicates drive by its identical label."
"<b> What is the key difference between a redirect (>) and piping to the tee command?</b><br><ul><li>The tee command sends output only to STDOUT and STDERR.</li><li>A redirect sends output to STDOUT and a file, whereas a tee sends output only to STDOUT.</li><li>Nothing, they are the same.</li><li>The tee command sends output to STDOUT and a file, whereas a redirect sends output only to a file.</li></ul>","The tee command sends output to STDOUT and a file, whereas a redirect sends output only to a file."
<b> What does the /etc/nsswitch.conf file manage?</b><br><ul><li>priority of one DNS server over another</li><li>per network interface DNS server configuration</li><li>alternative DNS services</li><li>sources for name service information</li></ul>,sources for name service information
"<b> Assume the variable myNumber holds a string consisting of </b><br><br>```bash<br>echo \$myNumber | sed -e 's/^[[:digit:]][[:digit:]][[:digit:]]/(&)/g'<br>```<br><br><ul><li>It will only match digits—and since the string has only digits, the command will output the same number without changes.</li><li>It will output the same 10-digit number, but every digit will be inside parentheses.</li><li>It will output the entire 10-digit number inside parentheses.</li><li>It will output the same 10-digit number, but the first 3 digits will be inside parentheses.</li></ul>","It will output the same 10-digit number, but the first 3 digits will be inside parentheses."
<b> Packages can be downloaded but not installed with yum or dnf by specifying which option?</b><br><ul><li>None of these answers. yum does not support downloading packages without installing them.</li><li>--downloaddir</li><li>-d</li><li>--downloadonly</li></ul>,--downloadonly
<b> What character class is equal to this set?</b><br><br>`[0-9]`<br><br><ul><li>`[[:alnum:]]`</li><li>`[[:digit:]]`</li><li>`[[:alpha:]]`</li><li>`[[:num:]]`</li></ul>,`[[:digit:]]`
"<b> When archiving files, which command will preserve all file attributes including ACLs and SELinux security context?</b><br><ul><li>zip</li><li>tar</li><li>archive</li><li>gzip</li></ul>",tar
"<b> In a systemd-based OS, you can change the system hostname by editing /etc/hostname manually and then doing what?</b><br><ul><li>Restart dhcpd.</li><li>Run /etc/hostname.</li><li>Nothing, the system notices automatically.</li><li>Notify systemd to update it by restarting the systemd-hostnamed service.</li></ul>","Nothing, the system notices automatically."
<b> What command would you use to resize an LVM volume group to include an additional physical volume?</b><br><ul><li>vgadd</li><li>vgresize</li><li>vgappend</li><li>vgextend</li></ul>,vgextend
<b> When would this system cron job run its task?</b><br><br>`0 1 \* \* \*`<br><br><ul><li>every minute of the hour</li><li>every hour of every day</li><li>every day at 1:00 AM</li><li>only on Mondays</li></ul>,every day at 1:00 AM
<b> ifconfig has been deprecated. What command is now recommended for changing IP addresses in the live config?</b><br><ul><li>netconf</li><li>ipconfig</li><li>ipman</li><li>ip</li></ul>,ip
<b> You are managing an Apache web server on a system using SELinux. By default it cannot read personal webpages in users' home directories. What SELinux boolean would you set to allow this?</b><br><ul><li>apache_enable_homedirs</li><li>httpd_enable_userdirs</li><li>httpd_enable_homedirs</li><li>httpd_enable_userhome_dirs</li></ul>,httpd_enable_homedirs
"<b> Why doesn't passwd -l keep a user from logging in via other methods?</b><br><ul><li>The passwd command is not used for locking passwords.</li><li>There is no password -l option.</li><li>It locks only the password, not the account, so users can still authenticate with keys or other methods.</li><li>It does lock the account, keeping users from logging in even if they are using other authentication methods.</li></ul>","It locks only the password, not the account, so users can still authenticate with keys or other methods."
"<b> In the Bash shell, what is the difference between piping into | and piping into |&?</b><br><ul><li>Piping into | pipes both stdout and stderr. Piping into |& pipes only stderr.</li><li>Piping into | pipes stdout. Piping into |& pipes stdout and stderr.</li><li>Piping into | pipes both stdout and stderr. Piping into |& pipes only stdout.</li><li>Piping into | pipes stdout. Piping into |& pipes all open file descriptors.</li></ul>",Piping into | pipes stdout. Piping into |& pipes stdout and stderr.
<b> Why is the passwd command able to modify the /etc/passwd file?</b><br><ul><li>The kernel identifies it as one of the names of extended commands.</li><li>It has the same name as the file it modifies.</li><li>It has the SUID permission mode and is owned by root.</li><li>It is a system administration command.</li></ul>,It has the SUID permission mode and is owned by root.
"<b> When a user deletes a file using the rm command, Linux will \_.</b><br><ul><li>always ask for confirmation</li><li>back up the file before it deletes the file</li><li>ask for confirmation if configured to do so</li><li>never ask for confirmation</li></ul>",ask for confirmation if configured to do so
<b> What is a major advantage of using Logical Volume Management (LVM)?</b><br><ul><li>Access to a drive is faster than with standard partitions.</li><li>Volumes can be resized smaller without unmounting them.</li><li>Repairing filesystem errors is easier than with standard partitions.</li><li>Volumes can be resized even if the free space is not contiguous.</li></ul>,Volumes can be resized even if the free space is not contiguous.
<b> What is one major difference between brace expansion and globs?</b><br><ul><li>Globs create a list; brace expansion matches pattern.</li><li>Brace expansion requires files to exist; globs do not.</li><li>Brace expansion creates a list; globs match the list of pathnames.</li><li>Globs get processes first and brace expansion later.</li></ul>,Brace expansion creates a list; globs match the list of pathnames.
"<b> To remove all ACLs from a directory , use setfacl with which options?</b><br><ul><li>-d</li><li>-k</li><li>-b</li><li>-x</li></ul>",-b
"<b> Which choice will _not_ print ""Hello World"" in the terminal?</b><br><ul><li>A```bash<br>myVar = 5<br>[[ $myVar -lt 10 ]] && echo "" Hello World""<br>```<br></li><li>B```bash<br>myVar = 5<br>[[ $myVar -lt 10 ]] || echo "" Hello World""<br>```<br></li><li>C```bash<br>myVar = 5<br>[[ ! $myVar -gt 10 ]] && echo "" Hello World""<br>```<br></li><li>D```bash<br>myVar = 5<br>[[ $myVar -gt 10 ]] || echo "" Hello World""<br>```<br></li></ul>","B```bash<br>myVar = 5<br>[[ $myVar -lt 10 ]] || echo "" Hello World""<br>```<br>"
<b> What is not inherited by child process?</b><br><ul><li>shell aliases</li><li>userid</li><li>environmental variables</li><li>scheduling priority</li></ul>,shell aliases
<b> What NFS option allows the root user to access NFS shares as the root user?</b><br><ul><li>no_admin_squash</li><li>no_root_squash</li><li>allow_root_access</li><li>all_squash</li></ul>,no_root_squash
"<b> You send an email to a remote client using the following syntax. What will be in the body of the email?</b><br><br>```bash<br>date | mail -s ""This is a remote test"" user1@rhhost1.localnet.com<br>```<br><br><ul><li>""This is a remote test""</li><li>the date, the time, and the words ""This is a remote test""</li><li>The email subject shows ""This is a remote test"" but the body of the email will be empty.</li><li>the current date and time</li></ul>",the current date and time
<b> What is the /etc/hosts file used for?</b><br><ul><li>resolving the local name</li><li>blocking sites using iptables</li><li>setting the hostname</li><li>configuring DNS name servers</li></ul>,configuring DNS name servers
"<b> In an extended regular expression, you would use (pattern){</b><br><ul><li>3(pattern)</li><li>{0,3}(pattern}</li><li>Occurrence quantifiers are not supported in Bash's version of extended globs, so this is not possible.</li><li>{3}(pattern})</li></ul>","Occurrence quantifiers are not supported in Bash's version of extended globs, so this is not possible."
"<b> When configuring a Samba share, how would the engineering group be specified in the smb.conf?</b><br><ul><li>Samba uses Linux operating system groups from the /etc/group file; just specify the group name.</li><li>It would be preceded by a percent sign (%), such as %engineers.</li><li>Use the group name by itself; Samba checks for its existence.</li><li>It would be preceded by an @ symbol, such as @engineering.</li></ul>","It would be preceded by an @ symbol, such as @engineering."
"<b> To configure the Kerberos client, which command should you use to import the keytab file?</b><br><ul><li>krb5-workstation</li><li>ktutil</li><li>pam_krb5</li><li>kdb5_util</li></ul>",ktutil
"<b> To search from the current cursor position up to the beginning of the file using VIM, type \_ and then the search criteria.</b><br><ul><li>`?`</li><li>`\`</li><li>`/`</li><li>`/search`</li></ul>",`?`
"<b> What is the job of the NetworkManager daemon?</b><br><ul><li>It is a graphical tool that manages network connections, including bonding and wireless networks.</li><li>It is a security service that manages user access control of local network-aware services.</li><li>It attempts to keep an active network connection available at all times.</li><li>It is a command-line tool that manages network connections.</li></ul>",It is a command-line tool that manages network connections.
<b> Why might would you use the usermod command ?</b><br><ul><li>to log out a user</li><li>to lock a user's account</li><li>to change global user account settings</li><li>to set a user's password</li></ul>,to change global user account settings
<b> Extending an LVM volume group does what to the formatted filesystem?</b><br><ul><li>It prepares the filesystem for use by defragmenting it.</li><li>It resizes the filesystem to match the volume group size.</li><li>It does nothing.</li><li>It remounts the filesystem with the new size.</li></ul>,It does nothing.
<b> What would this sed command do?</b><br><br>```bash<br>sed -E 's/[a-Z]{4}/(&)/'  textfile.txt<br>```<br><br><ul><li>It would substitute the letter with an ampersand (&).</li><li>It would replace all letters in the textfile.txt file with ampersand (&).</li><li>It would replace the first four letters with an ampersand (&).</li><li>It would place parentheses around the first four letters of each line of textfile.txt.</li></ul>,It would replace the first four letters with an ampersand (&).
<b> Which kernel module do you need to load to use interface bonding?</b><br><ul><li>bonding.</li><li>team.</li><li>netbond.</li><li>bond.</li></ul>,bonding.
<b> What does this command string do?</b><br><br>```bash<br>find / -size -10K -exec ls -l {} \;<br>```<br><br><ul><li>It finds all files larger than 10k and long lists them using the ls command.</li><li>It finds all files of size 10k using ls -l and hands them off to the find command to display.</li><li>It finds all files in the / directory of size 10k and long lists them.</li><li>It finds all files in the file system smaller than 10k and long lists them using the ls command.</li></ul>,It finds all files in the file system smaller than 10k and long lists them using the ls command.
"<b> To change the priority of multiple swap partitions, which file would you edit?</b><br><ul><li>/proc/swapiness</li><li>/etc/fstab</li><li>/etc/mounts</li><li>/etc/swaps</li></ul>",/etc/fstab
"<b> What would you type to list all systemd service unit files, whether they are enabled or not?</b><br><ul><li>systemctl list-services.</li><li>chkconfig --list-all</li><li>systemctl list-unit-files -at service</li><li>systemctl list-unit-files -t service</li></ul>",systemctl list-unit-files -at service
<b> You can set Linux group passwords using which command?</b><br><ul><li>gpasswd</li><li>passwd</li><li>editsam</li><li>grouppass</li></ul>,gpasswd
"<b> With most GNU commands, if an option is a word, what will it be preceded by?</b><br><ul><li>two dashes</li><li>a backslash</li><li>one dash</li><li>nothing</li></ul>",two dashes
