<b> What element in the pom.xml file allows you to provide values that can be reused in other elements of the pom.xml?</b><br><ul><li>Plugins</li><li>Build</li><li>Properties</li><li>Parent</li></ul>,Parent
"<b> If you wish to build and package your artifact using the Maven package goal but don't want to execute the unit tests, which environment variable and value would you use?</b><br><ul><li>`maven.test.ignore=TRUE`</li><li>`maven.test.run=FALSE`</li><li>`maven.test.skip=TRUE`</li><li>`maven.verify.execute=FALSE`</li></ul>",`maven.test.skip=TRUE`
"<b> When building a Maven EAR project and specifying the configuration of which projects to include, what is the element in the plugin configuration that contains Enterprise Java Bean projects?</b><br><ul><li>modules/webModule</li><li>modules/ejbModule</li><li>modules/enterpriseModules</li><li>modules/services</li></ul>",modules/ejbModule
<b> The goal that is executed to generate and deploy a documentation website is \_.</b><br><ul><li>deliver</li><li>site</li><li>doc</li><li>deploy</li></ul>,site
<b> What does the `mvn -version` command do?</b><br><ul><li>It builds your Maven project.</li><li>It installs Maven on your computer.</li><li>It updates Maven to the latest version.</li><li>It print out your installed version of Maven.</li></ul>,It print out your installed version of Maven.
"<b> There are several properties available for use in a pom.xml file that refer to details of the project, such as groupId and version. What do all of these properties start with?</b><br><ul><li>pom</li><li>maven</li><li>jar</li><li>project</li></ul>",project
<b> What directory structure contains the source code of your artifact?</b><br><ul><li>src/code</li><li>src/test/java</li><li>src/main/java</li><li>src/main/resources</li></ul>,src/main/java
"<b> Which command is used to run the clean lifecycle followed by verify, install, and package with Maven?</b><br><ul><li>`mvn clean install package`</li><li>`mvn package`</li><li>`mvn clean install`</li><li>Option 4```shell script<br>mvn clean<br>mvn package<br>mvn verify<br>mvn install<br>```<br></li></ul>",`mvn package`
"<b> Which goal would you use with the Dependency plugin to determine which included dependencies are not used, as well as those you are using that you have not defined?</b><br><ul><li>`dependency:tree`</li><li>`dependency:properties`</li><li>`dependency:evaluate`</li><li>`dependency:analyze`</li></ul>",`dependency:analyze`
"<b> In a multimodule project, if you have a plugin bound to a phase in the parent, it will be bound to the same phase in the module. What strategy could you employ to prevent the plugin from executing in the module?</b><br><ul><li>In the excluded element of the build section of the POM, list the plugin you do not want to run.</li><li>Set the phase in the module to none.</li><li>Set a value in the configuration of the plugin in the module to be excluded like this: TRUE.</li><li>Do not specify the plugin in the module.</li></ul>",Set a value in the configuration of the plugin in the module to be excluded like this: TRUE.
"<b> When building a web application with a WAR type project, which project directory should contain the style sheet, JavaScript, and other static file?</b><br><ul><li>src/main/static</li><li>src/main/web</li><li>src/main/resources</li><li>src/main/webapp</li></ul>",src/main/webapp
"<b> When performing a build, which Maven plugin will allow you to set the specific version of the artifact to be built without manual modifying the pom.xml file?</b><br><ul><li>Compiler</li><li>Surefire</li><li>Versions</li><li>Javadoc</li></ul>",Versions
"<b> When building a Maven Archetype, what is the filepath and file of the archetype descriptor that specifies how to lay out the prototype files?</b><br><ul><li>`src/main/template/descriptor.xml`</li><li>`src/main/resources/META-INF/maven/archetype-descriptor.xml`</li><li>`src/main/archetype/descriptor.xml`</li><li>`src/main/resources/META-INF/maven/maven-archetype.xml`</li></ul>",`src/main/resources/META-INF/maven/archetype-descriptor.xml`
<b> What is a valid packaging type for a Maven project?</b><br><ul><li>WAR</li><li>all of these answers</li><li>POM</li><li>EAR</li></ul>,all of these answers
"<b> When two dependencies of your Maven project introduce the same transitive dependency with different versions, which one(s) will be included in the dependency list for your project?</b><br><ul><li>the dependency with the higher version</li><li>the transitive dependency that comes from the dependency listed first in the pom.xml file</li><li>the transitive dependency that comes from the dependency listed last in the pom.xml file</li><li>the transitive dependency version of the artifact that is closest to your project</li></ul>",the transitive dependency version of the artifact that is closest to your project
"<b> Many organizations set up local mirrors to the Maven central repository. In order to leverage your company's Maven repository as a proxy for the Maven central repository, which element should you put into the settings.xml file?</b><br><ul><li>Replacements</li><li>Proxies</li><li>Mirrors</li><li>LocalRepositories</li></ul>",LocalRepositories
<b> Which Maven plugin would you leverage to specify the version of the compiler to target as well as the source level of the language?</b><br><ul><li>Versions</li><li>Surefire</li><li>Target</li><li>Compiler</li></ul>,Compiler
"<b> If your machine is behind a proxy, where should you specify the proxy server settings in order for Maven to access remote resources?</b><br><ul><li>`.m2/proxy.txt`</li><li>`pom.xml`</li><li>`proxy.xml`</li><li>`settings.xml`</li></ul>",`settings.xml`
<b> What environment variable can you alter to increase the memory Maven uses?</b><br><ul><li>MAVEN_OPTS</li><li>M2_HOME</li><li>MAVEN_MEMORY</li><li>PATH</li></ul>,MAVEN_OPTS
<b> How can you use Maven to run unit tests in parallel?</b><br><ul><li>It is not possible to do this.</li><li>Implement the JUnit dependency and add a configuration that sets the parallel element to true.</li><li>Specify the Maven Surefire Plugin and add a configuration that sets the parallel element to true.</li><li>Move each test suite into a separate submodule.</li></ul>,Specify the Maven Surefire Plugin and add a configuration that sets the parallel element to true.
<b> What will the mvn dependency:tree command do?</b><br><ul><li>Verify the dependencies defined in the POM file.</li><li>Print out a report of your project's dependencies in a tree format.</li><li>Download all the transitive dependencies.</li><li>Prune unused dependencies from your dependency tree.</li></ul>,Print out a report of your project's dependencies in a tree format.
<b> How do you run a single unit test in Maven?</b><br><ul><li>Maven runs only a single unit test by default.</li><li>Use the -Dtest= flag and pass in the name of the test.</li><li>Use a plugin that can specify the test you want to run.</li><li>It is not possible to do this.</li></ul>,Use the -Dtest= flag and pass in the name of the test.
<b> How can Maven profiles be triggered?</b><br><ul><li>by explicitly calling the profiles using the -P flag</li><li>based on environment variables</li><li>all of these answers</li><li>through Maven settings</li></ul>,all of these answers
<b> Why will an mvn install command not deploy any artifacts to a remote repository?</b><br><ul><li>The name of the artifact must also be specified in the command.</li><li>The name of the remote repository must also be specified in the command.</li><li>Deploying artifacts to a remote repository must be done manually.</li><li>The deploy phase of the default Maven lifecycle comes after the install phase.</li></ul>,The deploy phase of the default Maven lifecycle comes after the install phase.
<b> Suppose you want to include a properties file in the JAR generated by your Maven build. What directory should you put it in?</b><br><ul><li>`${basedir}/src/main/resources`</li><li>`${basedir}/src/main/java/resources`</li><li>`${basedir}/resources`</li><li>`${basedir}/src/main/properties`</li></ul>,`${basedir}/src/main/resources`
<b> Which structure in a settings.xml file allows for flexing properties based on some value for the runtime of Maven?</b><br><ul><li>Environment</li><li>Properties</li><li>Switch</li><li>Profiles</li></ul>,Profiles
"<b> What does it mean if the scope of a dependency is runtime?</b><br><ul><li>The dependency is not required to compile the project, but is needed at runtime.</li><li>The dependency is needed at compile time and at runtime, and must be packaged for distribution.</li><li>The dependency is needed at compile time and at runtime, but does NOT need to be packaged for distribution.</li><li>The dependency is required for compilation.</li></ul>","The dependency is not required to compile the project, but is needed at runtime."
