<b> Which form view mode allows you to preview live data while you work on the design of the form?</b><br><ul><li>**Preview** view</li><li>**Layout** view</li><li>**Design** view</li><li>**Form** view</li></ul>,**Layout** view
"<b> How can you add multiple view button controls to a form at once?</b><br><ul><li>Double-click the button control to lock it on, then left-click in the form to add each button</li><li>Right-click the button control and select Drop Multiple Controls. Then left-click to add each button to a form</li><li>Select the Multiple Object check box in the Design tab before selecting the button control</li><li>Left-click the button control to select it, then add multiples to the form by right-clicking in the position you'd like to add them</li></ul>",No answer found
<b> What is the Access string operator that joins or concatenates text strings together?</b><br><ul><li>`&`</li><li>`!`</li><li>`#`</li><li>`-`</li></ul>,"`&`<br><br>[Caveat:](https://support.microsoft.com/en-us/office/string-functions-and-how-to-use-them-965efa84-7009-4603-9765-2eb4a099ec72)<br>""In a desktop database, you can also use the ampersand operator (&) for concatentation. In an Access app, you must use the plus sign (+).""\_<br>"
"<b> The relationship field in this table has been created with what feature?</b><br><br>`<p align=""center""><img src=""./images/question_4.png""></p>`<br><br><ul><li>lookup</li><li>reference integrity</li><li>pick list</li><li>validation rule</li></ul>",lookup
"<b> On a report, you want to display a header for each change in month name. How should you set up the Group and Sort options so that they are in the proper chronological order?</b><br><ul><li>Sort on month number, then sort on month name</li><li>Sort on month number, then group on month name</li><li>Group on month number, then sort by month name</li><li>Group on month number, then sort on month number</li></ul>","Group on month number, then sort on month number"
<b> What kind of query will display data with both column headers and row headers?</b><br><ul><li>crosstab</li><li>select</li><li>simple</li><li>spreadsheet</li></ul>,crosstab<br><br>[Reference](https://support.microsoft.com/en-us/office/make-summary-data-easier-to-read-by-using-a-crosstab-query-8465b89c-2ff2-4cc8-ba60-2cd8484667e8)<br>
"<b> What currency format displays a thousand separator, but not a currency symbol, such as $ or €?</b><br><ul><li>Scientific</li><li>Standard</li><li>General Number</li><li>Fixed</li></ul>",Standard<br><br>[Reference](https://support.microsoft.com/en-us/office/format-a-number-or-currency-field-e48f2312-67f0-4921-aca0-15d36b7f9c3b#bkmk_examples_predefined)<br>
"<b> In Access Option > Current Database, what does turning off the Allow Full Menus option do?</b><br><ul><li>removes the ribbon interface</li><li>removes all ribbon tabs except Home and Print Preview</li><li>disable the right-click menu when working with objects</li><li>removes the **Design** view contextual tabs, which forces most design changes to be made in **Layout** view</li></ul>","removes the **Design** view contextual tabs, which forces most design changes to be made in **Layout** view<br><br>[Reference](https://support.microsoft.com/en-us/office/allowfullmenus-property-d1cf24ab-ca65-4450-8917-93d83319b678)<br>"
"<b> You want to create a form to view customer's details, as well as some information about all order that the customer has placed with your company. What is the best way to display this information on a single screen?</b><br><ul><li>Use a form to display the customer details with a subform linked to their order information</li><li>Create a split form that displays the customer information at the top and the order history in the table below</li><li>Create a navigation form that includes a form for the customer details and a separate form for the order history</li><li>Create a continous form that uses a query to gather all of the customer details and order history in a single record source</li></ul>",No answer found
"<b> You want a form to appear automatically, whenever the database starts. How do you do this?</b><br><ul><li>In the **Access Options** dialog box, click **Current Database**, then select the form you want to open in the **Display Form** property</li><li>Open the form you want to display automatically in **Design** view. Then in the property sheet, set **Open on Launch** to **true**</li><li>Right-click the form you want to open automatically and select **Startup Form**</li><li>On the **Database Tools** tab, click **Database Options**, then set the form you want to open as the **Initial View** object</li></ul>","Open the form you want to display automatically in **Design** view. Then in the property sheet, set **Open on Launch** to **true**<br><br>[Reference](https://support.microsoft.com/en-us/office/set-the-default-form-that-appears-when-you-open-an-access-database-94961011-392f-4c3b-8dbc-e5d5adbff1df)<br>"
"<b> In Design view, which area of a form is the primary location for text boxes, buttons, and other control objects?</b><br><ul><li>**Page Layout**</li><li>**View** section</li><li>Form body</li><li>**Detail** section</li></ul>",**Detail** section
<b> What tool builds a report containing detailed information about the object in the database?</b><br><ul><li>Object dependencies</li><li>Table analyzer</li><li>Access database manager</li><li>Database documenter</li></ul>,Database documenter<br><br>[Reference](https://support.microsoft.com/en-gb/office/learn-the-structure-of-an-access-database-001a5c05-3fea-48f1-90a0-cccaa57ba4af?rs=en-gb#bm1)<br>
<b> You want to validate a proposed modification to a record's value before the table is saved to the database. What data macro can you add to the table to do this?</b><br><ul><li>After Insert</li><li>Before Change</li><li>After Update</li><li>Before Delete</li></ul>,Before Change
"<b> When you add a group to a report, what automatically gets added to the structure?</b><br><ul><li>a group header</li><li>nothing</li><li>a group header and footer</li><li>a group footer</li></ul>",a group header<br><br>[Reference](https://support.microsoft.com/en-us/office/create-a-grouped-or-summary-report-f23301a1-3e0a-4243-9002-4a23ac0fdbf3#__add_or_modify)<br>
"<b> A table contains a field with the lookup properties set as shown. What will be the value of the field when the end user clicks Normal from the combo box when entering a record into the table?</b><br><br>| General         | Lookup                          |<br>| --------------- | ------------------------------- |<br>| Display Control | Combo Box                       |<br>| Raw Source Type | Value List                      |<br>| Raw Source      | 1:""High""; 2 :""Normal""; 3: ""Low"" |<br>| Bound Column    | 1                               |<br>| Column Count    | 2                               |<br>| Column Heads    | No                              |<br>| Column Widths   | 0; 1                            |<br>| List Rows       | 16                              |<br>| List Width      | Auto                            |<br><br><ul><li>1</li><li>3</li><li>2</li><li>Normal</li></ul>",2
