"<b> You need to create an application in Azure AD representing the Kineteco Web App so you can assign directory permissions to the app. To create the application identity, which command will you run?</b><br><ul><li>`bash az ad app permission grant -display-name $appName \ ...`</li><li>`bash az ad app credential create -display-name $appName \ ...`</li><li>`bash az ad app create -display-name $appName \ ...`</li><li>`bash az ad app permission ass -display-name $appName \ ...`</li></ul>",`bash az ad app create -display-name $appName \ ...`<br><br>[Ref](https://docs.microsoft.com/en-us/cli/azure/ad/app?view=azure-cli-latest)<br>
"<b> You need to deliver a mobile push notification feature for the Kineteco Retail app, hosted in Azure App Service. The solution should minimize cost, complexity, and development effort. Which option should you choose?</b><br><ul><li>Notification Hub</li><li>Event Grid</li><li>Twilio</li><li>Service Bus</li></ul>","Notification Hub<br><br>**Explanation:** Twilio is an SMS notification app, also not from Microsoft. Event Grid can be techincally used for this purpose but it's a more generic event-broadcasting service. Service Bus is another generic publish-subscribe solution. Finally [Notification Hubs](https://docs.microsoft.com/en-us/azure/notification-hubs/notification-hubs-push-notification-overview) are specifically designed for push-notifications.<br>"
<b> Your application hosted in Azure App Service needs to retrieve secrets from Azure Key Vault. Which choice is NOT a way to authenticate to Key Vault?</b><br><ul><li>service principal and a certificate</li><li>managed identity</li><li>service principal and a secret</li><li>shared access key</li></ul>,"shared access key<br><br>[Azure Key Vault Developer's Guide](https://docs.microsoft.com/en-us/azure/key-vault/general/developers-guide#authenticate-to-key-vault-in-code) lists 3 available methods. The _shared access key_ does not exist in Azure at all, the closest term is _shared access signature (SAS)_ but it's used to access Azure Storage only.<br>"
<b> You added a persistent volume claim to your apps YAML manifest. When you attempt to deploy to an existing AKS cluster there is no persistent volume available. What should you do?</b><br><ul><li>Do nothing. The API server will provision additional storage automatically</li><li>Add a data disk definition for the AKS cluster to your apps YAML manifest</li><li>Add a data disk to each Kubernetes cluster node and reattempt app deployment</li><li>Provision an Azure Files instance and reattempt app deployment</li></ul>,Add a data disk definition for the AKS cluster to your apps YAML manifest
<b> Your corporate web application is hosted in Azure regional data centres around the world. You need to route user requests to the closest service endpoint based on response latency. Which routing method should you use?</b><br><ul><li>Application gateway</li><li>Front Door</li><li>API Management</li><li>Traffic manager</li></ul>,Traffic manager
<b> You are developing a release strategy for several related software components. You need to reference variable groups and secure files across multiple build and release pipelines. What is the most efficient way to store and reference these assets from the pipeline?</b><br><ul><li>Add the assets to a git repository</li><li>Add the assets in Key Vault</li><li>Add the assets to an encrypted volume</li><li>Add the assets to a library</li></ul>,Add the assets to a library<br><br>[Ref](https://docs.microsoft.com/en-us/azure/devops/pipelines/library/?view=azure-devops)<br>
<b> You need to grant full access for an app to a temporary Azure storage account. Configuring access should require minimum effort. Which option should you use?</b><br><ul><li>Azure AD user account</li><li>Shared access signature</li><li>Shared key</li><li>Certificate</li></ul>,Shared access signature<br><br>[Shared access signature](https://docs.microsoft.com/en-us/azure/storage/common/storage-sas-overview) exists exactly for the purpose of giving a temporary access. Azure AD user account is not temporary so it needs to be managed. Creating/revoking Certificates for temporary access is just too much hassle.<br>
"<b> Which choice is not a valid trigger for an Azure functions?</b><br><ul><li>based on a time (schedule)</li><li>another Azure service (cosmos, service bus)</li><li>threshold alert in Azure App insights</li><li>third party services (GitHub)</li></ul>",threshold alert in Azure App insights<br><br>[Ref](https://docs.microsoft.com/en-us/azure/azure-functions/functions-triggers-bindings?tabs=csharp)<br>
<b> Which messaging service enables an event-driven programming model?</b><br><ul><li>Service Bus</li><li>Event Hub</li><li>Notification Hub</li><li>Event Grid</li></ul>,Event Grid<br><br>[Ref](https://docs.microsoft.com/en-us/azure/event-grid/compare-messaging-services)<br>
<b> You need to populate a newly created SQL database from your release pipeline in Azure DevOps. The solution should minimize deployment time and efforts. Which approach should you use?</b><br><ul><li>Populate from a BACPAC file.</li><li>Restore from a backup file.</li><li>Populate from a CSV file.</li><li>Populate from a SQL file.</li></ul>,Populate from a BACPAC file.
