<b> What can you set a reminder for in Outlook?</b><br><ul><li>all of these answers</li><li>contacts</li><li>email messages</li><li>appointments and meetings</li></ul>,all of these answers
<b> What is the default permission that other people in your organization have to your calendar?</b><br><ul><li>They can view free/busy details only.</li><li>They can edit.</li><li>They can view all details.</li><li>They can view titles and locations.</li></ul>,They can view free/busy details only.<br><br>[Reference](https://support.microsoft.com/en-us/office/share-an-outlook-calendar-with-other-people-353ed2c1-3ec5-449d-8c73-6931a0adab88)<br>
"<b> Your boss sends you an email with a request to set up a meeting and copies all meeting attendees on the message. What is the fastest way to create the calendar appointment</b><br><ul><li>Click New Items > New Appointment.</li><li>Click Calendar > New Meeting, and then copy and paste information as needed.</li><li>with the email open, click Meeting on the Home ribbon or Message tab.</li><li>Click Reply All.</li></ul>","with the email open, click Meeting on the Home ribbon or Message tab."
<b> You are running low on Outlook storage space. How might you address this problem?</b><br><ul><li>all of these answers</li><li>Archive messages you are done with.</li><li>Save and then remove large attachments from messages</li><li>Sort by size and then delete large messages.</li></ul>,all of these answers
"<b> Why are read receipts less reliable than delivery receipts?</b><br><br>```<br>A. Users can change their email settings to ignore requests for read receipts.<br>B. Users can decline individual requests for read receipts.<br>C. Read receipts are expensive, so some organizations turn them off.<br>```<br><br><ul><li>A and C</li><li>B and C</li><li>A and B</li><li>A,B,and C</li></ul>",<ul></ul>
<b> What address box should you use if you want to hide message recipients from each other?</b><br><ul><li>Bcc</li><li>to</li><li>cc</li><li>From</li></ul>,Bcc
"<b> You are creating a new email message to Diane and Joey. You need a response from Diane, but are simply informing Joey. How should you address the email?</b><br><ul><li>to Diane and Joey</li><li>to Diane and bcc Joey</li><li>to Joey and bcc Diane</li><li>to Diane and cc Joey</li></ul>",to Diane and cc Joey
<b> Which choice is not an attachment?</b><br><ul><li>a PDF document included with an email</li><li>a Word document included with an email</li><li>(Â) a calendar item included with an email</li><li>a hyperlink included in an email</li></ul>,a hyperlink included in an email
<b> You can use a**\_to indicate that a message requires further action and a**to organize the message.</b><br><ul><li>folder; category</li><li>flag; tag</li><li>category; flag</li><li>flag; category</li></ul>,flag; tag
"<b> You create a task and assign it to Nalia. Nalia reviews the request and declines the assignment. Where is the task now, and who is the owner?</b><br><ul><li>The task is nowhere, and no one is the owner.</li><li>The task is in your task list, and you are the owner.</li><li>The task is in Nalia's task list, and you are the owner.</li><li>The task is in Nalia's task list, and Nalia is the owner until she reassigns it to you.</li></ul>",<ul></ul>
<b> What does Outlook automatically point out to you when you are invited to a meeting?</b><br><ul><li>if your attendance is mandatory</li><li>ifthe meeting is high or low priority</li><li>the amount of time you have between this meeting and your next event</li><li>if the meeting is adjacent to another event in your calendar</li></ul>,if your attendance is mandatory
<b> What appears on your screen whenever a new email arrives?</b><br><ul><li>an emoji</li><li>an alert</li><li>a notice</li><li>a bell icon</li></ul>,an alert
"<b> Some of your inbox folder are used for annual or biannual projects, while others are used for work that is not based on projects. The same is true for your calendars. How can you use archiving to increase your efficiency and minimize the size of your mailbox?</b><br><ul><li>Review your folders to determine the age of messages that should auto archive in each folder. Set the most frequent value as the AutoArchive default</li><li>For each folder, determine whether aged items should be deleted or archived</li><li>Set individual settings for folders that should be archived, but not using the default settings</li><li>All of these answers</li></ul>",<ul></ul>
<b> Removing redundant messages can be completed by utilizing what Outlook features?</b><br><ul><li>Filter</li><li>Junk Mail</li><li>The Delete Key</li><li>Clean Up Conversation</li></ul>,Clean Up Conversation
<b> You have sent several emails to a customer and have not received a response. What option do you set to know whether the customer receives your messages?</b><br><ul><li>Delivery receipt</li><li>All of these answers</li><li>Read receipt</li><li>Tracking</li></ul>,Delivery receipt
<b> A message on your summary list appears with a paper clip icon and an arrow pointing to the left. What does this indicate?</b><br><ul><li>The message has been replied to and contains an attachment</li><li>The message has been flagged and contains an attachment</li><li>None of these answers</li><li>The message has been forwarded and contains an attachment</li></ul>,The message has been replied to and contains an attachment
<b> What is a key difference between sending someone your Outlook contact and sending you Outlook business card?</b><br><ul><li>Sending the contact is faster because the contact itself has no formatting</li><li>Sharing a contact is superior because more email systems support Outlook contacts rather than business cards</li><li>There is no real difference</li><li>Your business card can be edited to omit personal information such as a home phone</li></ul>,<ul></ul>
