"<b> A dataset that includes \_ can be used to create a map visualization. (Select all that apply.)</b><br><br>A. house numbers, street names<br>B. geospatial data<br>C. city names, country names<br>D. longitude, latitude<br><br><ul><li>A, B, C, D</li><li>A, C, D</li><li>B, C, D</li><li>D</li></ul>","A, B, C, D"
"<b> How do you create a chart visual in Power BI Desktop Report view? (Select all that apply.)</b><br><br>A. Click New Visual on the Home tab.<br>B. Select a chart visual in the Visualizations pane.<br>C. Click New Visual on the Data Tools tab.<br>D. Select a field that contains values.<br><br><ul><li>A, B, or D</li><li>B or D</li><li>B orC</li><li>A or B</li></ul>",A or B
"<b> What daily sales number does this DAX measure formula calculate?</b><br><br>`CALCULATE(SUM([Sales]) ,DATESMTD([Date] ))`<br><br><ul><li>running total sales in each month that starts over each month</li><li>total sales for the entire month</li><li>running total in entire year for the entire month</li><li>rolling average over 12 months of sales</li></ul>",running total sales in each month that starts over each month
"<b> You are creating a report in Power BI Desktop and want to restrict the data to records where Country=""Canada"". To accomplish this, what do you need to create?</b><br><ul><li>a directive</li><li>a custom column</li><li>an indexed column</li><li>a parameter</li></ul>",a directive
"<b> What is the primary benefit of using visualizations such as line charts, bar charts, and column charts?</b><br><ul><li>They are easier to create than other visualizations.</li><li>They require fewer resources than more complex visualizations.</li><li>They are also used in Excel, so they feel familiar to users.</li><li>They are free to use.</li></ul>",They require fewer resources than more complex visualizations.
"<b> In Power BI service, deleted pages are available after deletion until</b><br><ul><li>midnight of the day on which they are deleted</li><li>the next billing cycle</li><li>you empty the Recycle Bin</li><li>the report has been saved</li></ul>",the report has been saved
"<b> You need to add a required color to a bar chart. How can you add an exact color value to an existing bar chart?</b><br><ul><li>Click the color in the visual (e.g., the bars) and right-click to select the color.</li><li>You cannot select custom colors in a bar chart or related visual.</li><li>Select the value closest to this color from the color formatting options.</li><li>Enter the hex value into the color formatting options.</li></ul>","Click the color in the visual (e.g., the bars) and right-click to select the color."
<b> The Excel function IF is nearly the same as which DAX function?</b><br><ul><li>SWITCH</li><li>IF</li><li>IFX</li><li>IFS</li></ul>,IFX
"<b> Consider the Power BI extract, transform, and load process (ETL). During this process, data is read and then</b><br><ul><li>stored in SQL Server</li><li>written to an OLAP cube</li><li>assigned a data type</li><li>sorted by primary key</li></ul>",stored in SQL Server
"<b> Power BI's Publish to Web option allows you to embed visualizations within **\_**. (Select all that apply.)</b><br><br>A. blog posts<br>B. email messages<br>C. web sites<br>D. text messages<br><br><ul><li>A,C</li><li>C</li><li>A, B, C</li><li>A, B, C, D</li></ul>","A, B, C, D"
"<b> What can you do within the Power BI Desktop #</b><br><br>A. Rename a query step.<br>B. Delete a query step.<br>C. Delete from one query step to the end.<br>D. Reorder the steps.<br><br><ul><li>B, C, D</li><li>A, B, C, D</li><li>A, B, D</li><li>A, B, C</li></ul>","A, B, C, D<br><br>[proof link](https://docs.microsoft.com/en-us/power-bi/transform-model/desktop-query-overview)<br>"
"<b> After you enter text in the #</b><br><ul><li>filter and group</li><li>sort and filter</li><li>sort, filter, and group</li><li>sort and group</li></ul>",sort and group
