"<b> Where can you set fixed duration, effort driven, and manually scheduled?</b><br><ul><li>Team Planner</li><li>Project Information dialog box</li><li>task form</li><li>Resource Sheet</li></ul>",task form
"<b> You would like the ability to edit your typed entries in the Entry Bar, which appears below the ribbon and above the default Entry table in the Gantt Chart view. You recently received a new computer and noticed that the Entry Bar is missing. How do you fix this?</b><br><ul><li>Use the **Display** tab in the **Project Options** dialog box to enable the Entry Bar.</li><li>Change the from Gantt Chart view to Tracking Gantt view.</li><li>Use the **Advanced** tab in the **Project Options** dialog box to enable the Entry Bar.</li><li>On the **View** tab on the ribbon, in the **Split View** group, select **Details**.</li></ul>",Use the **Display** tab in the **Project Options** dialog box to enable the Entry Bar.
"<b> Which of the following defines the project scope in terms of deliverables and components, and provides the framework on which the project status is based?</b><br><ul><li>work package</li><li>work breakdown structure</li><li>baseline</li><li>milestone</li></ul>",work breakdown structure
"<b> When setting the **Calculate multiple critical paths** option in a master project's **Advanced** settings, which statement is correct?</b><br><ul><li>Subprojects will have critical paths calculated individually.</li><li>Individual resources will have critical paths calculated.</li><li>Milestones will have critical paths fixed.</li><li>Only one critical path will be calculated for a linked project.</li></ul>",Subprojects will have critical paths calculated individually.
"<b> What Microsoft Project view is shown in the image below?</b><br><br><img src=""microsoft-project_Q05.jpg""><br><br><ul><li>Network Diagram</li><li>Task Dependency Report</li><li>Flow Chart</li><li>Gantt Chart</li></ul>",Network Diagram
<b> You want to switch the scheduling mode for a project from scheduling from a start date to scheduling from a finish date. This action will change the default constraint from As Soon As Possible to As Late As Possible. Which dialog box should you use to make this change?</b><br><ul><li>Resource Information</li><li>Project Information</li><li>Task Information</li><li>Change Working Time</li></ul>,Project Information
<b> A project contains many elements. What is used to describe the sum of the work required?</b><br><ul><li>task links</li><li>Resource Sheet</li><li>work breakdown structure</li><li>baseline</li></ul>,work breakdown structure
<b> Which option is not available in the Report tab on the ribbon?</b><br><ul><li>New Report</li><li>Network Diagram</li><li>Recent</li><li>Custom</li></ul>,Network Diagram
"<b> You are troubleshooting a schedule on someone else's computer The schedule has </b><br><ul><li>Inserted projects are calculated like summary tasks is selected.</li><li>Calculate multiple critical paths is not selected.</li><li>One of the Com add-ins is not selected.</li><li>Calculate project after each edit is set to Off.`The hint being ""The schedule has 10,000 tasks"" and the fact that the Gantt Chart does not update.`<br></li></ul>","Calculate project after each edit is set to Off.`The hint being ""The schedule has 10,000 tasks"" and the fact that the Gantt Chart does not update.`<br>"
"<b> You would like to understand which tasks are critical and which are not. When looking at the Gantt chart, how are these tasks identified by default?</b><br><ul><li>Critical tasks are indicated in red and other tasks are indicated in blue.</li><li>Critical tasks are indicated in dark blue end other tasks are indicated in light blue.</li><li>Critical tasks are indicated in a report while the Gantt chart indicates all tasks in blue.</li><li>Critical tasks are indicated with an icon and other tasks are indicated in blue.</li></ul>",Critical tasks are indicated in red and other tasks are indicated in blue.
<b> You are working on a project that has tasks with no flexibility. Which constraint type offers no flexibility?</b><br><ul><li>Must Finish On</li><li>Start No Earlier Than</li><li>As Soon As Possible</li><li>Finish No Earlier Than</li></ul>,Must Finish On
"<b> In a project, duration can have different units. Which duration unit is _not_ valid?</b><br><ul><li>weeks</li><li>hours</li><li>days</li><li>quarters</li></ul>",quarters
<b> Microsoft Project uses calendars to schedule a project. Which project components can be assigned a calendar?</b><br><ul><li>tasks and work</li><li>work and units</li><li>resources and work</li><li>tasks and resources</li></ul>,tasks and resources
"<b> You are working on a project file that contains many linked subprojects. When saving the files, what option can you use to immediately save the open files, including those that have not changed?</b><br><ul><li>Yes to All</li><li>Yes</li><li>Save As</li><li>Save</li></ul>",Yes to All
<b> A resource is assigned to a task that is scheduled for </b><br><ul><li>It has changed to 10h.</li><li>It has changed to 6h.</li><li>It has changed to 125%.</li><li>It has changed to 110%.</li></ul>,It has changed to 125%.<br><br>[reference link](https://support.microsoft.com/en-us/office/peak-task-field-a9947235-b552-4ae5-9f26-d58fdc1a27d3)<br>
<b> What is another name for a work breakdown structure?</b><br><ul><li>a hierarchy of tasks</li><li>a linking of tasks</li><li>a duration of tasks</li><li>a leveling of tasks</li></ul>,a hierarchy of tasks
"<b> A report for Earned Value Over Time has been requested, You decide to use a Microsoft Project visual report. What values does this report template compare when run?</b><br><ul><li>Earned Value. Planned Value, and Actual</li><li>Earned Value and Planned Value</li><li>Earned Value and Actual Cost</li><li>Planned Value and Actual Cost</li></ul>","Earned Value. Planned Value, and Actual"
<b> You are preparing a meal comprising a main dish and multiple side dishes. You want the finish of the main dish to drive the finish of the side dishes. The main dish will start before and take longer than the side dishes. You need to create a link from the main dish to each of the side dishes. Which link type is appropriate?</b><br><ul><li>Start-to-Finish (SF)</li><li>Finish-to-Finish(FF)</li><li>Finish-to-Start (FS)</li><li>Start-to-Start (SS)</li></ul>,"Finish-to-Finish(FF)<br><br>**Reasoning:** the problem states that the finish of the secondary dishes should be the same with the finish of the main course. The main course takes longer to complete than the secondary dishes. If we set Start-to-Finish, the secondary dishes will begin after the main dish is complete and this is not what the problem stated.<br>"
