"<b> When you have a subquery inside of the main query, which query is executed first?</b><br><ul><li>The subquery is never executed. Only the main query is executed.</li><li>They are executed at the same time</li><li>the main query</li><li>the subquery</li></ul>",the subquery
"<b> You need to export the entire database, including the database objects, in addition to the data. Which command-line tool do you use?</b><br><ul><li>mysqlexport</li><li>mysqladmin</li><li>mysqldump</li><li>mysqld</li></ul>",mysqldump
<b> You must ensure the accuracy and reliability of the data in your database. You assign some constraints to limit the type of data that can go into a table. What type of constraints are you assigning?</b><br><ul><li>row level</li><li>database level</li><li>column level</li><li>function level</li></ul>,column level
<b> Which option of most MySQL command-line programs can be used to get a description of the program's different options?</b><br><ul><li>--options</li><li>?</li><li>--help</li><li>-h</li></ul>,--help
<b> MySQL uses environment variables in some of the programs and command-line operations. Which variable is used by the shell to find MySQL programs?</b><br><ul><li>DIR</li><li>HOME</li><li>PATH</li><li>MYSQL_HOME</li></ul>,PATH
<b> How can you create a stored procedure in MySQL?</b><br><ul><li>A```<br>1 CREATE PROCEDURE P () AS<br>2 BEGIN<br>3 END;<br>```<br></li><li>B```<br>1 CREATE PROCEDURE P ()<br>2 BEGIN<br>3 END<br>```<br></li><li>C```<br>1 CREATE PROCP<br>2 BEGIN<br>3 END;<br>```<br></li><li>D```<br>1 CREATE PROC P AS O<br>2 BEGIN<br>3 END;<br>```<br></li></ul>,B```<br>1 CREATE PROCEDURE P ()<br>2 BEGIN<br>3 END<br>```<br>
"<b> If you were building a table schema to store student grades as a letter (A, B, C, D, or F) which column type would be the best choice?</b><br><ul><li>ENUM</li><li>OTEXT</li><li>VARCHAR</li><li>LONGTEXT</li></ul>",ENUM
"<b> Management has requested that you build an employee database. You start with the employee table. What is the correct syntax?</b><br><ul><li>A```sql<br>CREATE TABLE employee (<br>employeeID char(10),<br>firstName varchar(50),<br>lastName varchar(50),<br>phone varchar(20),<br>address varchar(50),<br>PRIMARY KEY ON employeeID<br>);<br>```<br></li><li>B```sql<br>CREATE TABLE employee (<br>employeeID char(10),<br>firstName varchar(50),<br>lastName varchar(50),<br>phone varchar(20),<br>address varchar(50),<br>PRIMARY KEY employeeID<br>);<br>```<br></li><li>C```sql<br>CREATE TABLE IF EXISTS employee (<br>employeeID char(10),<br>firstName varchar(50),<br>lastName varchar(50),<br>phone varchar(20),<br>address varchar(50),<br>PRIMARY KEY (employeeID)<br>);<br>```<br></li><li>D```sql<br>CREATE TABLE IF NOT EXISTS employee (<br>employeeID char(10),<br>firstName varchar(50),<br>lastName varchar(50),<br>phone varchar(20),<br>address varchar(50),<br>PRIMARY KEY (employeeID)<br>);<br>```<br></li></ul>","D```sql<br>CREATE TABLE IF NOT EXISTS employee (<br>employeeID char(10),<br>firstName varchar(50),<br>lastName varchar(50),<br>phone varchar(20),<br>address varchar(50),<br>PRIMARY KEY (employeeID)<br>);<br>```<br>"
<b> You are working with the tables as shown in this diagram. You need to generate the list of customers who purchased certain car models. Which SQL clause do you use?</b><br><br>![mysql Q09](images/mysql_q09.jpg?raw=true)<br><br><ul><li>LIKE</li><li>IN</li><li>BETWEEN</li><li>HAVING</li></ul>,IN
<b> Which query would NOT be used to administer a MySQL server?</b><br><ul><li>USE db</li><li>SELECT column FROM tbl</li><li>SHOW COLUMNS FROM tbl</li><li>SHOW TABLES</li></ul>,SELECT column FROM tbl
"<b> MySQL server can operate in different SQL modes, depending on the value of the sql_mode system variable. Which mode changes syntax and behavior to conform more closely to standard SQL?</b><br><ul><li>TRADITIONAL</li><li>ANSI</li><li>MSSQL</li><li>STRICT</li></ul>",ANSI
<b> MySQL programs are a set of command-line utilities that are provided with typical MySQL distributions. MySQL is designed to be a database.</b><br><ul><li>database and programming</li><li>user and administrator</li><li>client and server</li><li>syntax and objects</li></ul>,client and server
<b> Which MySQL command shows the structure of a table?</b><br><ul><li>INFO table;</li><li>SHOW table;</li><li>STRUCTURE table;</li><li>DESCRIBE table;</li></ul>,DESCRIBE table;
"<b> MySQL uses security based on \_ for all connections, queries, and other operations that users can attempt to perform.</b><br><ul><li>administrator schema</li><li>encrypted algorithms</li><li>user settings</li><li>access control lists</li></ul>",access control lists<br><br>[Reference](https://dev.mysql.com/doc/refman/8.0/en/security-guidelines.html)<br>
<b> Which MySQL command modifies data records in a table?</b><br><ul><li>UPDATE</li><li>MODIFY</li><li>CHANGE</li><li>ALTER</li></ul>,UPDATE
<b> What is the best type of query for validating the format of an email address in a MySQL table?</b><br><ul><li>a SQL query using partitions</li><li>a SQL query using IS NULL</li><li>a SQL query using a regular expression</li><li>a SQL query using LTRIM Or RTRIM</li></ul>,a SQL query using a regular expression
"<b> In MySQL, queries are always followed by what character?</b><br><ul><li>line break</li><li>colon</li><li>semicolon</li><li>period</li></ul>",semicolon
<b> How can you remove a record using MySQL?</b><br><ul><li>DELETE</li><li>DELETE FROM</li><li>REMOVE</li><li>REMOVE FROM</li></ul>,DELETE FROM
<b> Which choice is NOT a statement you would use to filter data?</b><br><ul><li>GROUP BY</li><li>WHERE</li><li>LIMIT</li><li>LIKE</li></ul>,GROUP BY
"<b> What does the following SQL statement return?</b><br><br>`SELECT * FROM Employees WHERE EmployeeName LIKE 'a%'`<br><br><ul><li>It records in the Employees table where the value in the EmployeeName column doesn't have an ""a"".</li><li>It records in the Employees table where the value in the EmployeeName column starts with ""a"".</li><li>It records in the Employees table where the value in the EmployeeName column has an ""a"".</li><li>It records in the Employees table where the value in the EmployeeName column ends with ""a"".</li></ul>","It records in the Employees table where the value in the EmployeeName column starts with ""a""."
<b> In `SELECT * FROM clients;` what does clients represent?</b><br><ul><li>a SQL query</li><li>a SQL statement</li><li>a database</li><li>a table</li></ul>,a table
"<b> How does MySQL differ from SQL?</b><br><ul><li>SQL is a standard language for retrieving and manipulating data from structured databases. MySQL is a nonrelational database management system that is used to manage SQL databases.</li><li>SQL is a standard language for retrieving and manipulating data from structured databases. MySQL is a relational database management system that is used to manage SQL databases.</li><li>They are not different. MySQL and SQL refer to the same thing.</li><li>My SQL is a language, and SQL is a software application.</li></ul>",SQL is a standard language for retrieving and manipulating data from structured databases. MySQL is a relational database management system that is used to manage SQL databases.
"<b> If you need to order a table of movies by name, which query will work?</b><br><ul><li>SELECT \* FROM movies GROUP BY name</li><li>SELECT \* FROM movies ORDER BY name</li><li>SELECT \* FROM movies ORDER TABLE by name</li><li>SELECT \* FROM movies FILTER BY name</li></ul>",SELECT \* FROM movies ORDER BY name
"<b> A trigger is a database object that is associated with a table, and that activates when a particular event occurs for the table. Which three events are these?</b><br><ul><li>INSERT, UPDATE, DELETE</li><li>CREATE, ALTER, DROP</li><li>OPEN, FETCH, CLOSE</li><li>DECLARE, SET, SELECT</li></ul>","INSERT, UPDATE, DELETE"
<b> You are working with very large tables in your database. Which SQL clause do you use to prevent exceedingly large query results?</b><br><ul><li>UNIQUE</li><li>LIMIT</li><li>DISTINCT</li><li>CONSTRAINT</li></ul>,LIMIT
<b> What is the default port for MySQL Server?</b><br><ul><li>25</li><li>990</li><li>0</li><li>3306</li></ul>,3306
<b> How can you filter duplicate data while retrieving records from a table?</b><br><ul><li>DISTINCT</li><li>WHERE</li><li>LIMIT</li><li>AS</li></ul>,DISTINCT
"<b> What is the difference between DROP and TRUNCATE?</b><br><ul><li>They both refer to the same operation of deleting the table completely.</li><li>They both refer to the same operation of clearing the table, but keeping its definition intact.</li><li>TRUNCATE deletes table completely, removing its definition as well. DROP clears the table but does not delete the definition.</li><li>DROP deletes table completely, removing its definition as well. TRUNCATE clears the table but does not delete the definition.</li></ul>","DROP deletes table completely, removing its definition as well. TRUNCATE clears the table but does not delete the definition."
"<b> How do you select every row in a given table named ""inventory""?</b><br><ul><li>SELECT all FROM inventory;</li><li>FROM inventory SELECT all;</li><li>FROM inventory SELECT \*;</li><li>SELECT \* FROM inventory;</li></ul>",SELECT \* FROM inventory;
"<b> In an efficiently designed relational database, what does every table have?</b><br><ul><li>set of triggers</li><li>sequential id field</li><li>minimum of three columns</li><li>primary key</li></ul>",primary key
<b> MySQL option files provide a way to specify commonly used options so that they need not be entered on the command line each time you run a program. What is another name for the option files?</b><br><ul><li>variable settings</li><li>configuration files</li><li>help files</li><li>default settings</li></ul>,configuration files
"<b> After installing MySQL, it may be necessary to initialize the \_ which may be done automatically with some MySQL installation methods.</b><br><ul><li>storage engine</li><li>user accounts</li><li>grant tables</li><li>data directory</li></ul>",data directory
"<b> You need to export the data in the customers table into a CSV file, with columns headers in the first row. Which clause do you add to your MySQL command?</b><br><ul><li>JOIN</li><li>WITH HEADERS</li><li>UNION</li><li>WITH COLUMNS</li></ul>",UNION<br><br>[Sample](https://stackoverflow.com/questions/5941809/include-headers-when-using-select-into-outfile)<br>
"<b> One form of backup, replication, enables you to maintain identical data on multiple servers, as a \_ configuration.</b><br><ul><li>remote-local</li><li>parent-child</li><li>master-slave</li><li>logical-physical</li></ul>",master-slave
<b> What is the requirement for using a subquery in the SELECT clause?</b><br><ul><li>the subquery must use an aggregate function.</li><li>the subquery must refer to the same table as the main query.</li><li>the subquery must return a single value.</li><li>the subquery must return at least one value.</li></ul>,the subquery must return a single value.
"<b> Each time MySQL is upgraded, it is best to execute mysql_upgrade, which looks for incompatibilities with the upgraded MySQL server. What does this command do, upon finding a table with a possible incompatibility?</b><br><ul><li>it performs a table check and, if problems are found, attempts a table repair.</li><li>it stops and notifies the server administrator that the upgrade cannot complete until the incompatibility issue are resolved.</li><li>it provides a full report of the table specifications and the incompatibilities to the server administrator.</li><li>it performs a table check and, if problems are found, displays the information for the server administrator to take action.</li></ul>","it performs a table check and, if problems are found, attempts a table repair."
<b> What mysql statement is used to check which accounts have specific privileges?</b><br><ul><li>show grants (displays the privileges and roles that are assigned to a MySQL user account or role)</li><li>show privileges (shows the list of system privileges that the MySQL server supports)</li><li>show access</li><li>show user permissions</li></ul>,show grants (displays the privileges and roles that are assigned to a MySQL user account or role)
<b> What table cannot have a trigger associated with it?</b><br><ul><li>temporary</li><li>system</li><li>large</li><li>new</li></ul>,system
<b> later versions of mysql support the native json data type for storing json documents. What is a drawback of json columns?</b><br><ul><li>inefficient for storing json documents</li><li>cannot be indexed directly</li><li>documents cannot be validated when stored in json columns</li><li>cannot be normalized</li></ul>,cannot be indexed directly
<b> Which statement is true for the diagram below</b><br><br>![mysql Q41](images/mysql_q41.jpg?raw=true)<br><br><ul><li>carid is the primary key for purchases</li><li>carid is the foreign key for cars.carid</li><li>customerid is the foreign key for customers.id</li><li>customerid is the primary key for purchases</li></ul>,customerid is the foreign key for customers.id
<b> Which statement can you use to load data from a file into the table?</b><br><ul><li>cat file|mysql</li><li>load data infile (correct if the file is already on the server)</li><li>load data local infile (also correct but only if the file is from the client)</li><li>extended insert statement</li></ul>,load data infile (correct if the file is already on the server)
