<b> Which types of indexes are available in CosmosDB?</b><br><ul><li>range and spatial</li><li>secondary and primary key</li><li>secondary and spatial</li><li>range and primary key</li></ul>,range and spatial
<b> You want to connect a DynamoDB stream to AWS Lambda function?</b><br><ul><li>DynamoDB table</li><li>DynamoDB trigger</li><li>DynamoDB item</li><li>DynamoDB index</li></ul>,DynamoDB trigger
"<b> To index a field that holds an array value in MongoDB, which index type do you create?</b><br><ul><li>partial</li><li>sparse</li><li>compound</li><li>multikey</li></ul>",multikey
<b> You want to test HBASE on your laptop using the fewest number of steps. What do you do?</b><br><ul><li>Set up Hadoop in pseudo-distributed mode.</li><li>Set up HBASE in local mode.</li><li>Set up HBASE in pseudo-distributed mode.</li><li>Set up Hadoop in local mode.</li></ul>,Set up HBASE in pseudo-distributed mode.
<b> You need to create a document database that supports database triggers. Which NoSQL database should you use?</b><br><ul><li>DynamoDB</li><li>BigTable</li><li>Redis</li><li>MongoDB</li></ul>,DynamoDB
<b> What is recommended size for Redis keys?</b><br><ul><li>medium</li><li>short</li><li>single bit</li><li>long</li></ul>,short
<b> What does redis use to sort the elements of a sorted set?</b><br><ul><li>Scores.</li><li>Ids.</li><li>Values.</li><li>Keys.</li></ul>,Keys.
"<b> You need to change the shard key of an existing MongoDB collection. What do you do?</b><br><ul><li>Dump the collection data, drop the collection, create a new collection and shard key, import the data.</li><li>Add second shard key and drop the first shard key.</li><li>Dump the collection data, drop the collection, presplit the data, create a new collection and shard key, import the data.</li><li>Drop and recreate the shard key.</li></ul>","Dump the collection data, drop the collection, presplit the data, create a new collection and shard key, import the data."
<b> Polyglot storage means using multiple types of what in the same application?</b><br><ul><li>Security systems.</li><li>Database systems.</li><li>Storage systems.</li><li>Query systems.</li></ul>,Query systems.
"<b> You need to implement the simplest possible scalable, in-memory cache for your AWS application. Which service do you select?</b><br><ul><li>Elasticache using Memcached.</li><li>DynamoDB.</li><li>DynamoDB Accelerator (DAX).</li><li>Elasticache using Redis.</li></ul>",Elasticache using Redis.
"<b> You are doing data modelling for Google BigTable. Which statement expresses if and when you should split entities across multiple rows?</b><br><ul><li>Keep all information for an entity in a single row. Store related entities in adjacent rows.</li><li>Keep all information for an entity in a single row.</li><li>Split entities across multiple rows if the entity data is over thousands of MBs, or if it does not need atomic updates and reads.</li><li>Split entities across multiple rows if the entity data is over hundreds of MBs, or if it does not need atomic updates and reads.</li></ul>","Split entities across multiple rows if the entity data is over hundreds of MBs, or if it does not need atomic updates and reads."
<b> Which two characteristics define Amazon Quantum Ledger Database?</b><br><ul><li>Key-value data model; transactionally consistent with ACID semantics.</li><li>Document data model; transactionally consistent with ACID semantics.</li><li>Key-value data model; transactions with tunable consistency.</li><li>Document data model; transactions with tunable consistency.</li></ul>,Document data model; transactionally consistent with ACID semantics.
"<b> You need to design the primary key for DynamoDB based on three attributes. What do you do?</b><br><ul><li>Designate all three fields as the primary key.</li><li>Concatenate all three fields into one new field, then designate that new field as the primary key.</li><li>Designate two fields of the three fields as the primary key.</li><li>Concatenate two fields into one new field, then designate that new field and the remaining field as the primary key.</li></ul>","Concatenate all three fields into one new field, then designate that new field as the primary key."
