<b> What is an example of dynamic binding?</b><br><ul><li>any method</li><li>method overloading</li><li>method overriding</li><li>compiling</li></ul>,method overriding
<b> For which case would the use of a static attribute be appropriate?</b><br><ul><li>the number of people in each house in a small neighborhood</li><li>the lot size for each house in a small neighborhood</li><li>the color of each house in a small neighborhood</li><li>the weather conditions for each house in a small neighborhood</li></ul>,the weather conditions for each house in a small neighborhood
<b> </b><br><ul><li>to avoid redundant coding in children</li><li>to explore a hypothetical class</li><li>to prevent unwanted method implementation</li><li>to reserve memory for an unspecified class type</li></ul>,to avoid redundant coding in children
<b> </b><br><ul><li>to have common behavior in derived classes</li><li>to explore a hypothetical class</li><li>to prevent unwanted method implementation</li><li>to reserve memory for an unspecified class type</li></ul>,to have common behavior in derived classes
<b> When does static binding happen?</b><br><ul><li>only when you export</li><li>both at compile time and runtime</li><li>at compile time</li><li>at runtime</li></ul>,at compile time
<b> What is the best reason to use a design pattern?</b><br><ul><li>It will result in code that is more extensible and maintainable</li><li>It will result in a more compact product.</li><li>It will speed initial development.</li><li>It will allow you to add that design pattern to your resume.</li></ul>,It will result in code that is more extensible and maintainable
<b> What is encapsulation?</b><br><ul><li>defining classes by focusing on what is important for a purpose</li><li>hiding the data and implementation details within a class</li><li>making all methods private</li><li>using words to define classes</li></ul>,hiding the data and implementation details within a class
<b> What is an IS-A relationship?</b><br><ul><li>It implies encapsulation.</li><li>A superclass object has an IS-A relationship with its subclass.</li><li>It implies a virtual method.</li><li>A subclass object has an IS-A relationship with its superclass or interface</li></ul>,A subclass object has an IS-A relationship with its superclass or interface
<b> You want a method with behavior similar to a virtual method--it is meant to be overridden --expect that it does not have a method body. It just has a method signature. What kind of method should you use?</b><br><ul><li>an abstract method</li><li>a public internal method</li><li>an internal method</li><li>a protected internal method</li></ul>,an abstract method
<b> Which code creates a new object from the Employee class?</b><br><ul><li>Employee currentEmployee = Employee.Create();</li><li>Employee currentEmployee = new Employee();</li><li>Employee currentEmployee;</li><li>Employee currentEmployee = Employee.New();</li></ul>,Employee currentEmployee = new Employee();
<b> Which type of constructor cannot have a return type?</b><br><ul><li>default</li><li>copy</li><li>parameterized</li><li>Constructors do not have a return type</li></ul>,Constructors do not have a return type
<b> </b><br><ul><li>when an object is created from a class using the new keyword</li><li>when an class is defined using the class keyword</li><li>every time an object is referenced</li><li>when an object is created from a class using the create keyword</li></ul>,when an object is created from a class using the new keyword
<b> </b><br><ul><li>when an object is created from a class</li><li>when an class is defined using the class keyword</li><li>every time an object is referenced</li><li>when an object is created from a class using the create keyword</li></ul>,when an object is created from a class
"<b> If a local class is defined in a function, what is true for an object of that class?</b><br><ul><li>The object can be accessed, declared, and used locally in that function.</li><li>The object must be declared inside any other function.</li><li>The object is temporarily accessible outside the function.</li><li>The object can call all the other class members anywhere in the program.</li></ul>","The object can be accessed, declared, and used locally in that function."
<b> Which two blocks are used to handle and check errors?</b><br><ul><li>do and check</li><li>catching and trying</li><li>try and catch</li><li>do and while</li></ul>,try and catch
<b> Why would you implement composition using an id instead of a reference?</b><br><ul><li>It makes it easier to save the entity.</li><li>all of these answers</li><li>It can make the entity retrieval more efficient</li><li>It minimizes coupling.</li></ul>,all of these answers
"<b> Which statement best describes the method of inheritance in OOP?</b><br><ul><li>Inheritance describes the ability to create new classes based on an existing class.</li><li>Inheritance means that a group of related properties, methods, and other members are treated as a single unit or object.</li><li>Inheritance forces a class to have a single responsibility from only one parent.</li><li>Inheritance means that you will never have multiple classes that can be used interchangeably, even though each class implements the same properties or methods in different ways.</li></ul>",Inheritance describes the ability to create new classes based on an existing class.
"<b> Which type of inheritance ,when done continuously, is similar to a tree structure?</b><br><ul><li>multilevel</li><li>hierarchical and multiple</li><li>hierarchical</li><li>multiple</li></ul>",hierarchical
<b> Which statement is true?</b><br><ul><li>A default parameter's constructor is not equivalent to the default constructor</li><li>A default constructor is inherited from a parent class</li><li>A default constructor can be called explicitly</li><li>A default constructor cannot be defined by the coder</li></ul>,A default parameter's constructor is not equivalent to the default constructor
<b> Which of the following is NOT an advantage of using getters and setters?</b><br><ul><li>Getters and setters can speed up compilation.</li><li>Getters and setters provide encapsulation of behavior.</li><li>Getters and setters provide a debugging point for when a property changes at runtime.</li><li>Getters and setters permit different access levels.</li></ul>,Getters and setters can speed up compilation.
"<b> In context of OOP, what is association?</b><br><ul><li>Association is a relationship where all objects have their own life cycle and there is no owner.</li><li>Association is the process where model elements cooperate to provide higher-level behavior.</li><li>Association is whole/part relationship where one object is composed of one or more other objects, each of which is considered a part of the whole.</li><li>Association is where all objects have their own life cycle, but there is ownerhip, and child objects can not belong to another parent object.</li></ul>",Association is a relationship where all objects have their own life cycle and there is no owner.
<b> How are user stories different from use cases?</b><br><ul><li>User Stories are shorter and less detailed.</li><li>User stories are more accurate.</li><li>User stories are more detailed and structured.</li><li>User storised are more anecdotal and personal.</li></ul>,User Stories are shorter and less detailed.
<b> Which type of inheritance must be used so that the resultant is hybrid?</b><br><ul><li>multiple</li><li>any type of inheritance</li><li>multilevel</li><li>hierarchical_NOTE_: Hybrid inheritance is a composition of multiple and hierarchical inheritances<br></li></ul>,<ul><li>multiple</li><li>hierarchical_NOTE_: Hybrid inheritance is a composition of multiple and hierarchical inheritances<br></li></ul>
"<b> A language that does not support polymorphism but supports classes is considered what?</b><br><ul><li>an object-based language</li><li>a class-based language</li><li>a procedure-oriented language</li><li>if classes are supported, polymorphism will be supported</li></ul>",an object-based language
<b> Two classes combine private data members and provide public member functions to access and manipulate those data members. Where is abstraction used?</b><br><ul><li>Abstraction is using a private access specifier for the data members.</li><li>Abstraction is using public member functions to access and manipulate the data members.</li><li>Abstraction is using the class concept with both data members and member functions.</li><li>There is insufficient information to decide where abstraction is being used.</li></ul>,Abstraction is using public member functions to access and manipulate the data members.
"<b> What are the five Creational Design patterns by the Gang of Four ?</b><br><ul><li>Observer, State, Strategy, Template Method, and Visitor.</li><li>Composite, Visitor, State, Prototype, and Singleton.</li><li>Composite, Builder, Factory Method, Prototype, and Singleton.</li><li>Abstract Factory, Builder, Factory Method, Prototype, and Singleton.</li></ul>","Abstract Factory, Builder, Factory Method, Prototype, and Singleton."
"<b> In multilevel inheritance, one class inherits how many classes?</b><br><ul><li>one class only</li><li>two classes</li><li>as many classes as required</li><li>at least two classes</li></ul>",one class only
"<b> if an object is passed by reference, the changes made in the function are reflected \_.</b><br><ul><li>to the main object of the caller function, too</li><li>on the caller function object and also the called function object</li><li>on the copy of the object that is made during the pass</li><li>only in the local scope of the called function</li></ul>","to the main object of the caller function, too"
<b> What is a method?</b><br><ul><li>a set of instructions designed to perform a frequently used operation within a program and return no values</li><li>the exact same thing as a function and subroutine</li><li>a set of variables that can change over time</li><li>a procedure associated with data and behaviour</li></ul>,the exact same thing as a function and subroutine
"<b> A mobile phone is made up of components such as a motherboard, camera, and sensors. The motherboard represents all the functions of a phone, the display shows the display only, and the phone is represented as a whole. Which of the following has the highest level of abstraction?</b><br><ul><li>camera</li><li>display</li><li>motherboard</li><li>mobile phone</li></ul>",mobile phone
<b> Which class has the highest degree of abstraction in a multilevel inheritance relationship of five levels?</b><br><ul><li>the class at the third level</li><li>the class at the first level</li><li>All have the same degree of abstraction.</li><li>the class at the second level</li></ul>,the class at the first level
<b> Which is NOT one of the basic types of inheritance?</b><br><ul><li>multilevel inheritance</li><li>double inheritance</li><li>single inheritance</li><li>hierarchical inheritance</li></ul>,double inheritance
<b> Why is code duplication so insidious?</b><br><ul><li>The duplication uses unnecessary space.</li><li>One has to maintain all the duplicates.</li><li>Duplication can cause intellectual property concerns.</li><li>Duplication is easy to hide.</li></ul>,One has to maintain all the duplicates.
<b> When and how often is a static constructor called?</b><br><ul><li>It is called initially when an object is created and called with every new object instance.</li><li>It is called when an object is destroyed and only one time.</li><li>It is called initially when an object is created and only one time.</li><li>It is created at time when the object is discarded.</li></ul>,It is called initially when an object is created and only one time.
"<b> What does the code shown below demonstrate, and why?</b><br><br>```cpp<br>static void Multiply(int num1, int num2) {};<br>static void Multiply(double num1, double num2, double num3) {};<br>static void Multiply(float num1, float num2) {};<br>```<br><br><ul><li>polymorphism, because each method can perform different task</li><li>method overriding, because it display the same method name, different or same parameters, and same return type</li><li>method overloading, because it allows the creation of several methods with the same name, wich differ by the type of input via parameter</li><li>method overriding, because it display the same method name, different parameters, and same return type</li></ul>","method overloading, because it allows the creation of several methods with the same name, wich differ by the type of input via parameter"
<b> What is the purpose of static constructor?</b><br><ul><li>to initialize all the members with static value</li><li>to delete the static members when not required</li><li>to initialize the static members of class</li><li>to clear all the static members' initialized values</li></ul>,to initialize all the members with static value
<b> What are CRC Cards?</b><br><ul><li>Code Responsibility Collection cards are a brainstorming tool used in the design of procedural software</li><li>Class Responsibility collaboration cards are a brainstorming tool used in the design of oop software</li><li>Code Responsibility Correction cards are tools used for debugging</li><li>Code Responsibility Correction cards are tools for modeling</li></ul>,Class Responsibility collaboration cards are a brainstorming tool used in the design of oop software<br><br>[reference link](https://en.wikipedia.org/wiki/Class-responsibility-collaboration_card)<br>
"<b> </b><br><ul><li>if one element of an aggregation is dereferenced, all its elements are eligible for garbage collection</li><li>if a composition dies, the contents die</li><li>the contents of a composition are all siblings</li><li>an aggregation contains only abstract classes</li></ul>","if a composition dies, the contents die"
"<b> </b><br><ul><li>if one element of an aggregation is dereferenced, all its elements are eligible for garbage collection</li><li>if a composition dies, the contents die</li><li>the contents of a composition are all siblings</li><li>an aggregation contains only abstract classes</li></ul>","if a composition dies, the contents die"
<b> What is the result of using more abstraction?</b><br><ul><li>it can increase code vulnerability</li><li>it can make code unsafe</li><li>it can limit code readability</li><li>it can be safer for coding</li></ul>,it can limit code readability
<b> Which is false for a member function of a class?</b><br><ul><li>Member functions can be defined only inside or outside the class body.</li><li>Member functions can be made to be friends of another class.</li><li>Member functions do not need to be declared inside the class definition.</li><li>All member functions need to be defined.</li></ul>,Member functions do not need to be declared inside the class definition.
