"<b> What is the value of s?</b><br><br>```<br>NSMutableString *s = [NSMutableString stringWithString: @""123""];<br>[s appendString: @""456""];<br>```<br><br><ul><li>123456</li><li>123</li><li>123</li><li>456</li><li>This code contains an error.</li></ul>",123456
<b> What's the value of i after these statements?</b><br><br>```<br>NSString *str = nil;<br>NSInteger i = str.integerValue;<br>```<br><br><ul><li>nil</li><li>0 (technically `nil` == 0 but i will have a literal value of `0` and not the `void*` value of `nil`)</li><li>-1</li><li>This code crashes.</li></ul>,0 (technically `nil` == 0 but i will have a literal value of `0` and not the `void*` value of `nil`)
"<b> What value is in str after this line in executed?</b><br><br>`NSString str = ""test"" + "" "" + ""more"";`<br><br><ul><li>This code contains an error</li><li>test</li><li>nil</li><li>test more</li></ul>",This code contains an error
"<b> What does this code print?</b><br><br>```<br>NSPredicate *p2 = [NSPredicate predicateWithBlock:^BOOL(NSString*  evaluatedObject, NSDictionary<NSString *,id> * _Nullable bindings) {<br>return evaluatedObject.intValue % 2 == 0;<br>}];<br>NSArray *vals = @[@""1"", @""2"", @""3""];<br>NSArray *n2 = [vals filteredArrayUsingPredicate:p2];<br>NSLog(@""%@"", n2.firstObject);<br>```<br><br><ul><li>2</li><li>1,2,3</li><li>1,2</li><li>Nothing, since this code contains an error.</li></ul>",2
<b> Property defaults include \_?</b><br><ul><li>atomic/strong</li><li>atomic/weak</li><li>nonatomic/weak</li><li>nonatomic/strong</li></ul>,atomic/strong
<b> What is the key difference between NSDictionary and NSMutableDictionary?</b><br><ul><li>NSMutableDictionary's values can change</li><li>NSMutableDictionary has not initializers.</li><li>NSDictionary can't be copied.</li><li>NSDictionary's values can change.</li></ul>,NSMutableDictionary's values can change
<b> What is foo?</b><br><br>`-(float)foo;`<br><br><ul><li>A function with a return type of float.</li><li>This code contains an error.</li><li>A variable declaration of type float.</li><li>A property of type float.</li></ul>,A function with a return type of float.
"<b> What can you glean from this line?</b><br><br>`#import ""NSString+NameHelper.h""`<br><br><ul><li>NameHelper is a category of NSString.</li><li>NameHelper is a subclass of NSString.</li><li>NSString implements the NameHelper protocol.</li><li>NSString has a helper class.</li></ul>",NameHelper is a category of NSString.
<b> What's wrong with this code?</b><br><br>`float x = 5.;`<br><br><ul><li>Nothing is wrong with this code.</li><li>Declarations do not need semicolons.</li><li>x=5 is an invalid float.</li><li>Variables can't be declared and initialized in the same state.</li></ul>,Nothing is wrong with this code.
<b> How many times with this loop be executed?</b><br><br>```<br>for (int x=0; x<100; x++) {<br>x = x + 1;<br>}<br>```<br><br><ul><li>50</li><li>99</li><li>100</li><li>This code contains an error.</li></ul>,50
"<b> What is this code an example of?</b><br><br>`[self addObserver: self forKeyPath: @""val"" options:0 context: nil];`<br><br><ul><li>Key-Value Observing</li><li>Class Value Observing</li><li>Key-Data Observing</li><li>KeyPath Observing</li></ul>",Key-Value Observing
<b> What does ARC stand for?</b><br><ul><li>Automatic Reference Counting</li><li>Automatic Retain Checking</li><li>Async Retain Cycles</li><li>Automatic Release Code</li></ul>,Automatic Reference Counting
"<b> What is printed for this code?</b><br><br>```<br>int val = 0;<br>val = 1.5;<br>printf(""%d"", val);<br>```<br><br><ul><li>1</li><li>2</li><li>0</li><li>This code contains an error.</li></ul>",1
<b> What best describes class inheritance in Objective-C?</b><br><ul><li>single inheritance but multiple protocol implementation</li><li>Objective-C doesn't support inheritance</li><li>dual class inheritance</li><li>unlimited class inheritance and protocol adherence</li></ul>,single inheritance but multiple protocol implementation
"<b> How many keys does this NSDictionary have after this code is executed?</b><br><br>`NSDictionary *dict = [[NSDictionary alloc] initWithObjectsAndKeys: @""b"", @""e"", @""a"", @""r"", nil];`<br><br><ul><li>2</li><li>4</li><li>5</li><li>This code contains an error.</li></ul>",2
"<b> What is wrong with this code?</b><br><br>```<br>NSMutableDictionary *dict1 = [NSMutableDictionary dictionaryWithCapacity:5];<br>[dict1 setValue:@""key"" forKey:@""value""];<br>```<br><br><ul><li>The key and value items are mixed</li><li>Nothing is wrong with it</li><li>You can't set the capacity of a dictionary</li><li>NSMutableDictionary doesn't have a :setValue:forKey function.</li></ul>",Nothing is wrong with it
"<b> What is printed from this code?</b><br><br>```<br>NSData *data = [@""print"" dataUsingEncoding:NSASCIIStringEncoding];<br>NSLog(@""%@"", [[NSString alloc] initWithData:data encoding:NSASCIIStringEncoding]);<br>```<br><br><ul><li>print</li><li>This code is invalid</li><li>Nothing is printed from this code.</li><li>nil</li></ul>",print
<b> What is different about this function?</b><br><br>`+(void)doSomething;`<br><br><ul><li>It is static</li><li>It is abstract.</li><li>It is inline.</li><li>This code contains an error.</li></ul>,It is static
<b> Structs can have \_?</b><br><ul><li>functions</li><li>initializers</li><li>fields</li><li>all of these answers</li></ul>,fields
