<b> How does a matrix differ from a data frame?</b><br><ul><li>A matrix may contain numeric values only.</li><li>A matrix must not be singular.</li><li>A data frame may contain variables that have different modes.</li><li>A data frame may contain variables of different lengths.</li></ul>,A data frame may contain variables that have different modes.
"<b> What value does this statement return?</b><br><br>`unclass(as.Date(""1971-01-01""))`<br><br><ul><li>1</li><li>365</li><li>4</li><li>12</li></ul>",365
<b> What do you use to take an object such as a data frame out of the workspace?</b><br><ul><li>remove()</li><li>erase()</li><li>detach()</li><li>delete()</li></ul>,remove()
"<b> Review the following code. What is the result of line </b><br><br>```<br>xvect<-c(1,2,3)<br>xvect[2] <- ""2""<br>xvect<br>```<br><br><ul><li>[1] 1 2 3</li><li>[1] ""1"" 2 ""3""</li><li>[1] ""1"" ""2"" ""3""</li><li>[1] 7 9</li></ul>","[1] ""1"" ""2"" ""3"""
<b> The variable height is a numeric vector in the code below. Which statement returns the value </b><br><ul><li>`height(length(height))`</li><li>`height[length(height)]`</li><li>`height[length[height]]`</li><li>`height(5)`</li></ul>,`height[length(height)]`
"<b> In the image below, the data frame is named rates. The statement `sd(rates[, </b><br><br>![Image](https://i.ibb.co/jvPPSRk/Captura-de-pantalla-2020-07-14-a-las-20-58-09.png?raw=png)<br><br><ul><li>sample with replacement</li><li>population</li><li>trimmed sample</li><li>sample <-- not sure</li></ul>",sample <-- not sure
<b> Which choice does R regard as an acceptable name for a variable?</b><br><ul><li>`Var_A!`</li><li>`\_VarA`</li><li>`.2Var_A`</li><li>`Var2_A`</li></ul>,`Var2_A`
"<b> What is the principal difference between an array and a matrix?</b><br><ul><li>A matrix has two dimensions, while an array can have three or more dimensions.</li><li>An array is a subtype of the data frame, while a matrix is a separate type entirely.</li><li>A matrix can have columns of different lengths, but an array's columns must all be the same length.</li><li>A matrix may contain numeric values only, while an array can mix different types of values.</li></ul>","A matrix has two dimensions, while an array can have three or more dimensions."
<b> Which is not a property of lists and vectors?</b><br><ul><li>type</li><li>length</li><li>attributes</li><li>scalar</li></ul>,scalar
"<b> In the image below, the data frame on lines </b><br><br>![Image](https://i.ibb.co/8DL1HCV/Captura-de-pantalla-2020-07-14-a-las-18-33-34.png?raw=png)<br><br><ul><li>StDf[1:2,-3]</li><li>StDf[1:2,1]</li><li>StDf[1:2,]</li><li>StDf[1,2,]</li></ul>","StDf[1:2,1]"
"<b> Which function displays the first five rows of the data frame named pizza?</b><br><ul><li>BOF(pizza, 5)</li><li>first(pizza, 5)</li><li>top(pizza, 5)</li><li>head(pizza, 5)</li></ul>","head(pizza, 5)"
"<b> You accidentally display a large data frame on the R console, losing all the statements you entered during the current session. What is the best way to get the prior </b><br><ul><li>console(-25)</li><li>console(reverse=TRUE)</li><li>history()</li><li>history(max.show = 25)</li></ul>",history(max.show = 25)
"<b> d.pizza is a data frame. It's a column named temperature contains only numbers. If you extract temperature using the [] accessors, its class defaults to numeric. How can you access temperature so that it retains the class of data.frame?</b><br><br>```<br>> class( d.pizza[ , ""temperature"" ] )<br>> ""numeric""<br>```<br><br><ul><li>`class( d.pizza( , ""temperature"" ) )`</li><li>`class( d.pizza[ , ""temperature"" ] )`</li><li>`class( d.pizza$temperature )`</li><li>`class( d.pizza[ , ""temperature"", drop=F ] )`</li></ul>","`class( d.pizza[ , ""temperature"", drop=F ] )`"
"<b> What does c contain?</b><br><br>```<br>a <- c(3,3,6.5,8)<br>b <- c(7,2,5.5,10)<br>c <- a < b<br>```<br><br><ul><li>[1] NaN</li><li>[1] -4</li><li>[1] 4 -1 -1 2</li><li>[1] TRUE FALSE FALSE TRUE</li></ul>",[1] TRUE FALSE FALSE TRUE
"<b> Review the statements below. Does the use of the dim function change the class of y, and if so what is y's new class?</b><br><br>```<br>> y <- 1:9<br>> dim(y) <- c(3,3)<br>```<br><br><ul><li>No, y's new class is ""array"".</li><li>Yes, y's new class is ""matrix"".</li><li>No, y's new class is ""vector"".</li><li>Yes, y's new class is ""integer"".</li></ul>","Yes, y's new class is ""matrix""."
"<b> What is `mydf$y` in this code?</b><br><br>`mydf <- data.frame(x=1:3, y=c(""a"",""b"",""c""), stringAsFactors=FALSE)`<br><br><ul><li>list</li><li>string</li><li>factor</li><li>character vector</li></ul>",character vector
"<b> How does a vector differ from a list?</b><br><ul><li>Vectors are used only for numeric data, while lists are useful for both numeric and string data.</li><li>Vectors and lists are the same thing and can be used interchangeably.</li><li>A vector contains items of a single data type, while a list can contain items of different data types.</li><li>Vectors are like arrays, while lists are like data frames.</li></ul>","A vector contains items of a single data type, while a list can contain items of different data types."
<b> What statement shows the objects on your workspace?</b><br><ul><li>list.objects()</li><li>print.objects()</li><li>getws()</li><li>ls()</li></ul>,ls()
<b> What function joins two or more column vectors to form a data frame?</b><br><ul><li>rbind()</li><li>cbind()</li><li>bind()</li><li>coerce()</li></ul>,cbind()
"<b> Review line </b><br><br>```<br>1 mylist <- list(1,2,""C"",4,5)<br>2 unlist(mylist)<br>```<br><br><ul><li>[1] 1 2 4 5</li><li>""C""</li><li>[1] ""1"" ""2"" ""C"" ""4"" ""5""</li><li>[1] 1 2 C 4 5</li></ul>","[1] ""1"" ""2"" ""C"" ""4"" ""5"""
<b> What is the value of y in this code?</b><br><br>```<br>x <- NA<br>y <- x/1<br>```<br><br><ul><li>Inf</li><li>Null</li><li>NaN</li><li>NA</li></ul>,NA
"<b> Two variable in the mydata data frame are named Var</b><br><ul><li>`cor.test(Var1 ~ Var2)`</li><li>`cor.test(mydata$(Var1,Var2))`</li><li>`cor.test(mydata$Var1,mydata$Var2)`</li><li>`cor.test(Var1,Var2, mydata)`</li></ul>","`cor.test(mydata$Var1,mydata$Var2)`"
"<b> A data frame named d.pizza is part of the DescTools package. A statement is missing from the following R code and an error is therefore likely to occur. Which statement is missing?</b><br><br>```<br>library(DescTools)<br>deliver <- aggregate(count,by=list(area,driver), FUN=mean)<br>print(deliver)<br>```<br><br><ul><li>`attach(d.pizza)`</li><li>`summarize(deliver)`</li><li>`mean <- rbind(d.pizza,count)`</li><li>`deliver[!complete.cases(deliver),]`</li></ul>",`attach(d.pizza)`
<b> How to name rows and columns in DataFrames and Matrices F in R?</b><br><ul><li>data frame: names() and rownames() matrix: colnames() and row.names()</li><li>data frame: names() and row.names() matrix: dimnames() (not sure)</li><li>data frame: colnames() and row.names() matrix: names() and rownames()</li><li>data frame: colnames() and rownames() matrix: names() and row.names()</li></ul>,data frame: names() and row.names() matrix: dimnames() (not sure)
"<b> Which set of two statements-followed by the cbind() function-results in a data frame named vbound?</b><br><br>- [ ]<br>```r<br>v1<-list(1,2,3)<br>v2<-list(c(4,5,6))<br>vbound<-cbind(v1,v2)<br>```<br>- [ ]<br>```r<br>v1<-c(1,2,3)<br>v2<-list(4,5,6))<br>vbound<-cbind(v1,v2)<br>```<br>- [ ]<br>```r<br>v1<-c(1,2,3)<br>v2<-c(4,5,6))<br>vbound<-cbind(v1,v2)<br>```<br><br><ul></ul>",No answer found
"<b> ournames is a character vector. What values does the statement below return to Cpeople?</b><br><br>`Cpeople <- ournames %in% grep(""^C"", ournames, value=TRUE)`<br><br><ul><li>records where the first character is a C</li><li>any record with a value containing a C</li><li>TRUE or FALSE, depending on whether any character in ournames is C</li><li>TRUE and FALSE values, depending on whether the first character in an ournames record is C</li></ul>","TRUE and FALSE values, depending on whether the first character in an ournames record is C"
"<b> What is the value of names(v[</b><br><br>```r<br>v <- 1:3<br>names(v) <- c(""a"", ""b"", ""c"")<br>v[4] <- 4<br>```<br><br><ul><li>""""</li><li>d</li><li>NULL</li><li>NA</li></ul>",""""""
