<b> What is it called when a tag with a leader has a drag control where the leader touches the element?</b><br><ul><li>Attached End</li><li>Preferences > Reviewing</li><li>Preferences > Reading</li><li>Preferences > Commenting</li></ul>,<ul></ul>
<b> A designer would like to create a new parameter in a schedule that contains a mathematical expression combining two existing fields. What is the process?</b><br><ul><li>`Edit Fields > Combined Parameter`</li><li>`Sorting/Grouping > Grand Totals`</li><li>`Formatting > Field Formatting > Calculate Totals`</li><li>`Edit Fields > Calculated Parameter`</li></ul>,<ul></ul>
<b> Where can you find a drop-down list of available named reference planes?</b><br><ul><li>in the **Properties** palette</li><li>in the Project Browser</li><li>on the Options Bar</li><li>in the **Set Work Plane** dialog box</li></ul>,<ul></ul>
<b> Some Revit families require a host element to be placed. Which choice is a hosted element?</b><br><ul><li>door</li><li>floor</li><li>furniture</li><li>wall</li></ul>,<ul></ul>
<b> In what type of view are you _unable_ to create a new level?</b><br><ul><li>section view</li><li>elevation view</li><li>3D view</li><li>plan view</li></ul>,<ul></ul>
"<b> In a model whose units are configured in feet, what would you type to get a liner object to be </b><br><ul><li>100'</li><li>100/25.4</li><li>100mm</li><li>100m</li></ul>",<ul></ul>
"<b> A colleague shared an Excel file with you, and you want to display a worksheet that is hidden in it. How can you do that?</b><br><ul><li>On the **View** tab, click **New Window**.</li><li>On the **Review** tab, click **Unhide Sheet**.</li><li>On the **Home** tab, click **Unhide**.</li><li>Right-click any worksheet tab and select **Unhide**.</li></ul>",Right-click any worksheet tab and select **Unhide**.
"<b> When sketching a roof by footprint, which option allows an edge of the sketch to be sloped in the final roof?</b><br><ul><li>Slope arrow</li><li>Extend to wall core</li><li>Defines slope</li><li>Overhang</li></ul>",<ul></ul>
"<b> When importing a CAD drawing into a drafting view, how do you remove layers that you do not need?</b><br><ul><li>Select the imported CAD drawing, click the Query tool, and then in the dialog that appears, click **Delete**.</li><li>Select the imported CAD drawing and, on the **Properties** palette, click **Edit Type** > **Delete Layers**.</li><li>Select the improted CAD drawing, tab to select elements you don't want, and then press Delete.</li><li>Select the imported CAD drawing, right-click, and select **Delete Layers**.</li></ul>",<ul></ul>
"<b> When working with design option, what _cannot_ be placed in the option sets?</b><br><ul><li>hosted components</li><li>in-place models</li><li>detail items</li><li>system families</li></ul>",hosted components
"<b> In a legend view, where would you find the drop-down list of the families - such as doors, windows, and other components - you want to use as legend components?</b><br><ul><li>contextual **Modify** tab on the ribbon</li><li>Options Bar</li><li>right-click menu</li><li>Type Selector</li></ul>",Options Bar
"<b> While working in Revit, you often need additional lines to help define locations for elements in a mode. You can hide these lines in the appropriate views later, when necessary. What are these extra lines called?</b><br><ul><li>detail lines</li><li>construction lines</li><li>reference planes</li><li>reference lines</li></ul>",reference planes
<b> What items stay the same size no matter the scale of the view?</b><br><ul><li>line weights</li><li>annotative components with text</li><li>model surface patterns</li><li>hosted components</li></ul>,<ul></ul>
