"<b> When rendering a partial in a view, how would you pass local variables for rendering?</b><br><ul><li>`<%= render partial: ""nav"", selected: ""about""}%>`</li><li>`<%= render partial: ""nav"", local_variables: {selected: ""about""} %>`</li><li>`<%= render partial: ""nav"", locals: {selected: ""about""}`</li></ul>","`<%= render partial: ""nav"", locals: {selected: ""about""}`"
"<b> Within a Rails controller, which code will prevent the parent controller's before_action `:get_feature` from running?</b><br><ul><li>`skip_before_action :get_feature`</li><li>`skip :get_feature, except: []`</li><li>`prevent_action :get_feature`</li><li>`:redis_cache_store`</li></ul>",`skip_before_action :get_feature`
"<b> Which statement correctly describes a difference between the form helper methods `form_tag` and `form_for`?</b><br><ul><li>The `form_tag` method is for basic forms, while the `form_for` method is for multipart forms that include file uploads.</li><li>The `form_tag` method is for HTTP requests, while the `form_for` method is for AJAX requests.</li><li>The `form_tag` method typically expects a URL as its first argument, while the `form_for` method typically expects a model object.</li><li>The `form_tag` method is evaluated at runtime, while the `form_for` method is precompiled and cached.</li></ul>","The `form_tag` method typically expects a URL as its first argument, while the `form_for` method typically expects a model object."
<b> What is `before_action` (formerly known as `before_filter`)?</b><br><ul><li>A trigger that is executed before an alteration of an object's state</li><li>A method that is executed before an ActiveRecord model is saved</li><li>A callback that fires before an event is handled</li><li>A method in a controller that is executed before the controller action method</li></ul>,A method in a controller that is executed before the controller action method
<b> Which module can you use to encapsulate a cohesive chunk of functionality into a mixin?</b><br><ul><li>`ActiveSupport::Concern`</li><li>`RailsHelper.CommonClass`</li><li>`ActiveJob::Mixin`</li><li>`ActiveSupport::Module`</li></ul>,`ActiveSupport::Concern`
"<b> In Rails, which code would you use to define a route that handles both the `PUT` and `PATCH` `REST HTTP` verbs?</b><br><ul><li>`put :items, include: patch`</li><li>`put 'items', to: 'items#update'`</li><li>`match 'items', to 'items#update', via: [:put, :patch]`</li><li>`match :items, using: put && patch`</li></ul>","`match 'items', to 'items#update', via: [:put, :patch]`"
"<b> Which choice includes standard REST HTTP verbs?</b><br><ul><li>GET, POST, PATCH, DELETE</li><li>REDIRECT, RENDER, SESSION, COOKIE</li><li>INDEX, SHOW, NEW, CREATE, EDIT, UPDATE, DESTROY</li><li>CREATE, READ, UPDATE, DELETE</li></ul>","GET, POST, PATCH, DELETE"
"<b> Which ActiveRecord query prevents SQL injection?</b><br><ul><li>`Product.where(""name = #{@keyword}"")`</li><li>`Product.where(""name = "" << @keyword}`</li><li>`Product.where(""name = ?"", @keyword`</li><li>`Product.where(""name = "" + h(@keyword)`</li></ul>","`Product.where(""name = ?"", @keyword`"
"<b> Given this code, which statement about the database table ""documents"" could be expected to be _true_?</b><br><br>```rb<br>class Document < ActiveRecord::Base<br>belongs_to :documentable, polymorphic: true<br>end<br>class Product < ActiveRecord::Base<br>has_many :documents, as: :documentable<br>end<br>class Service < ActiveRecord::Base<br>has_many :documents, as: :documentable<br>end<br>```<br><br><ul><li>It would include a column for `:type`.</li><li>It would include columns for `:documentable_id` and `:documentable_type`.</li><li>It would include columns for `:documentable` and `:type`.</li><li>It would include a column for `:polymorphic_type`.</li></ul>",It would include columns for `:documentable_id` and `:documentable_type`.
"<b> Are instance variables set within a controller method accessible within a view?</b><br><ul><li>Yes, any instance variables that are set in an action method on a controller can be accessed and displayed in a view.</li><li>Yes, instance variables set within an action method are accessible within a view, but only when render is explicitly called inside the action method.</li><li>No, instance variables in a controller are private and are not accessible.</li><li>No, instance variables can never be set in a controller action method.</li></ul>","Yes, any instance variables that are set in an action method on a controller can be accessed and displayed in a view."
"<b> When a validation of a field in a Rails model fails, where are the messages for validation errors stored?</b><br><ul><li>`my_model.errors[:field]`</li><li>`my_model.get_errors_for(:field)`</li><li>`my_model.field.error`</li><li>`my_model.all_errors.select(:field)`</li></ul>",`my_model.errors[:field]`
"<b> If a database table of users contains the following rows, and `id` is the primary key, which statement would return only an object whose `last_name` is ""Cordero""?</b><br><br>```<br>-------------------------------<br>| id | first_name | last_name |<br>|----|------------|-----------|<br>| 1  | Alice      | Anderson  |<br>| 2  | Bob        | Buckner   |<br>| 3  | Carrie     | Cordero   |<br>| 4  | Devon      | Dupre     |<br>| 5  | Carrie     | Eastman   |<br>-------------------------------<br>```<br><br><ul><li>`User.where(first_name: ""Carrie"")`</li><li>`User.not.where(id: [1, 2, 4, 5])`</li><li>`User.find_by(first_name: ""Cordero"")`</li><li>`User.find(3)`</li></ul>",`User.find(3)`
"<b> How would you generate a drop-down menu that allows the user to select from a collection of product names?</b><br><ul><li>`<%= select_tag(@products) %>`</li><li>`<%= collection_select(@products) %>`</li><li>`<select name=""product_id""> <%= @products.each do |product| %> <option value=""<%= product.id %>""/> <% end %></select>`</li><li>`<%= collection_select(:product, :product_id, Product.all, :id, :name) %>`</li></ul>","`<%= collection_select(:product, :product_id, Product.all, :id, :name) %>`"
"<b> For a Rails validator, how would you define an error message for the model attribute `address` with the message ""This address is invalid""?</b><br><ul><li>`model.errors = This address is invalid`</li><li>`errors(model, :address) << ""This address is invalid""`</li><li>`display_error_for(model, :address, ""This address is invalid"")`</li><li>`model.errors[:address] << ""This address is invalid""`</li></ul>","`model.errors[:address] << ""This address is invalid""`<br><br>[Custom Validator](https://guides.rubyonrails.org/v5.2/active_record_validations.html#custom-validators)<br>"
"<b> Given the URL helper `product_path(@product)`, which statement would be expected to be _false_?</b><br><ul><li>If sent using the PATCH HTTP method, the URL could be used to update a product in the database.</li><li>If sent using the POST HTTP method, the URL would create a new product in the database.</li><li>If sent using the GET HTTP method, the URL would execute the show action in ProductsController.</li><li>If sent using the DELETE HTTP method, the URL would call the destroy action by default.</li></ul>","If sent using the POST HTTP method, the URL would create a new product in the database."
"<b> Given this code, which choice would be expected to be a _true_ statement if the user requests the index action?</b><br><br>```rb<br>class DocumentsController < ApplicationController<br>before_action :require_login<br>def index<br>@documents = Document.visible.sorted<br>end<br>end<br>```<br><br><ul><li>The user's documents will be loaded.</li><li>The index action will run normally because `:index` is not listed as an argument to `before_action`.</li><li>The `require_login` method will automatically log in the user before running the index action.</li><li>The index action will not be run if the `require_login` method calls render or `redirect_to`.</li></ul>",The index action will not be run if the `require_login` method calls render or `redirect_to`.
"<b> In Rails, how would you cache a partial template that is rendered?</b><br><ul><li>`render partial: ‘shared/menu’, cached: true`</li><li>`render_with_cache partial: ‘shared/menu’`</li><li>`render partial: ‘shared/menu’`</li><li>`render partial: ‘shared/menu’, cached_with_variables: {}`</li></ul>","`render partial: ‘shared/menu’, cached: true`"
"<b> What is the reason for using Concerns in Rails?</b><br><ul><li>Concerns allow modularity and code reuse in models, controllers, and other classes.</li><li>Concerns are used to separate class methods from models.</li><li>Concerns are used to increase security of Rails applications.</li><li>Concerns are used to refactor Rails views.</li></ul>","Concerns allow modularity and code reuse in models, controllers, and other classes."
"<b> When using an ActiveRecord model, which method will create the model instance in memory and save it to the database?</b><br><ul><li>`build`</li><li>`new`</li><li>`create`</li><li>`save`</li></ul>",`create`<br><br>[Reference](https://medium.com/@de.usmanusa/difference-between-create-new-and-save-methods-in-activerecord-ea135085a08c)<br>
<b> You are using an existing database that has a table named `coffee_orders`. What would the ActiveRecord model be named in order to use that table?</b><br><ul><li>`CoffeeOrders`</li><li>`Coffee_Orders`</li><li>`Coffee_Order`</li><li>`CoffeeOrder`</li></ul>,`CoffeeOrder`<br><br>[Reference](https://guides.rubyonrails.org/active_record_basics.html#naming-conventions)<br>
"<b> In ActiveRecord, what is the difference between the `has_many` and `has_many :through` associations?</b><br><ul><li>The `has_many: through` association is the one-to-many equivalent to the `belongs_to` one-to-one association.</li><li>Both associations are identical, and `has_many: through` is maintained only for legacy purposes.</li><li>The `has_many` association is a one-to-many association, while `has_many: through` is a one-to-one association that matches through a third model.</li><li>Both are one-to-many associations but with `has_many :through`, the declaring model can associate through a third model.</li></ul>","Both are one-to-many associations but with `has_many :through`, the declaring model can associate through a third model."
<b> How do you add Ruby code inside Rails views and have its result outputted in the HTML file?</b><br><ul><li>Create an embedded Ruby file (.html.erb) and surround the Ruby code with `<% %>`.</li><li>Insert Ruby code inside standard HTML files and surround it with `<% %>`. The web server will handle the rest.</li><li>Create an embedded Ruby file (.html.erb) and surround the Ruby code with `<%= %>`.</li><li>Put the code in an .rb file and include it in a `<link>` tag of an HTML file.</li></ul>,Create an embedded Ruby file (.html.erb) and surround the Ruby code with `<%= %>`.<br><br>[Reference](https://guides.rubyonrails.org/action_view_overview.html#erb)<br>
"<b> How would you render a view using a different layout in an ERB HTML view?</b><br><ul><li>`<% render 'view_mobile' %>`</li><li>`<% render 'view', use_layout: 'mobile' %>`</li><li>`<% render 'view', layout: 'mobile' %>`</li><li>`<% render_with_layout 'view', 'mobile' %>`</li></ul>","`<% render 'view', layout: 'mobile' %>`<br><br>[Reference](https://stackoverflow.com/a/19277971)<br>"
"<b> Given this controller code, which choice describes the expected behavior if parameters are submitted to the update action that includes values for the product's name, style, color, and price?</b><br><br>```rb<br>class ProductController < ActionController::Base<br>def update<br>@product = Product.find(params[:id])<br>if @product.update_attributes(product_params)<br>redirect_to(product_path(@product))<br>else<br>render('edit')<br>end<br>end<br>private<br>def product_params<br>params.require(:product).permit(:name, :style, :color)<br>end<br>end<br>```<br><br><ul><li>The product will not be updated and the edit template will be rendered.</li><li>The product will not be updated and the controller will raise an ActiveModel::ForbiddenAttributes exception.</li><li>The product will be updated with the values for name, style, and color, but the value for price will be ignored.</li><li>The product will be updated with the values for name, style, color, and price.</li></ul>",The product will not be updated and the controller will raise an ActiveModel::ForbiddenAttributes exception.
"<b> A Rails project has ActiveRecord classes defined for Classroom and Student. If instances of these classes are related so that students are assigned the ID of one particular classroom, which choice shows the correct associations to define?</b><br><ul><li>A```rb<br>class Classroom < ActiveRecord::Base<br>belongs_to :students, class_name: 'Student'<br>end<br>class Student < ActiveRecord::Base<br>belongs_to :classrooms, class_name: 'Classroom'<br>end<br>```<br></li><li>B```rb<br>class Student < ActiveRecord::Base<br>has_many :classrooms, dependent: true<br>end<br>class Classroom < ActiveRecord::Base<br>has_many :students, dependent: false<br>end<br>```<br></li><li>C```rb<br>class Student < ActiveRecord::Base<br>has_many :classrooms<br>end<br>class Classroom < ActiveRecord::Base<br>belongs_to :student<br>end<br>```<br></li><li>D```rb<br>class Classroom < ActiveRecord::Base<br>has_many :students<br>end<br>class Student < ActiveRecord::Base<br>belongs_to :classroom<br>end<br>```<br></li></ul>",D```rb<br>class Classroom < ActiveRecord::Base<br>has_many :students<br>end<br>class Student < ActiveRecord::Base<br>belongs_to :classroom<br>end<br>```<br>
"<b> Where should you put images, JavaScript, and CSS so that they get processed by the asset pipeline?</b><br><ul><li>app/static</li><li>app/images</li><li>app/assets</li><li>app/views</li></ul>",app/assets<br><br>[Reference: RoR folder structure](https://images.app.goo.gl/CfKZPEQcGExfSx5C6)<br>
"<b> If the Rails asset pipeline is being used to serve JavaScript files, how would you include a link to one of those JavaScript files in a view?</b><br><ul><li>`<script src=""/main.js""></script>`</li><li>`<%= javascript_include_tag 'main' %>`</li><li>`<%= javascript_tag 'main' %>`</li><li>`<!-- include_javascript 'main' -->`</li></ul>",`<%= javascript_include_tag 'main' %>`
"<b> In Rails, what caching stores can be used?</b><br><ul><li>MemCacheStore, MongoDBStore, MemoryStore, and FileStore</li><li>MemoryStore, FileStore, and CacheCacheStore</li><li>MemoryStore, FileStore, MemCacheStore, RedisCacheStore, and NullStore</li><li>MemoryStore, FileStore, MySQLStore, and RedisCacheStore</li></ul>","MemoryStore, FileStore, MemCacheStore, RedisCacheStore, and NullStore"
"<b> What is the correct way to generate a ProductsController with an index action using only the command-line tools bundled with Rails?</b><br><ul><li>`rails generate controller --options {name: ""Products"", actions: ""index""}`</li><li>`rails generate controller --name Products --action index`</li><li>`rails generate controller Products index`</li><li>`rails generate ProductsController --actions index`</li></ul>",`rails generate controller Products index`
"<b> If a model class is named Product, in which database table will ActiveRecord store and retrieve model instances?</b><br><ul><li>`product_table`</li><li>`all_products`</li><li>`products_table`</li><li>`products`</li></ul>",`products`
<b> What is a popular alternative template language for generating views in a Rails app that is focused on simple abstracted markup?</b><br><ul><li>Mustache</li><li>Haml</li><li>Liquid</li><li>Tilt</li></ul>,Haml<br><br>[Reference](https://medium.com/@bretcameron/so-you-think-you-know-html-7813c03f8ff6)<br>
"<b> When Ruby methods add an exclamation point at the end of their name (such as `sort!`), what does it typically indicate?</b><br><ul><li>The method executes using ""sudo"" privileges.</li><li>Any ending line return will be omitted from the result.</li><li>The method will ignore exceptions that occur during execution.</li><li>It is a more powerful or destructive version of the method.</li></ul>",It is a more powerful or destructive version of the method.
<b> What part of the code below causes the method `#decrypt_data` to be run?</b><br><br>```rb<br>class MyModel < ApplicationRecord<br>after_find :decrypt_data<br>end<br>```<br><br><ul><li>`MyModel.first.update(field: 'example')`</li><li>`MyModel.where(id: 42)`</li><li>`MyModel.first.destroy`</li><li>`MyModel.new(field: 'new instance')`</li></ul>,`MyModel.where(id: 42)`
<b> Which Rails helper would you use in the application view to protect against CSRF (Cross-Site Request Forgery) attacks?</b><br><ul><li>`csrf_protection`</li><li>`csrf_helper`</li><li>`csrf_meta_tags`</li><li>`csrf`</li></ul>,`csrf_meta_tags`<br><br>[Reference](https://api.rubyonrails.org/classes/ActionView/Helpers/CsrfHelper.html)<br>
