<b> Which type cast preserves the mathematical value in all cases?</b><br><ul><li>i64 as i32</li><li>usize as u64</li><li>i32 as i64</li><li>f64 as f32</li></ul>,i32 as i64
"<b> What do the vertical bars represent here?</b><br><br>```rust<br>str::thread::spawn(|| {<br>println!(""LinkedIn"");<br>});<br>```<br><br><ul><li>a closure</li><li>a thread</li><li>a future</li><li>a block</li></ul>",a closure<br><br>[reference](https://doc.rust-lang.org/book/ch13-01-closures.html#refactoring-with-closures-to-store-code)<br>
<b> Which choice is not a scalar data type?</b><br><ul><li>integer</li><li>float</li><li>boolean</li><li>tuple</li></ul>,tuple
<b> **\_** cannot be destructured.</b><br><ul><li>Traits</li><li>Tuples</li><li>Enums</li><li>Structs</li></ul>,Traits<br><br>[reference](https://rust-lang.github.io/rfcs/2909-destructuring-assignment.html)<br>
<b> Which `cargo` command checks a program for error without creating a binary executable?</b><br><ul><li>cargo --version</li><li>cargo init</li><li>cargo build</li><li>cargo check</li></ul>,cargo check
"<b> The term _box_ and related phrases such as _boxing a value_ are often used when relating to memory layout. What does _box_ refer to?</b><br><ul><li>It's creating a pointer on the heap that points to a value on the stack.</li><li>It's creating a pointer on the stack that points to a value on the heap.</li><li>It's creating a memory guard around values to prevent illegal access.</li><li>It's an abstraction that refers to ownership. ""Boxed"" values are clearly labelled.</li></ul>",It's creating a pointer on the stack that points to a value on the heap.
"<b> What is an alternative way of writing `slice` that produces the same result?</b><br><br>```rust<br>...<br>let s = String::form(""hello"");<br>let slice = &s[0..2];<br>```<br><br><ul><li>let slice = &s[len + 2];</li><li>let slice = &s[len - 2];</li><li>let slice = &s.copy(0..2);</li><li>let slice = &s[..2];</li></ul>",let slice = &s[..2];
<b> Using the `?` operator at the end of an expression is equivalent to **\_**.</b><br><ul><li>a match pattern that branches into True or False</li><li>calling ok_error()</li><li>calling panic!()</li><li>a match pattern that may result an early return</li></ul>,a match pattern that may result an early return
<b> Which is valid syntax for defining an array of i</b><br><ul><li>Array<i32>::with_capacity(10)</li><li>[i32]</li><li>Array<i32>::new(10)</li><li>[i32; 10]</li></ul>,[i32; 10]
"<b> What syntax is required to take a mutable reference to T, when used within a function argument?</b><br><br>```rust<br>fn increment(i: T) {<br>// body elided<br>}<br>```<br><br><ul><li>\*mut T</li><li>mut ref T</li><li>mut &T</li><li>&mut T</li></ul>",&mut T
