"<b> Scala bytecode can run on top of Java VM. What is the fundamental difference between Java object.clone() and Scala object.copy()?</b><br><ul><li>One is a Java object, the other is a Scala object.</li><li>clone() will copy class structures but not the data, while copy() will also copy data into new objects.</li><li>There is no difference.</li><li>copy() allows you to change values during the copying process; clone() does not.</li></ul>",copy() allows you to change values during the copying process; clone() does not.
"<b> What value does this code return?</b><br><br>```scala<br>val m1 = Map(""a""->1,""b""->2,""c""->3)<br>m1(""a"")<br>```<br><br><ul><li>a</li><li>2</li><li>b</li><li>1</li></ul>",1
<b> What is one way to avoid low-level parallelization details?</b><br><ul><li>monads</li><li>literal functions</li><li>partially applied functions</li><li>parallel collections</li></ul>,parallel collections
<b> What do you use in ScalaTest to see a detailed diagram of error messages when a test fails?</b><br><ul><li>ArgumentExceptions</li><li>AssertionException</li><li>DiagrammedAssertions</li><li>JUnit</li></ul>,DiagrammedAssertions
<b> What data type would you use to store an immutable collection of objects that contain a fixed number of varying types?</b><br><ul><li>Array</li><li>ImmutableCollection</li><li>List</li><li>Tuple</li></ul>,Tuple
"<b> After defining a function in the interpreter, Scala returns the following. What does the `()` indicate?</b><br><br>```<br>myfnc: ()Unit<br>```<br><br><ul><li>The function has no side effects.</li><li>The function takes no parameters.</li><li>The function returns no value.</li><li>Returning unit types to the function is a closures.</li></ul>",The function returns no value.
<b> What type of number is </b><br><ul><li>hexadecimal</li><li>short</li><li>floating point</li><li>long</li></ul>,floating point
"<b> When you convert a map to a list using the `toList` method of the map, the result will be of which type?</b><br><ul><li>`List[(String, String)]`</li><li>`List[(Array, Array)]`</li><li>`List[(Collection, Collection)]`</li><li>`List`</li></ul>",`List`
"<b> What type of object does this code create?</b><br><br>```<br>val x = (1234, ""Active"")<br>```<br><br><ul><li>List</li><li>Map</li><li>Tuple</li><li>Array</li></ul>",Tuple
<b> Which is a subclass of all classes?</b><br><ul><li>AnyVal</li><li>AnyRef</li><li>Method</li><li>Null</li></ul>,Null<br><br>[Null in Scala Standard library](https://www.scala-lang.org/api/current/scala/Null.html). The question is a bit incorrect - Null is a subtype of every type _except those of value classes_<br>
