"<b> Which permission allows a user to create lists and document libraries, edit pages, apply themes?</b><br><ul><li>Edit</li><li>Contribute</li><li>Design</li><li>Approve</li></ul>",Design
"<b> What happens when a file is deleted in SharePoint?</b><br><ul><li>It is permanently deleted.</li><li>It appears in the second-stage Recycle Bin.</li><li>It appears in the SharePoint Recycle Bin.</li><li>It remains on the list, but is marked as deleted.</li></ul>",It appears in the SharePoint Recycle Bin.
"<b> You are creating a new SharePoint subsite. From the following image, which template would you select to create a site that features scorecards, dashboards and access to PerformancePoint Services content?</b><br><ul><li>Basic Search Centre</li><li>Business Intelligence Centre</li><li>Records Centre</li><li>Enterprise Search Centre</li></ul>",Business Intelligence Centre
<b> You have enabled cloud hybrid search in your organization. What capability does this feature enable?</b><br><ul><li>the ability to search across any web app</li><li>the ability to search across multiple site collections</li><li>the ability to search both cloud and on-premises SharePoint sites</li><li>the ability to search SharePoint and OneDrive</li></ul>,the ability to search both cloud and on-premises SharePoint sites
"<b> A user wants to place a OneDrive document into SharePoint. How can the user accomplish this?</b><br><ul><li>1. In the OneDrive web app, select the file 2. Select Move to from the ribbon 3. Select the destination site 4. Select the destination folder</li><li>1. In the OneDrive web app, select the file 2. Select Move to from the ribbon 3. Select the destination site</li><li>1. In the OneDrive web app, select the file 2. Select the destination site 3. Select the destination folder 4. Select Move to from the ribbon</li><li>1. In the OneDrive web app, select the file 2. Select the destination site 3. Select the destination folder</li></ul>","1. In the OneDrive web app, select the file 2. Select Move to from the ribbon 3. Select the destination site 4. Select the destination folder"
<b> A user wants to know what options are available when versioning is enabled. Which choice is _not_ a versioning option?</b><br><ul><li>Indicate who should see the draft items in this document library.</li><li>Require documents to be checked out before they can be edited.</li><li>Open behavior for browser-enabled documents is the default.</li><li>Require content approval for submitted items.</li></ul>,Open behavior for browser-enabled documents is the default.
<b> You are building a workflow between applications in a SharePoint site. How do you test a workflow functionality?</b><br><ul><li>Allow a workflow to manually start</li><li>Create a new task list as a part of the workflow</li><li>Assign security permissions for the workflow</li><li>Allow a workflow to automatically start</li></ul>,Allow a workflow to manually start
<b> In SharePoint what unique feature does a Document Set provide?</b><br><ul><li>file templates</li><li>folder and file permissions</li><li>versioning</li><li>folder-assigned metadata</li></ul>,folder-assigned metadata
"<b> In a SharePoint online subscription, where is a user's identity managed?</b><br><ul><li>Windows Server</li><li>Azure Active Directory</li><li>Microsoft 365 admin centre</li><li>Microsoft 365 Security</li></ul>",Microsoft 365 admin centre
<b> You want to use powershell to retrieve a list of users that are members of the Viewers group in a SharePoint site. Which command do you use?</b><br><ul><li>`Get -SPUserSettingsProviderManager -Web 'https://sharepoint.contoso.com' -Group 'Viewers'`</li><li>`Get -SPUser 'https://sharepoint.contoso.com' -Group 'Viewers'`</li><li>`Get -SPUserSettingsProvider -Web 'https://sharepoint.contoso.com' -Group 'Viewers'`</li><li>`Get -SPUser -Web 'https://sharepoint.contoso.com' -Group 'Viewers'`</li></ul>,`Get -SPUser -Web 'https://sharepoint.contoso.com' -Group 'Viewers'`
<b> What is the default state of a document checkout in a SharePoint library?</b><br><ul><li>not configured</li><li>optional</li><li>required</li><li>disabled</li></ul>,required
<b> Which cloud-based tool can you use to add form responses to a SharePoint list?</b><br><ul><li>Forms</li><li>InfoPath</li><li>Delve</li><li>Power Automate</li></ul>,Power Automate
