"<b> Which file contains all the drawing document-specific information, such as specifications for units, drafting standard, font selections, etc?</b><br><ul><li>SOLIDWORKS drawing template</li><li>SOLIDWORKS composer file</li><li>SOLIDWORKS part file</li><li>SOLIDWORKS sheet format</li></ul>","SOLIDWORKS drawing template<br><br>[Reference : drawing template](https://www.cati.com/blog/2017/07/tech-tip-the-difference-between-a-sheet-format-and-a-drawing-template-in-solidworks/#:~:text=The%20drawing%20template%20has%20the,pre%2Ddefined%20views%2C%20etc.)<br>"
"<b> You need to design a steel spring with a pitch diameter of </b><br><ul><li>Create a new sketch of a circle with a diameter of 1 inch. Then use the Helix/Spiral curve command and define a height of 10 inches and pitch of 3 inches.</li><li>Create a new sketch of a circle with a diameter of 3 inches. Then use the Helix/Spiral curve command to define a height of 10 inches and pitch of 1 inch.</li><li>First, create a new sketch of a circle of 10 inches. Then use the Helix/Spiral curve command and define by pitch of 1 inch and 3 revolutions.</li><li>Use the Helix/Spiral curve command and define a diameter of 3 inches, height of 10 inches, and pitch of 1 inch.</li></ul>",Create a new sketch of a circle with a diameter of 3 inches. Then use the Helix/Spiral curve command to define a height of 10 inches and pitch of 1 inch.
"<b> Which single feature could you use to create this image?</b><br><br><img src=""solidworks-quiz_solidworks_q3""><br><br><ul><li>Loft</li><li>Extruded Boss/Base</li><li>Sweep</li><li>Revolved Boss/Base</li></ul>",Sweep
<b> Which choice is NOT a fillet type in SOLIDWORKS?</b><br><ul><li>constant size</li><li>variable size</li><li>face</li><li>angled</li></ul>,angled
"<b> Your sketch is not extruding correctly. It does not seem to be a properly closed contour, although from a simple visual inspection, it looks to be fully closed. You think perhaps there are some very small gaps in your contour that are causing the issue. What tool can you use to find these small gaps?</b><br><ul><li>Quick Snaps</li><li>Rebuild</li><li>Repair Sketch</li><li>Show Error</li></ul>",Repair Sketch<br><br>[reference](https://blogs.solidworks.com/tech/2016/12/solidworks-fix-sketch-repair-sketch.html)<br>
<b> Which choice is an example of a skected feature?</b><br><ul><li>chamfer</li><li>extrusion</li><li>fillet</li><li>shell</li></ul>,extrusion<br><br>[Reference](https://help.solidworks.com/2016/English/SolidWorks/acadhelp/c_Feature_based_Models.htm)<br>
<b> You want to make two circles have the same center point within a SOLIDWORKS sketch. How can you do this?</b><br><ul><li>Add a tangent relation between the circles</li><li>Add a concentric relation between the circles</li><li>Add a horizontal relation between the circles</li><li>Add an equal relation between the circles</li></ul>,Add a concentric relation between the circles
<b> Which reference geometry is NOT available in SOLIDWORKS?</b><br><ul><li>sphere</li><li>plane</li><li>point</li><li>axis</li></ul>,sphere<br><br>[Reference](https://www.cati.com/blog/2020/02/solidworks-basics-of-reference-geometry-axis/)<br>
<b> Specifying two lines to be perpendicular to each other would be an example of what?</b><br><ul><li>feature</li><li>relation</li><li>extrude</li><li>dimension</li></ul>,relation<br><br>[Solidworks: Sketch Relations](https://help.solidworks.com/2022/english/SolidWorks/sldworks/c_Description_of_Sketch_Relations.htm)<br>
<b> You want to focus on a single component within your assembly and hide all the rest. How can you do this?</b><br><ul><li>Right-click the component you want to focus on and select Change Transparency</li><li>Right-click the component you want to focus on and select Hide</li><li>Right-click the component you want to focus on and select Isolate</li><li>Right-click the component you want to focus on and select Suppress</li></ul>,Right-click the component you want to focus on and select Isolate<br><br>[Solidworks: Isolate](https://help.solidworks.com/2022/english/SolidWorks/sldworks/hidd_comp_isolate_dlg.htm?verRedirect=1)<br>
