<b> What is this code an example of?</b><br><br>```swift<br>let val = (Double)6<br>```<br><br><ul><li>A syntax issue</li><li>Typecasting</li><li>Assignment</li><li>InitializationReference: [_The Swift Programming Language: Language Guide: The Basics: Constants and Variables_](https://docs.swift.org/swift-book/LanguageGuide/TheBasics.html#ID310)<br></li></ul>,A syntax issue
<b> What is the error in this code?</b><br><br>```swift<br>let x = 5<br>guard x == 5 { return }<br>```<br><br><ul><li>The `guard` is missing the `else`</li><li>Nothing is wrong</li><li>The `guard` is missing a `then`</li><li>The comparison is wrongReference: [_The Swift Programming Language: Language Guide: Control Flow: Early Exit_](https://docs.swift.org/swift-book/LanguageGuide/ControlFlow.html#ID525)<br></li></ul>,The `guard` is missing the `else`
"<b> What is the raw/underlying type of this enum?</b><br><br>```swift<br>enum Direction {<br>case north, south, east, west<br>}<br>```<br><br><ul><li>There is none</li><li>`String`</li><li>`Any`</li><li>`Int`Reference: [_The Swift Programming Language: Language Guide: Enumerations: Raw Values_](https://docs.swift.org/swift-book/LanguageGuide/Enumerations.html#ID149)<br></li></ul>",There is none
<b> Why is dispatchGroup used in certain situations?</b><br><ul><li>It allows multiple synchronous or asynchronous operations to run on different queues.</li><li>It allows track and control execution of multiple operations together.</li><li>It allows operations to wait for each other as desired.</li><li>All of these answers.Reference: [Apple Developer: Documentation: Dispatch: Dispatch Group](https://developer.apple.com/documentation/dispatch/dispatchgroup)<br></li></ul>,All of these answers.Reference: [Apple Developer: Documentation: Dispatch: Dispatch Group](https://developer.apple.com/documentation/dispatch/dispatchgroup)<br>
"<b> What is this code an example of?</b><br><br>```swift<br>let val = 5<br>print(""value is: \(val)"")<br>```<br><br><ul><li>String interpolation</li><li>String compilation</li><li>Method chaining</li><li>String concatenationReference: [_The Swift Programming Language: Language Guide: Strings and Characters: String Interpolation_](https://docs.swift.org/swift-book/LanguageGuide/StringsAndCharacters.html#ID292)<br></li></ul>",String interpolation
"<b> What are the contents of `vals` after this code is executed?</b><br><br>```swift<br>var vals = [10, 2]<br>vals.sort { (s1, s2) -> Bool in<br>s1 > s2<br>}<br>```<br><br><ul><li>`[10, 2]`</li><li>`[2, 10]`</li><li>`nil`</li><li>This code contains an errorReference: [Apple Developer: Documentations: Swift: Array: sort()](<https://developer.apple.com/documentation/swift/array/sort()>)<br></li></ul>","`[10, 2]`"
"<b> What does this code print?</b><br><br>```swift<br>typealias Thing = [String: Any]<br>var stuff: Thing<br>print(type(of: stuff))<br>```<br><br><ul><li>`Dictionary<String, Any>`</li><li>`Dictionary`</li><li>`Error`</li><li>`Thing`Reference: [_The Swift Programming Language: Language Reference: Types: Type Identifier_](https://docs.swift.org/swift-book/ReferenceManual/Types.html#ID447)<br></li></ul>","`Dictionary<String, Any>`"
"<b> What is the value of y?</b><br><br>```swift<br>let x = [""1"", ""2""].dropFirst()<br>let y = x[0]<br>```<br><br><ul><li>This code contains an error</li><li>`1`</li><li>`2`</li><li>`nil`Reference: [Apple Developer: Documentation: Swift: Array: dropFirst(\_:)](<https://developer.apple.com/documentation/swift/array/dropfirst(_:)>)<br></li></ul>",This code contains an error
<b> What is the value of test in this code?</b><br><br>```swift<br>var test = 1 == 1<br>```<br><br><ul><li>`true`</li><li>`YES`</li><li>`1`</li><li>This code contains an errorReference: [_The Swift Programming Language: Language Guide: Basic Operators: Comparison Operators_](https://docs.swift.org/swift-book/LanguageGuide/BasicOperators.html#ID70)<br></li></ul>,`true`
<b> What is the value of y?</b><br><br>```swift<br>var x: Int?<br>let y = x ?? 5<br>```<br><br><ul><li>`5`</li><li>`0`</li><li>`nil`</li><li>This code contains an errorReference: [_The Swift Programming Language: Language Guide: Basic Operators: Nil-Coalescing Operators_](https://docs.swift.org/swift-book/LanguageGuide/BasicOperators.html#ID72)<br></li></ul>,`5`
"<b> What is the type of this function?</b><br><br>```swift<br>func add(a: Int, b: Int) -> Int { return a+b }<br>```<br><br><ul><li>`Int`</li><li>`(Int, Int) -> Int`</li><li>`Int<Optional>`</li><li>Functions don't have types.Reference: [_The Swift Programming Language: Language Guide: Functions: Function Types_](https://docs.swift.org/swift-book/LanguageGuide/Functions.html#ID174)<br></li></ul>","`(Int, Int) -> Int`"
"<b> What is the correct way to call this function?</b><br><br>```swift<br>func myFunc(_ a: Int, b: Int) -> Int {<br>return a + b<br>}<br>```<br><br><ul><li>`myFunc(5, b: 6)`</li><li>`myFunc(5, 6)`</li><li>`myFunc(a: 5, b: 6)`</li><li>`myFunc(a, b)`Reference: [_The Swift Programming Language: Language Guide: Functions: Function Argument Labels and Parameter Names_](https://docs.swift.org/swift-book/LanguageGuide/Functions.html#ID166)<br></li></ul>","`myFunc(5, b: 6)`"
"<b> The Codable protocol is **\_**?</b><br><ul><li>A combination of `Encodable` and `Decodable`</li><li>Not a true protocol</li><li>Required of all classes</li><li>Automatically included in all classesReferences:<br>- [Apple Developer: Documentation: Swift: Swift Standard Library: Encoding, Decoding, and Serialization: Codable](https://developer.apple.com/documentation/swift/codable/)<br>- [_The Swift Programming Language: Language Guide: Protocols: Protocol Composition_](https://docs.swift.org/swift-book/LanguageGuide/Protocols.html#ID282)<br></li></ul>",A combination of `Encodable` and `Decodable`
"<b> What is the type of value</b><br><br>```swift<br>let value1 = ""\(""test"".count)""<br>```<br><br><ul><li>`String`</li><li>`Int`</li><li>`null`</li><li>`test.count`Reference: [_The Swift Programming Language: Language Guide: Strings and Characters: String Interpolation_](https://docs.swift.org/swift-book/LanguageGuide/StringsAndCharacters.html#ID292)<br></li></ul>",`String`
"<b> When a function takes a closure as a parameter, when do you want to mark is as escaping?</b><br><ul><li>When it's executed after the function returns</li><li>When it's scope is undefined</li><li>When it's lazy loaded</li><li>All of these answersReference: [_The Swift Programming Language: Language Guide: Closures: Escaping Closures_](https://docs.swift.org/swift-book/LanguageGuide/Closures.html#ID546)<br></li></ul>",When it's executed after the function returns
<b> What's wrong with this code?</b><br><br>```swift<br>class Person {<br>var name: String<br>var address: String<br>}<br>```<br><br><ul><li>Person has no initializers.</li><li>Person has no base class.</li><li>`var name` is not formatted correctly.</li><li>`address` is a keyword.Reference: [_The Swift Programming Language: Language Guide: Initialization: Class Inheritance and Initialization_](https://docs.swift.org/swift-book/LanguageGuide/Initialization.html#ID216)<br></li></ul>,Person has no initializers.
"<b> What is the value of names after this code is executed?</b><br><br>```swift<br>let names = [""Bear"", ""Joe"", ""Clark""]<br>names.map { (s) -> String in<br>return s.uppercased()<br>}<br>```<br><br><ul><li>`[""BEAR"", ""JOE"", ""CLARK""]`</li><li>`[""B"", ""J"", ""C""]`</li><li>`[""Bear"", ""Joe"", ""Clark""]`</li><li>This code contains an error.</li></ul>","`[""Bear"", ""Joe"", ""Clark""]`"
