<b> Which answer is NOT a type of table index?</b><br><ul><li>nonclustered</li><li>unique</li><li>heap</li><li>hash</li></ul>,heap
"<b> The keywords `AND`, `IN`, `LIKE`, and between all belong to a category called what?</b><br><ul><li>joining operations</li><li>linking operations</li><li>criteria operations</li><li>logical operations</li></ul>",logical operations
<b> What is the result of this series of statements?</b><br><br>```tsql<br>BEGIN TRY<br>SELECT 'Foo' AS Result;<br>END TRY<br>BEGIN CATCH<br>SELECT 'Bar' AS Result;<br>END CATCH<br>```<br><br><ul><li>Foo</li><li>FooBar</li><li>Foo Bar</li><li>Bar</li></ul>,Foo
"<b> Given these two tables, which query generates a listing showing student names and the department office location where you could reach each student?</b><br><ul><li>`SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students, Departments;`</li><li>`SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students JOIN Departments ON Students.department = Departments.department;`</li><li>`SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students JOIN Departments;`</li><li>`SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students ON Students.department = Departments.department;`</li></ul>","`SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students JOIN Departments ON Students.department = Departments.department;`"
<b> What is an example of a DDL command in SQL?</b><br><ul><li>`TRUNCATE TABLE`</li><li>`DELETE`</li><li>`MERGE`</li><li>`DROP`</li></ul>,<ul><li>`TRUNCATE TABLE`</li><li>`DROP`</li></ul>
"<b> Given the Games table pictured, which query generates the results shown?</b><br><ul><li>:```tsql<br>SELECT GameType, MaxPlayers, count(*) AS NumberOfGames<br>FROM Games<br>GROUP BY MaxPlayers, GameType<br>ORDER BY MaxPlayers, GameType;<br>```<br></li><li>:```tsql<br>SELECT GameType, MaxPlayers, count(*) AS NumberOfGames<br>FROM Games<br>GROUP BY GameType, MaxPlayers<br>ORDER BY GameType;<br>```<br></li><li>:```tsql<br>SELECT GameType, count(Players) AS MaxPlayers, NumberOfGames<br>FROM Games<br>GROUP BY GameType, MaxPlayers<br>ORDER BY GameType;<br>```<br></li><li>:```tsql<br>SELECT GameType, MaxPlayers, count(*) AS NumberOfGames<br>FROM Games<br>GROUP BY GameType<br>ORDER BY MaxPlayers;<br>```<br></li></ul>",":```tsql<br>SELECT GameType, MaxPlayers, count(*) AS NumberOfGames<br>FROM Games<br>GROUP BY GameType, MaxPlayers<br>ORDER BY GameType;<br>```<br>"
<b> Which answer is a possible result of the sequence of commands below?</b><br><br>```tsql<br>DECLARE @UniqueID uniqueidentifier = NEWID();<br>SELECT @UniqueID AS Result;<br>```<br><br><ul><li>1</li><li>bb261196-66a5-43af-815d-123fc593cf3a</li><li>z350mpj1-62lx-40ww-9ho0-4u1875rt2mx4</li><li>0x2400001155F04846674AD4590F832C0</li></ul>,bb261196-66a5-43af-815d-123fc593cf3a
"<b> You need to find all students that are not on the ""Chemistry Cats"" team. Which query does NOT work for this task?</b><br><ul><li>:```SELECT * FROM Students<br>WHERE team NOT 'Chemistry Cats';<br>```<br></li><li>:```SELECT * FROM Students<br>WHERE team <> 'Chemistry Cats';<br>```<br></li><li>:```SELECT * FROM Students<br>WHERE team != 'Chemistry Cats';<br>```<br></li><li>:```SELECT * FROM Students<br>WHERE NOT team = 'Chemistry Cats';<br>```<br></li></ul>",:```SELECT * FROM Students<br>WHERE team NOT 'Chemistry Cats';<br>```<br>
<b> You need to write a query that returns all Employees that have a LastName starting with the letter A. Which `WHERE` clause should you use to fill in the blank in this query?</b><br><ul><li>`WHERE LastName = A*`</li><li>`WHERE LastName = LIKE '%A%'`</li><li>`WHERE LastName LIKE 'A%'`</li><li>`WHERE LastName IN ('A*')`</li></ul>,`WHERE LastName LIKE 'A%'`
"<b> Which query shows the first name, department, and team of all students with the two lowest points?</b><br><ul><li>`SELECT LIMIT(2) first_name, department, team FROM Students ORDER BY points ASC;`</li><li>`SELECT TOP(2) first_name, deprtment, team FROM Students ORDER BY points DESC;`</li><li>`SELECT TOP(2) WITH TIES first_name, department, team FROM Students ORDER BY points;`</li><li>`SELECT BOTTOM(2) first_name, department, team FROM Students ORDER BY points ASC;`> the picture of table is important here and there it can be seen that there are only two value with min points. Secondly, the previous answer was wrong because order by `DESC` will put highest points into the beginning of result list and `TOP(2)` will take first two highest points, and we need the lowest points.<br></li></ul>","`SELECT TOP(2) WITH TIES first_name, department, team FROM Students ORDER BY points;`"
