<b> What can you use to visually distinguish between Play mode and Design mode in the editor?</b><br><ul><li>The object inspector</li><li>Handles</li><li>Gizmos</li><li>Play mode tint</li></ul>,Play mode tint
"<b> A developer executes the C# code below, which finds any game objects tagged as “enemy” in a start event. But the developer notices that, when executed, FindGameObjectsWithTag returns NULL even though the scene contains objects tagged as “Enemy”. What is a possible cause?</b><br><br>`GameObject[] MyEnemies = GameObject.FindGameObjectsWithTag(“Enemy”);`<br><br><ul><li>The objects are animated</li><li>The objects are on the UI layer</li><li>The objects are not named “Enemy”</li><li>The objects are deactivated</li></ul>",The objects are deactivated
<b> What does this code sample achieve? Float Answer = Random.value \* </b><br><ul><li>It selects a random number that is less than 10</li><li>It selects a random number greater than 10</li><li>It selects a random number between 0 and 10</li><li>It selects a random number that is multiple of 10</li></ul>,It selects a random number between 0 and 10
"<b> Unity scenes may be saved entirely in the YAML format. Why might you do this?</b><br><ul><li>To reduce scene file size</li><li>To externally parse a scene and its objects</li><li>To optimize scene loading and unloading</li><li>To improve platform compatibility> Also, the text data can be generated and parsed by tools, making it possible to create and analyze scenes automatically.<br>> [Reference](https://docs.unity3d.com/2021.2/Documentation/Manual/TextSceneFormat.html)<br></li></ul>",To externally parse a scene and its objects
<b> Orthographic cameras remove which visual effect?</b><br><ul><li>Gamma color space</li><li>Depth of field</li><li>Foreshortening</li><li>BloomGamma color space and bloom are related to graphics. Depth of field is related to objects bluring when at a certain distance from the camera.<br>1. [Reference](https://docs.unity3d.com/2019.3/Documentation/Manual/CamerasOverview.html)<br>2. [Reference](https://pbr-book.org/3ed-2018/Camera_Models/Projective_Camera_Models#OrthographicCamera)<br></li></ul>,Foreshortening
"<b> What is Cinemachine Virtual Camera used for?</b><br><ul><li>To override standard scene cameras with cinematic behaviours</li><li>To determine what cameras will see when arriving at specific locations</li><li>To create predefined camera presets to apply on standard cameras</li><li>To act as dummy cameras for fooling meshes into thinking they are being seen> Use the Aim, Body, and Noise properties to specify how the Virtual Camera animates position, rotation, and other properties. The Virtual Camera applies these settings to the Unity Camera when Cinemachine Brain or Timeline transfers control of the Unity camera to the Virtual Camera.<br>> [Reference](https://docs.unity3d.com/Packages/com.unity.cinemachine@2.9/manual/CinemachineVirtualCamera.html)<br></li></ul>",To create predefined camera presets to apply on standard cameras
"<b> What does the Microphone class save captured audio data as?</b><br><ul><li>An audio clip asset</li><li>An MP3 file</li><li>A WAV file</li><li>An OGG fileThe Microphone class saves captured audio as an audio clip asset, which may then be stored as a OGG file.<br></li></ul>",An audio clip asset<br><br>[Reference](https://docs.unity3d.com/ScriptReference/Microphone.html)<br>
<b> Cinemachine offers tools for building gameplay behaviours. Which component makes spline based paths for moving objects?</b><br><ul><li>Cinemachine Target Group</li><li>Cinemachine Smooth Path</li><li>Cinemachine Free Look</li><li>Cinemachine Brain</li></ul>,Cinemachine Smooth Path
"<b> When building assets like meshes for Unity. It is good practice to use which measurement unit?</b><br><ul><li>Cubits</li><li>Feet</li><li>Inches</li><li>MetersUnity's default units are in meters (Unreal Engine too). If you keep this in mind and model with your units alined to meters, the lighting system will work minimal artifacting.<br></li></ul>","MetersUnity's default units are in meters (Unreal Engine too). If you keep this in mind and model with your units alined to meters, the lighting system will work minimal artifacting.<br><br><br>[Reference](https://docs.unity3d.com/2019.3/Documentation/Manual/BestPracticeMakingBelievableVisuals1.html)<br>"
"<b> The Collaborate feature of Unity Teams empowers whom to do what?</b><br><ul><li>Developers to contribute to the unity source code</li><li>Companies to raise money for projects through crowdfunding</li><li>Team members to save, share, and sync unity projects</li><li>Developers to integrate version control systems, like git, into projects</li></ul>","Team members to save, share, and sync unity projects"
<b> The Clear Flags property of the Camera components affects which behaviour?</b><br><ul><li>How the camera renders UI objects on top of the scene</li><li>How the camera renders transparent objects by default</li><li>How the camera renders its background on each frame</li><li>How the camera occludes background objects</li></ul>,How the camera renders its background on each frame
