"<b> Which two sets of values are printed by this function and sub?</b><br><br>```vb<br>Function GetVitals(ID As Long, Age As Long, Optional Weight As Long) As String<br>GetVitals=""ID="" & ID &""Age="" & Age & ""Weight="" & Weight<br>End Function<br>Sub ShowVitals()<br>Dim ID As Long, Age As Long,Weight as Long<br>Debug.Print GetVitals(ID:=5,Age:=20)<br>Debug.Print GetVitals(ID:=6,Age:=25,Weight:=130)<br>End Sub<br>```<br><br><ul><li>:```<br>ID=5 Age = 20 Weight=<br>ID=6 Age = 25 Weight=130<br>```<br></li><li>:```<br>ID=5 Age = 20 Weight=0<br>ID=6 Age = 25 Weight=130<br>```<br></li><li>:```<br>ID=5 Age = 20 Weight=Null<br>ID=6 Age = 25 Weight=130<br>```<br></li><li>:```<br>ID=5 Age = 20<br>ID=6 Age = 25 Weight=130<br>```<br></li></ul>",:```<br>ID=5 Age = 20 Weight=0<br>ID=6 Age = 25 Weight=130<br>```<br>
"<b> This code shows the first statement of CalledSub. Which calling statement will work properly?</b><br><br>`Sub CalledSub(Surname, Age)`<br><br><ul><li>call Calledsub ""smith"",26</li><li>calledsub (surname=""smith"", Age = 26)</li><li>calledsub (Surname:=""Smith"", Age:=26)</li><li>calledsub ""smith"", 26</li></ul>","calledsub ""smith"", 26"
<b> What is the principal difference between a class and an object?</b><br><ul><li>There is no meaningful difference. The terms are used interchangeably.</li><li>A class declares an object's properties. An object completes the declaration by defining events and methods.</li><li>An object is a template for a class.</li><li>A class describes the design of an object. An object is an instance of that design.</li></ul>,A class describes the design of an object. An object is an instance of that design.
"<b> What value does the MsgBox statement display?</b><br><br>```vb<br>Sub MySub(VarA As Long, ParamArray VarB() As Variant)<br>MsgBox VarB(0)<br>End Sub<br>Sub ShowValue()<br>Call MySub(10, ""First arg"", 2, 3.1416)<br>End Sub<br>```<br><br><ul><li>2</li><li>10</li><li>First arg</li><li>3.1416</li></ul>",First arg
<b> What object is needed to put a userform module in a VBA project?</b><br><ul><li>associated standard code module</li><li>UserForm</li><li>associated class module</li><li>userForm class</li></ul>,No answer found
"<b> What is the output?</b><br><br>```vb<br>Sub UseSum()<br>Dim TestArray() As Integer, Total As Integer<br>ReDim TestArray(1)<br>TestArray(1) = 6<br>ReDim TestArray(2)<br>TestArray(2) = 3<br>Total = WorksheetFunction.Sum(TestArray)<br>End Sub<br>```<br><br><ul><li>3</li><li>0</li><li>9</li><li>6</li></ul>",3
<b> The Driver subroutine is declared by Sub Driver (Y). Which statement results in a compile error?</b><br><ul><li>Driver x</li><li>call Driver(x)</li><li>call Driver x</li><li>Driver (X)</li></ul>,No answer found
"<b> You have several variables to display on a user form, and there are too many variables to display at once. Which control best enables the user to see all the variables?</b><br><ul><li>Frame</li><li>multipage</li><li>TabStrip</li><li>ListBox</li></ul>",ListBox
"<b> Below is a function named SquareIt. Which version of the subroutine named Area results in a compile error?</b><br><br>```vb<br>Function SquareIt(ByRef Basis As Integer) As Long<br>SquareIt = Basis ^ 2<br>End Function<br>```<br><br><ul><li>sub Area()```vb<br>Dim Result As Long, Side As Integer<br>Side = 5<br>Result = Squarelt(Side)<br>End Sub<br>```<br></li><li>Sub Area()```vb<br>Dim Result As Long, Side<br>Side = 5<br>Result = SquareIt(Cint(Side))<br>End Sub<br>```<br></li></ul>",No answer found
<b> EmailAddress() is an array. It is declared by Dim EmailAddress(</b><br><ul><li>10 rows and 10 columns</li><li>10 rows and 1 column</li><li>10 rows and 0 columns</li><li>1 row and 10 columns</li></ul>,10 rows and 1 column
"<b> Which cell is selected if you run this code?</b><br><br>`Range(""E3:312"").Range(""B3"").Select`<br><br><ul><li>F5</li><li>F3</li><li>B3</li><li>E3</li></ul>",F3
<b> Which variable name is valid in VBA?</b><br><ul><li>`_MyVar`</li><li>`My_Var`</li><li>`My-Var`</li><li>`1MyVar`</li></ul>,"`My_Var`<br><br>[Reference link](https://docs.microsoft.com/en-us/office/vba/language/concepts/getting-started/visual-basic-naming-rules)<br>`Use the following rules when you name procedures, constants, variables, and arguments in a Visual Basic module: You must use a letter as the first character. You can't use a space, period (.), exclamation mark (!), or the characters @, &, $, # in the name. Name can't exceed 255 characters in length.`<br>"
<b> Which is a valid definition of a user-defined data type?</b><br><ul><li>:```vb<br>Type CBC<br>Name As String<br>Next As String<br>End Type<br>```<br></li><li>:```vb<br>Type CBC<br>Name As String<br>_Next As String<br>End Type<br>```<br></li><li>:```vb<br>Type CBC<br>Name As String<br>@Option As String<br>End Type<br>```<br></li><li>:```vb<br>Type CBC<br>Name As String<br>%For As String<br>End Type<br>```<br></li></ul>,:```vb<br>Type CBC<br>Name As String<br>Next As String<br>End Type<br>```<br>
"<b> What is one way to duplicate a user form from one project into a different project?</b><br><ul><li>:1. Save and close the project with the existing user form.<br>2. Click Insert > File.<br>3. Browse to the location of the existing project.<br>4. Right-click it and select the user-form you want to duplicate.<br></li><li>:1. Open the existing user form in Desing Mode.<br>2. Right-click the form and select Copy.<br>3. Switch to the other project.<br>4. Right-click Module and select Paste.<br></li><li>:1. In the Project Explorer, right-click the user form and select Copy.<br>2. Switch to the new project.<br>3. Right-click UserForms and select Paste.<br></li><li>:1. Open the existing user form in Design Mode.<br>2. Click File > Export File.<br>3. Switch to the other project.<br>4. Click File > Import File.<br></li></ul>",:1. Open the existing user form in Design Mode.<br>2. Click File > Export File.<br>3. Switch to the other project.<br>4. Click File > Import File.<br>
<b> The recording of a macro in Word is likely to be an incomplete record of the user's actions. Why?</b><br><ul><li>Word's Macro Recorder does not record actions initiated by keyboard shortcuts.</li><li>Word's Macro Recorder does not support Find & Replace edits.</li><li>Word's Macro Recorder does not record actions initiated by clicking a button on the Ribbon's Developer tab.</li><li>Word's Macro Recorder does not record actions that inlove selection of text by pointing with the mouse pointer.</li></ul>,Word's Macro Recorder does not record actions that inlove selection of text by pointing with the mouse pointer.
<b> Which statement should precede a subroutine's error handler?</b><br><ul><li>End</li><li>Return</li><li>Exit Sub</li><li>Stop</li></ul>,Exit Sub
"<b> How many values can MyArray hold?</b><br><br>```<br>Option Base 0<br>Sub BuildArray()<br>Dim MyArray(5) As Integer<br>```<br><br><ul><li>0</li><li>32,769</li><li>5</li><li>6</li></ul>",6
<b> Which statement is true?</b><br><ul><li>Set establishes a value in a class; Let returns a value from a class.</li><li>Let establishes a value in a class; Set returns a value from a class.</li><li>Let establishes a value in a class; Get returns a value from a class.</li><li>Get establishes a value in a class; Set returns a value from a class.</li></ul>,Let establishes a value in a class; Get returns a value from a class.
