"<b> You are working with this XML code snippet from the XML document cars.xml. You need to return the information about the cars built after the year </b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><year>2007</year></car><br><car><make>Cadillac</make><model>Escalade</model><year>2011</year></car><br><car><make>Ford</make><model>Mustang</model><year>1968</year></car><br><car><make>Ford</make><model>Mustang</model><year>1998</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>1999</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>2009</year></car><br></cars><br>```<br><br><ul><li>`doc(""cars.xml"")/cars/car[year>2000].data`</li><li>`doc(""cars.xml"")/cars/car[xs:integer(year) gt 2000]`</li><li>`doc(""cars.xml"")/cars/car[year gt 2000]`</li><li>`doc(""cars.xml"")/cars/car[integer(year) > 2000]`</li></ul>","`doc(""cars.xml"")/cars/car[year>2000].data`"
"<b> You are working with the following XSD fragment. What does it say about the `<car>` element?</b><br><br>```xml<br><xs:element name=""car""><br><xs:complexType><br><xs:sequence><br><xs:element name=""make"" type=""xs:string""/><br><xs:element name=""model"" type=""xs:string""/><br><xs:element name=""year"" type=""xs:string""/><br></xs:sequence><br><xs:anyAttribute/><br></xs:complexType><br></xs:element><br>```<br><br><ul><li>The `<car>` element can be extended with only one attribute</li><li>The `<car>` element can be extended with multiple attributes</li><li>The `<car>` element cannot have any attributes</li><li>The `<car>` element has child elements which can appear in any order</li></ul>",The `<car>` element can be extended with multiple attributes<br><br>**Reference**: [XSD The `<anyAttribute>` Element](https://www.w3schools.com/xml/schema_complex_anyattribute.asp)<br>
"<b> You are converting your HTML file into XHTML Strict. Which code snippet will validate without errors?</b><br><br>- [ ]<br>```xml<br><html xmlns=""http://www.w3.org/1999/xhtml""><br><head><title>XHTML Example</title></head><br><body bgcolor=""#FFFFFF"" ><br><p>Content goes here ...</p><br></body><br></html><br>```<br>- [ ]<br>```xml<br><html xmlns=""http://www.w3.org/1999/xhtml""><br><head><title>XHTML Example</title></head><br><body name=""bodySection""><br><p><b>Content goes here ...</b></p><br></body><br></html><br>```<br>- [ ]<br>```xml<br><html xmlns=""http://www.w3.org/1999/xhtml""><br><head><title>XHTML Example</title></head><br><body color=""#333333""><br><p><i>Content goes here ...</i></p><br></body><br></html><br>```<br>- [x]<br>```xml<br><html xmlns=""http://www.w3.org/1999/xhtml""><br><head><title>XHTML Example</title></head><br><body id=""bodySelection""><br><p><strong>Content goes here ...</strong></p><br></body><br></html><br>```<br><br><ul></ul>",<ul></ul>
"<b> When working with Ajax applications, which is faster, XML or JSON?</b><br><ul><li>XML, because it is extensible</li><li>JSON, because it transfers data without waiting for a server response</li><li>XML, because it supports namespaces</li><li>JSON, because it is already parsed into a JavaScript object</li></ul>","JSON, because it transfers data without waiting for a server response"
"<b> Asynchronous Javascript and XML (Ajax) is technique for creating better, faster, and more interactive web applications. In addition to JavaScript and XML on the back end, which technologies are commonly used to craft AJAX experiences on the front end?</b><br><ul><li>PHP, .NET, and SQL</li><li>HTML, CSS, and DOM</li><li>Python, Perl, and C++</li><li>Java, ASP, and C#</li></ul>","HTML, CSS, and DOM"
<b> What is this code an example of?</b><br><br>```xml<br><x/><br>```<br><br><ul><li>null element</li><li>self-closing tag</li><li>improperly named element</li><li>incorrect XML syntax</li></ul>,self-closing tag
<b> Which XHTML syntax rule does NOT apply to XML?</b><br><ul><li>XHTML attribute values must be quoted</li><li>XHTML tags and attributes must be in lowercase</li><li>XHTML elements must be properly nested within each other.</li><li>XHTML tags must have an equivalent closing tag.</li></ul>,XHTML tags and attributes must be in lowercase<br><br>**Explanation**: XML Attributes values [must be quoted](https://www.w3schools.com/xml/xml_attributes.asp). Element names are [case-sensitive](https://www.w3schools.com/xml/xml_elements.asp) (and CamelCase is actually one of the naming styles).<br>
"<b> Which Ajax method is used to exchange data with a server, using a modern browser?</b><br><ul><li>request-XML</li><li>XMLHttpRequest</li><li>ActiveXObject</li><li>responseXML</li></ul>",XMLHttpRequest
<b> A markup language is a **\_** -readable language that **\_** text so that the computer can **\_** that text.</b><br><ul><li>processor; complies; process</li><li>system; stores; retrieve</li><li>non; processes; format</li><li>human; annotates; manipulate</li></ul>,human; annotates; manipulate
"<b> What is this code an example of?</b><br><br>```xml<br><x a=""x"" a=""y""></x><br>```<br><br><ul><li>improperly named element</li><li>self-closing tag</li><li>null element</li><li>incorrect XML syntax</li></ul>",improperly named element
"<b> XML provides a framework for specifying markup languages, while HTML is a predefined markup language. What is applicable to XML and not HTML?</b><br><ul><li>It is mandatory to use closing tags with XML</li><li>It is important for an XML document to be well formed</li><li>XML elements start with an opening tag in angle brackets, such as `<p>`</li><li>XML syntax uses tags, elements, and attributes</li></ul>",It is mandatory to use closing tags with XML
